General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"It is our intention to pursue prospective targets that are based in the United States and /or Asia (excluding China) with a focus in the technology, media and telecom (TMT) sector. We shall not undertake our initial business combination with any entity with its principal business operations in China (including Hong Kong and Macau). We will primarily seek to acquire one or more growth businesses with a total enterprise value of between $250 million and $600 million. (Incorporated in the British Virgin Islands) (Note: A SPAC I priced its SPAC IPO on Feb. 14, 2022, in sync with the terms in its prospectus: 6.0 million units at $10 each to raise $60 million. In an S-1/A filing dated Jan. 14, 2022, A SPAC I Acquisition Corp. downsized its SPAC IPO to 6.0 million units, down from 8 million units initially, at $10 each, to raise $60 million. The blank check company, or SPAC, also changed its headquarters address to Singapore from Hong Kong in that Jan. 14, 2022, filing with the SEC. This SPAC IPO has been pending since the S-1 was filed in late July 2021.)",BLANK CHECKS,0,2021,Contact Information,"Level 39, Marina Bay Financial Centre Tower 2 10 Marina Boulevard, Singapore 018983",(65) 6818 5796,,A SPAC I Acquisition Corp.,Financial Information,$75.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ASCAU,NASDAQ,6.0,$10.00 - $10.00,$60.0 mil,Chardan,-,2/15/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"It is our intention to pursue prospective targets that are in the high-growth industries that apply cutting edge technologies, such as Proptech and Fintech (the “New Economy Sectors”), with a preference for companies that promote environmental, social and governance (“ESG”) principles. (Incorporated in the British Virgin Islands) We believe that continuous global technological breakthroughs across businesses and ESG principles will create positive impact to society and will facilitate opportunities that can provide our investors with attractive financial returns through a business combination. There is no restriction on the geographic location for our target search, and it is our intent to pursue targets globally, with a particular focus on North America, Europe and Asia (excluding Mainland China, Hong Kong and Macau) where the management team and directors have extensive experience and relationships.",BLANK CHECK,0,2021,Contact Information,289 Beach Road #03-01 Singapore 199552,+65 6818 5796,,A SPAC II Acquisition Corp.,Financial Information,$234.03mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ASCBU,NASDAQ,18.5,$10.00 - $10.00,$185.0 mil,Maxim Group LLC,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our Vision: To be the global leader in direct-to-consumer fashion for the next generation of consumers through a dynamic platform of digitally native brands. Founded in 2018, a.k.a. is a portfolio of fashion brands built for the next generation of consumers. Beginning with the acquisition of Princess Polly in 2018, we created a portfolio of complementary brands with our subsequent acquisitions of Petal & Pup and Rebdolls in 2019 and Culture Kings in 2021. We target high-potential brands that we believe are at a pivotal point in their growth trajectory that we can integrate into our platform. Leveraging our proven track-record, industry expertise and operational synergies, we believe our brands can grow faster, reach broader audiences, achieve greater scale and enhance their profitability. We believe we are disrupting the status quo and pioneering a new approach to fashion. (Note: a.k.a. Brands priced its downsized IPO on Sept. 21, 2021, in line with the drastically reduced terms in its prospectus, which was amended just hours ahead of the pricing: 10 million shares, down from 13.89 million shares, were priced at $11 – the bottom of the reduced price range of $11 to $13 – to raise $110 million. The price range initially was $17 to $19.)",CATALOG & MAIL-ORDER HOUSES,1124,2021,Contact Information,"100 Montgomery Street, Suite 1600, San Francisco, California 94104. US",415-295-6085,http://www.aka-brands.com,a.k.a. Brands Holding Corp.,Financial Information,$1519.08mil,$385.5 mil (last 12 months),$13.8 mil (last 12 months),IPO Profile,AKA,NYSE,10.0,$11.00 - $11.00,$110.0 mil,BofA Securities/ Credit Suisse/ Jefferies/ Wells Fargo Securities/ KeyBanc Capital Markets	/ Cowen/ Piper Sandler/ Truist Securities,Telsey Advisory Group,9/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on healthcare or healthcare-related industries, which can benefit from the expertise and capabilities of our management team in order to create long-term shareholder value. (Incorporated in the Cayman Islands.) Our sponsor is an affiliate of Ally Bridge Group, a global healthcare-focused investment group founded by Fan (Frank) Yu with dual-headquarters in New York and Hong Kong. Mr. Yu and his team began their track record of successful healthcare investing in 2011 in China and have since become global healthcare investors with a strong U.S. focus. ABG currently manages or advises over $2.5 billion in healthcare assets, with a portfolio of what we believe to be some of the world’s most novel life science companies and technologies based in the United States, Europe and China. ABG primarily focuses on high-impact investments in cutting-edge life science innovations in the U.S. across the med tech, tools and diagnostics, biopharmaceutics and, increasingly, digital health and telemedicine sectors. ABG has successfully invested through the following strategies: i) venture; ii) private equity, including buyout and growth capital; and iii) public equity. (Note: ABG Acquisition Corp. I upsized its IPO at pricing on Feb. 16, 2021, to 13.1 million Class A ordinary shares, up from 12 million shares, at $10 each to raise $131.0 million. This is a IPO of Class A ordinary shares, NOT the typical SPAC unit offering.)",BLANK CHECKS,0,2020,Contact Information,"430 Park Avenue, 12th Floor New York, NY 10022",1 (646) 829-9373,,ABG Acquisition Corp. I,Financial Information,,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ABGI,NASDAQ,13.1,$10.00 - $10.00,$131.0 mil,Jefferies,-,2/17/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We will seek to identify, through our management team’s experience and expertise, a business that aims to power transformation and provide disruptive technological innovation in a range of traditionally managed industries with particular emphasis on the financial services industry (FinTech). Within FinTech, we intend to focus on businesses operating within the insurance technology (“InsurTech”) subsector.",BLANK CHECKS,0,2021,Contact Information,"9663 Santa Monica Blvd., No. 1091 Beverly Hills, CA 90210",(424) 732-1021,,"Abri SPAC I, Inc.",Financial Information,$65.26mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ASPAU,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,Chardan,-,8/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our mission is to change the world, one protein at a time. We founded AbSci with the goal of creating better medicines and helping them reach patients sooner. We recognized the extraordinary medical and economic potential of protein-based drugs (biologics), but also the significant challenges the biopharmaceutical industry faces to both discover novel biologics and generate cell lines to manufacture them at commercial scale. We looked at the end game – getting better medicines to patients, faster — and asked: how? We built our technology to be that how.  Our Drug Creation Platform is designed to create new and better biologics and accelerate their advancement into clinical trials, and ultimately into the marketplace where they can serve patients. We have drug candidates in nine Active Programs (across seven partners’ preclinical or clinical pipelines) for which we have negotiated, or expect to negotiate upon completion of certain technology development activities, license agreements with potential downstream milestone payments and royalties. Eight of the nine Active Programs are focused on developing production cell lines for our partners’ drug candidates. Our partners include Merck & Co., Inc., Xyphos Biotechnology, an Astellas company, Alpha Cancer Technologies, Inc., and other undisclosed biotechnology companies. These drug candidates include five preclinical programs, one Phase 1 program, one Phase 3 program – and one animal health program. (Note: AbSci Corp. priced its IPO on July 21, 2021, at $16 – the mid-point of its $15-to-$17 price range – on 12.5 million shares, the number of shares in the prospectus, to raise $200 million.)",Services - Commercial Physical & Biological Research,169,2011,Contact Information,"18105 SE Mill Plain Blvd Vancouver, WA 98683",(360) 949-1041,http://www.absci.com/,AbSci Corp.,Financial Information,$1446.08mil,$5.27 mil (last 12 months),$-22.66 mil (last 12 months),IPO Profile,ABSI,NASDAQ,12.5,$16.00 - $16.00,$200.0 mil,J.P. Morgan/ BofA Securities/ Credit Suisse/ Cowen/ Stifel,-,7/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on industrial, transportation & mobility, consumer and retail sectors, where our management team can capitalize on its decades of strategic experience to identify, acquire and operate an attractive target and drive superior shareholder value creation. Robert Nardelli is our CEO and the chairman of our board of directors. He began his career on the factory floor at GE as an entry-level manufacturing engineer and rose through the ranks to become a senior executive in charge of major GE businesses over a 25-plus-year career. Mr. Nardelli was the CEO of The Home Depot from December 2000 until early January 2007. In 2007, he joined Chrysler as chairman and CEO. He subsequently became the CEO of Cerberus Operations & Advisory Co. In 2012, Mr. Nardelli founded XLR-8 LLC, Investment & Advisory Co., a company that helps businesses identify weaknesses and improve performance. He is the managing member of XLR-8.",BLANK CHECKS,0,2021,Contact Information,"51 John F. Kennedy Parkway Short Hills, New Jersey 07078",(973) 314-3060,,Accelerate Acquisition Corp.,Financial Information,$500.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,AAQCU,NYSE,40.0,$10.00 - $10.00,$400.0 mil,UBS Investment Bank,-,3/18/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We provide personalized, technology-enabled solutions that help people better understand, navigate, and utilize the healthcare system and their workplace benefits. Our customers are primarily employers who deploy Accolade in order to provide employees and their families (our “members”) a single place to turn for their health, healthcare and benefits needs. Our innovative platform combines open cloud-based intelligent technology with multimodal support from a team of empathetic and knowledgeable Accolade Health Assistants and clinicians (including nurses, physician medical directors, and behavioral health specialists).",BUSINESS SERVICES,1250,2007,Contact Information,"1201 Third Avenue, Suite 1700, Seattle, WA 98101, US",(206) 926-8100,http://www.accolade.com,Accolade,Financial Information,$1040.3mil,$132.5 mil (last 12 months),$-51.4 mil (last 12 months),IPO Profile,ACCD,NASDAQ,10.0,$22.00 - $22.00,$220.5 mil,Goldman Sachs/ Morgan Stanley/ BofA Securities,Piper Sandler/ Credit Suisse/ William Blair/ Baird/ SVB Leerink,7/2/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to identify and acquire a business involved in the energy value chain, which includes upstream, water management, gas and vapor capture, energy transition related systems, midstream, oil and gas-related software, commodity risk management or oil and gas services. (Note: Accretion Acquisition Corp. upsized its SPAC IPO at pricing on Oct. 20, 2021, to price 18 million units, up from 15 million, at $10 each to raise $180 million.)",BLANK CHECKS,0,2021,Contact Information,"410 17th Street, #1110 Denver, Colorado 80202",(720) 328-5070,,Accretion Acquisition Corp.,Financial Information,$218.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ENERU,NASDAQ,18.0,$10.00 - $10.00,$180.0 mil,"EarlyBirdCapital, Inc./ Stephens Inc.",-,10/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"The company intends to focus on operating businesses in the gaming and e-commerce sectors in the Greater China, Japan and Southeast Asia regions. (This is a newly organized blank-check company or SPAC incorporated in the British Virgin Islands.)",BLANK CHECKS,0,2020,Contact Information,"6/F Unit B, Central 88, 88-98 Des Voeux Road Central, Hong Kong",+852 9086 7042,,Ace Global Business Acquisition Limited,Financial Information,$52.6mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ACBAU,NASDAQ,4.0,$10.00 - $10.00,$40.0 mil,Ladenburg Thalmann,Brookline Capital Markets (a division of Arcadia Securities LLC),4/6/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
