General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"We intend to focus on established businesses with an aggregate enterprise value of approximately $300 million to $1 billion that would benefit from access to public markets as well as the operational and strategic expertise of our management team and board of directors. Daniel Shribman is our CEO and our CFO. He is also the president of B. Riley Principal Investments, LLC, and the chief investment officer of B. Riley Financial; both are affiliates of B. Riley Securities, Inc. Mr. Shribman has 14 years of operating, deal-making and investment experience. Bryant Riley, our chairman, is the chairman and co-CEO of B. Riley Financial (Nasdaq: RILY), a publicly traded financial services company which operates through several subsidiaries. B. Riley went public in 2014 through a strategic combination with Great American Group. Since founding his company in 1997, Mr. Riley has expanded the B. Riley Financial platform organically and through acquisitions to become a diversified provider of capital markets and business advisory services. (Note: B. Riley Principal 150 Merger Corp. priced its SPAC IPO on Feb. 18, 2021, according to the terms in its prospectus: 15 million units at $10 each to raise $150 million. This is the third SPAC established by B. Riley Financial.)",BLANK CHECKS,0,2020,Contact Information,"299 Park Avenue 21st Floor New York, New York 10171",(212) 457-3300,,B. Riley Principal 150 Merger Corp.,Financial Information,$191.8mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BRPMU,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,B. Riley Securities,-,2/19/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on established businesses that have an aggregate enterprise value of approximately $800 million to $2 billion and would benefit from access to public markets and the operational and strategic expertise of our management team and board of directors. We will seek to capitalize on the significant experience of our management team in consummating an initial business combination with the ultimate goal of pursuing attractive returns for our shareholders. Our management team is led by Daniel Shribman who has 14 years of operating, deal-making and investment experience. Mr. Shribman is also the Chief Investment Officer of B. Riley Financial (Nasdaq: RILY), a holding company of a diversified group of subsidiaries, including B. Riley, a registered broker-dealer and entity holding a portfolio of cash and investments of over $1 billion. Mr. Shribman helps oversee the asset base of B. Riley Financial alongside Chief Executive Officer Bryant Riley. (Note: B. Riley Principal 250 Merger Corp. priced its SPAC IPO on May 6, 2021, in line with the downsized terms in its prospectus: 15 million units at $10 each to raise $150 million. The deal’s size was initially 25 million units and that amount was cut in an S-1/A filing on April 20, 2021.)",BLANK CHECKS,0,2020,Contact Information,"299 Park Avenue 21st Floor New York, New York 10171",(212) 457-3300,,B. Riley Principal 250 Merger Corp.,Financial Information,$193.05mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BRIVU,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,"B. Riley Securities, Inc.",-,5/7/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We anticipate that target business candidates will also be brought to our attention from various unaffiliated sources, including family offices, investment market participants, private equity groups, investment banks, consultants, accounting firms and large business enterprises.",BLANK CHECKS,0,2018,Contact Information,"299 Park Avenue, 21st Floor, New York, NY 10171, US",(212) 457-3300,,B. Riley Principal Merger,Financial Information,$160.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BRPM.U,NYSE,12.5,$10.00 - $10.00,$125.0 mil,B. Riley FBR,-,4/9/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We have not selected any specific business combination target and we have not, nor has anyone on our behalf, initiated any substantive discussions, directly or indirectly, with any business combination target with respect to an initial business combination with us. While we may pursue an initial business combination target in any industry or geographic region, we intend to focus on established businesses that have an aggregate enterprise value of approximately $400 million to $1 billion and would benefit from access to public markets and the operational and strategic expertise of our management team and board of directors.",BLANK CHECKS,0,2020,Contact Information,"299 Park Avenue, 21st Floor, New York, NY 10171, US",(212) 457-3300,,B. Riley Principal Merger Corp. II,Financial Information,$225.3mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BMRG.U,NYSE,17.5,$10.00 - $10.00,$175.0 mil,B. Riley FBR,-,5/20/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a leading storage cloud platform, providing businesses and consumers cloud services to store, use, and protect their data in an easy and affordable manner. We provide these cloud services through a purpose-built, web-scale software infrastructure built on commodity hardware. From genome sequencing to mapping the world, from saving lives to playing online games, from interacting with a business to running one, data is central to modern existence. By substantially reducing the complexity and frustration of storing, using, and protecting data, we empower customers to focus on their core business operations. Referrals from our community of brand advocates, combined with our highly efficient and primarily self-serve customer acquisition model and an ecosystem of thousands of partners, have allowed us to attract over 480,000 customers. These customers use the Backblaze Storage Cloud platform across more than 175 countries to grow and protect their business data on our approximately 2 exabytes, or 2 trillion megabytes, of data storage under management. As businesses and consumers shift to the cloud, we believe our cloud services will increasingly become a foundational element of their overall technology stack. At its founding, Backblaze set out to simplify the process of storing, using, and protecting data. Over the following years, we focused relentlessly on cutting away the complexity common among diversified cloud vendors’ services and legacy on-premises system vendors. Today, our solutions are differentiated by their ease of use and affordability. (Note: Backblaze priced its IPO on Nov. 10, 2021, at $16 – the mid-point of its $15-to-$16 price range – on 6.25 million shares, the same number of shares in the prospectus, to raise $100 million.)",Cloud - data storage for businesses,228,2007,Contact Information,"500 Ben Franklin Ct San Mateo, CA 94401",(650) 352-3738,http://www.backblaze.com/,"BACKBLAZE, INC.",Financial Information,$456.8mil,$59.87 mil (last 12 months),$-11.38 mil (last 12 months),IPO Profile,BLZE,NASDAQ,6.3,$16.00 - $16.00,$100.0 mil,Oppenheimer & Co./ William Blair/ Raymond James,JMP Securities/ Lake Street/ B. Riley Securities,11/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on the healthcare, education and business services sectors as we search for a target business with an enterprise value between $500 million and $2 billion. Our sponsor is controlled by an affiliate of Banner Ventures, a private investment firm. Our sponsor is led by an experienced team of managers, operators and investors who have played important roles building and growing family-owned and founder-led businesses into successful public companies. Christopher Christensen will serve as the chairman of our board. He is the co-founder and executive chairman of The Ensign Group, Inc., a leading publicly traded operator in the skilled nursing sector. Tanner Ainge will serve as our CEO and as a director on our board. He is the managing partner of Banner Ventures, where his primary responsibilities include sourcing, underwriting, and overseeing a portfolio of private equity and growth-stage investments on behalf of a close-knit group of family offices and successful entrepreneurs. (Note: Banner Acquisition priced its SPAC IPO on Sept. 7, 2021, in line with the terms in its prospectus: 15 million units at $10 each to raise $150 million.)",BLANK CHECKS,0,2021,Contact Information,"1633 W. Innovation Way, 5th Floor Lehi, UT 84043",(801) 447-1534,,Banner Acquisition Corp.,Financial Information,$187.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BNNRU,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,BofA Securities,-,9/8/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search on businesses in the customer engagement sector of telecommunications, retail and financial services. Subash Menon, our CEO and chairman of the board, is also the CEO and co-founder of Pelatro (LON: PTRO), a Customer Engagement enterprise software company listed on the Alternative Investment Market (“AIM”) and the London Stock Exchange (“LSE”). Having founded Pelatro in 2013, Mr. Menon has propelled the growth of the company to its current stage, with approximately 200 employees across five offices and an enterprise customer base of 21 companies across 17 countries. Mr. Menon guided Pelatro through a successful initial public offering (“IPO”) on the LSE in 2017. (Note: Bannix Acquisition Corp. upsized its micro-cap SPAC IPO at pricing on Sept. 9, 2021, by pricing 6 million units, up from 5 million in its prospectus, at $10 each to raise $60 million. In an S-1/A filing dated July 16, 2021, Bannix Acquisition Corp. cut the size of its SPAC IPO in half to 5 million units, down from 10 million, at $10 each to raise $50 million. The SPAC filed to go public in February 2021.)",BLANK CHECKS,0,2021,Contact Information,"300 Tice Boulevard; Suite 315 Woodcliff Lake, New Jersey 07677",(201) 712-9800,,Bannix Acquisition,Financial Information,$78.65mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BNIXU,NASDAQ,6.0,$10.00 - $10.00,$60.0 mil,"I-Bankers Securities, Inc.",-,9/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our efforts on identifying business combination targets in the foodservice industry, including foodservice equipment and supply manufacturers, commercial food manufacturers, commercial food dealers, industry adjacent digital businesses, emerging restaurant concepts, and other similar categories of businesses. ​Our chairman, Jerry Hyman, is a foodservice industry veteran who spent 17 years as the CEO of TriMark USA, from 2003 to 2020, leading it to become the largest foodservice dealer in the United States. He currently serves as its chairman. (Note: Banyan Acquisition Corp. upsized its SPAC IPO at pricing on Jan. 19, 2022, to 21 million units, up from 20 million, at $10 each to raise $210 million. Initially Banyan Acquisition had planned to offer 30 million units at $10 each, and then cut the deal’s size to 20 million in an S-1/A filing in early December 2021.)",BLANK CHECKS,0,2021,Contact Information,"400 Skokie Blvd Suite 820 Northbrook, Illinois 60062",(847) 757-3812,,Banyan Acquisition Corp.,Financial Information,$270.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,BYN.U,NYSE,21.0,$10.00 - $10.00,$210.0 mil,BTIG,-,1/20/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are an online marketing solution provider based in China. We are dedicated to helping our advertiser clients manage their online marketing activities with a view to achieving their business goals. We advise advertisers on online marketing strategies, offer value-added advertising optimization services and facilitate the deployment of online ads of various forms such as search ads, in-feed ads, mobile app ads and social media marketing ads. At the same time, as the authorized agency of some popular online media, such as Sogou (搜狗), sm.cn (神马), BoBo Video (波波视频), and Kuaishou Video (快手视频), we help online media procure advertisers to buy their ad inventory and facilitate ad deployment on their advertising channels. (Note: Baosheng Media announced Monday, Feb. 8, 2021, that it priced its IPO of 6 million shares at $5, the low end of its $5-to-$6 price range, while the number of shares was increased by 1 million from the terms in its prospectus. Baosheng’s stock started trading Monday, Feb. 8, on the NASDAQ.)",Business Services - Advertising,25,2015,Contact Information,"Room 901, Block B, Jinqiu International Building, Zhichun Road, Haidian District, Beijing, People’s Republic of China.",+86-010-82088021.,http://www.bsacme.com,Baosheng Media Group Holdings,Financial Information,$140.25mil,$17.8 mil (last 12 months),$11.2 mil (last 12 months),IPO Profile,BAOS,NASDAQ,6.0,$5.00 - $5.00,$30.0 mil,Univest Securities,-,2/8/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Basis Global Technologies is recognized by its users and industry market research companies as a leading provider of cloud-based workflow automation and business intelligence software for marketing and advertising functions within enterprises. Our internally developed Software-as-a-Service (“SaaS”) platform is composed of a suite of integrated applications that automate manual operations, standardize business processes, and improve marketing and advertising performance. We provide customers a comprehensive selection of unique buying methods across all channels and devices, using all major creative types and formats. Our software creates a single system of record, seamless team collaboration and actionable data-driven insights yielding material gains in productivity and increased profitability for our users. Our platform is composed of the following key elements: •Comprehensive workflow automation software that provides end-to-end functionality by connecting disparate third-party applications and streamlining disconnected workflows, including omni-channel activation, reporting, communication and collaboration, vendor management, data management, verification, measurement, contract and billing reconciliation, etc. •Award-winning media buying execution platform that powers the planning, execution, and measurement of advertising campaigns for our customers. Our omni-channel platform is rich in capabilities spanning across desktop, mobile, connected television (“CTV”), linear TV, audio, search, and social media. •Powerful artificial intelligence (“AI”) engine that optimizes marketing performance in real-time by ingesting more than 30 unique and non-personally identifiable parameters.",Services - Computer Programming & Data Processing,155,2001,Contact Information,"11 E. Madison Street, 6th Floor Chicago, IL 60602",(312) 423-1565,http://www.basis.net/,"Basis Global Technologies, Inc.",Financial Information,,$506.8 mil (last 12 months),$33.8 mil (last 12 months),IPO Profile,BASI,NASDAQ,0.0,$0.00 - $0.00,$100.0 mil,Goldman Sachs/BofA Securities/RBC Capital Markets BMO Capital Markets/Stifel/Needham & Co.,Loop Capital Markets/ Academy Securities/ C.L. King & Associates/ Ramirez & Co./ Siebert Williams Shanks,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
