General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"C3.ai is an Enterprise AI software company. We provide software-as-a-service, or SaaS, applications that enable the rapid deployment of enterprise-scale AI applications of extraordinary scale and complexity that offer significant social and economic benefit. All C3.ai software applications can be deployed on Azure, Amazon Web Services, or AWS, the IBM Cloud, Google Cloud Platform, or on-premise. Our customers include AstraZeneca, Baker Hughes, ConEdison, Koch, Raytheon Industries, Shell and the U.S. Air Force. (Note: C3.ai increased its IPO price range by 13.8 percent to $36 to $38, up from $31 to $34, in an SEC filing dated Dec. 7, 2020.)",PREPACKAGED SOFTWARE,482,2009,Contact Information,"1300 Seaport Blvd, Suite 500 Redwood City, CA 94063",(650) 503-2200,,C3.ai,Financial Information,$3564.21mil,$156.7 mil (last 12 months),$-69.38 mil (last 12 months),IPO Profile,AI,NYSE,15.5,$42.00 - $42.00,$651.0 mil,Morgan Stanley/ J.P. Morgan/ BofA Securities,Deutsche Bank Securities,12/9/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a biopharmaceutical company focused on harnessing the body’s natural regulation of protein levels to develop novel therapeutic candidates to target and destroy disease-causing proteins to treat cancer, neurodegenerative conditions and other diseases. We leverage our proprietary technology platform called TORPEDO (Target ORiented ProtEin Degrader Optimizer) to synthesize a new class of small molecule protein degraders that are designed to selectively and efficiently destroy disease-causing proteins, including targets previously considered to be undruggable. We are using our TORPEDO platform to build a robust pipeline of oral protein degradation drug candidates, with our lead product candidates focused on oncology indications. One of our lead product candidates, CFT7455, is an orally bioavailable degrader targeting IKZF1/3 for multiple myeloma, or MM; peripheral T-cell lymphoma, or PTCL, and mantle cell lymphoma, or MCL.",Pharmaceuticals,88,2015,Contact Information,"490 Arsenal Way, Suite 200 Watertown, MA 02472",617) 231-0700,http://www.c4therapeutics.com/,"C4 Therapeutics, Inc.",Financial Information,$693.09mil,$0 mil (last 12 months),$-34.1 mil (last 12 months),IPO Profile,CCCC,NASDAQ,9.6,$19.00 - $19.00,$182.4 mil,Jefferies/ Evercore ISI/ BMO Capital Markets/ UBS Investment Bank,,10/2/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on businesses at the leading edge of innovation in national security in these three key sectors: space, cybersecurity and energy transition. (Note: C5 Acquisition Corp. priced its SPAC IPO on Jan. 6, 2022, in line with the terms in its prospectus: 25 million units at $10 each to raise $250 million.)",BLANK CHECKS,0,2021,Contact Information,"1701 Pennsylvania Ave NW Ste # 460 Washington, D.C. 20006",(202) 452-9133,,C5 Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,CXAC.U,NYSE,25.0,$10.00 - $10.00,$250.0 mil,Cantor/ Moelis & Co.,-,1/7/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to capitalize on our management team’s differentiated ability to source, acquire, and manage a business in the healthcare industry, specifically healthcare services, healthcare information technology, care management, behavioral health, medical devices, diagnostics, pharma services, health and wellness, and specialty pharmacy. (Note: CA Healthcare Acquisition priced its IPO on Jan. 26, 2021, according to the terms in the prospectus: 10 million units at $10 to raise $100 million. On April 7, 2021, CA Healthcare Acquisition announced that it had entered into a definitive agreement to combine with LumiraDx, a COVID-19 testing company and medical device maker, in a deal with an enterprise value of $5 billion. LumiraDx withdrew its IPO on or about April 7, 2021.)",BLANK CHECKS,0,2020,Contact Information,"99 Summer Street Suite 200 Boston, MA 02110",(617) 314-3901,,CA Healthcare Acquisition Corp.,Financial Information,,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,CAHCU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,BTIG,-,1/27/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a clinical-stage biotechnology company focused on the discovery and development of engineered T cell therapies for B cell-mediated autoimmune diseases. Our proprietary technology utilizes chimeric autoantibody receptor, or CAAR, T cells that are designed to selectively bind and eliminate B cells that produce disease-causing autoantibodies, or pathogenic B cells, while sparing normal B cells. Our lead CAAR T cell product candidate was designed based on chimeric antigen receptor, or CAR, T cell technology that has been successfully developed and is marketed for the treatment of B cell cancers.",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),20,2017,Contact Information,"2929 Arch Street, Suite 600, Philadelphia, PA 19104, US",(267) 759-3100,http://www.cabalettabio.com,Cabaletta Bio,Financial Information,$259.1mil,$0 mil (last 12 months),$-23.4 mil (last 12 months),IPO Profile,CABA,NASDAQ,6.8,$11.00 - $11.00,$74.8 mil,Morgan Stanley/ Cowen and Company/ Evercore Group,-,10/25/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on technology-based healthcare businesses that are domiciled in Israel, that carry out all or a substantial portion of their activities in Israel, or that have some other significant Israeli connection. (Incorporated in the Cayman Islands) (Note: Cactus Acquisition Corp. 1 Limited priced its SPAC IPO on Oct. 28, 2021, in line with the terms in its prospectus: 10 million units at $10 each to raise $100 million.)",BLANK CHECKS,,2021,Contact Information,"4B Cedar Brook Drive Cranbury, NJ 08512",(609) 495-2222,,Cactus Acquisition Corp. 1 Limited,Financial Information,$125.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,CCTSU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Oppenheimer & Co./ Moelis & Co.,-,10/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: Cadre Holdings, Inc., re-filed its IPO filing in an S-1/A dated Sept. 10, 2021. On Oct. 28, Cadre amended that filing by posting terms. Cadre Holdings withdrew its first IPO in an SEC filing dated Aug. 27, 2021. Cadre postponed its IPO on Aug. 5, 2021, the morning that its stock was expected to start trading on the New York Stock Exchange, “due to market conditions.” The postponed IPO’s terms were 7.14 million shares at a price range of $16 to $19. That IPO was expected to trade on Aug. 5, 2021.) For over 55 years, we have been a global leader in the manufacturing and distribution of safety and survivability equipment for first responders. Our equipment provides critical protection to allow its users to safely and securely perform their duties and protect those around them in hazardous or life-threatening situations. We sell a wide range of products, including body armor, explosive ordnance disposal equipment and duty gear through both direct and indirect channels. In addition, through our owned distribution, we serve as a one-stop shop for first responders providing equipment we manufacture as well as third-party products, including uniforms, optics, boots, firearms and ammunition. Our target end user base includes domestic and international first responders such as state and local law enforcement, fire and rescue, explosive ordnance disposal technicians, emergency medical technicians (“EMT”), fishing and wildlife enforcement and departments of corrections, as well as federal agencies including the U.S. Department of State (“DoS”), U.S. Department of Defense (“DoD”), U.S. Department of Interior (“DoI”), U.S. Department of Justice (“DoJ”), U.S. Department of Homeland Security (“DHS”), U.S. Department of Corrections (“DoC”) and numerous foreign government agencies in over 104 countries. Note: Revenue (presented as net sales in the prospectus) and net income figures are for the last 12 months that ended June 30, 2021. (Note: Cadre Holdings upsized its IPO at pricing on Nov. 3, 2021, to 6 million shares, up from 5.77 million in the prospectus, and priced the IPO at $13 – the mid-point of its $12-to-$14 range – to raise","Body armor, ammunition and gear for first responders",2382,1964,Contact Information,"13386 International Pkwy Jacksonville, FL 32218",(904) 741-5400,http://www.cadre-holdings.com/,Cadre Holdings,Financial Information,$432.25mil,$438.46 mil (last 12 months),$35.91 mil (last 12 months),IPO Profile,CDRE,NYSE,6.0,$13.00 - $13.00,$78.0 mil,Stifel/ Raymond James/ B. Riley Securities/ Stephens Inc.,Roth Capital Partners/ Lake Street,11/4/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on the entertainment and real estate sectors, including experiential entertainment. (Incorporated in the Cayman Islands) Jonathan Goldstein, the founder and CEO of Cain International, is our chairman, CEO and CFO. (Note: Cain Acquisition filed to go public in March 2021 and withdrew its SPAC IPO registration on March 7, 2022.)",BLANK CHECK,0,2020,Contact Information,"350 Park Avenue, 14th Floor New York, NY 10022",(212) 607-0501,,Cain Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,CAINU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Credit Suisse,-,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a proven leader in the U.S. mortgage market with a uniquely diversified, customer-centric, purchase-focused platform. We deliberately focus on the purchase market and are the second largest independent mortgage originator based on purchase volume since 2016, according to IMF. Guided by analytics and data, we have leveraged our robust platform to build impressive scale across our highly complementary channels. As a result, for the year ended Dec. 31, 2019, we are the only player with a top 10 market position across all three channels tracked by IMF – retail, wholesale, and correspondent. Lone Star, a private equity fund, owns Caliber Home Loans. (Note: Caliber Home Loans withdrew its re-filed IPO in an SEC filing dated Nov. 15, 2021. Caliber Home Loans had re-filed its IPO with no terms in an S-1/A filing dated Jan. 21, 2021. In late October, this IPO was postponed; it had been set for pricing on Oct. 28, 2020. The terms of that postponed IPO were 23 million shares at $14 to $16 to raise an estimated $345.0 million; proposed symbol HOMS; NASDAQ listing.)",Services - Home Loans,6000,2013,Contact Information,"1525 S Belt Line Rd. Coppell, TX 75019",800-401-6587,,"Caliber Home Loans, Inc.",Financial Information,,$1901.9 mil (last 12 months),$237.5 mil (last 12 months),IPO Profile,HOMS,NYSE,0.0,$0.00 - $0.00,$100.0 mil,Credit Suisse/ Goldman Sachs/ Barclays/ BofA Securities/ Citigroup/ UBS Investment Bank/ Wells Fargo Securities,"Deutsche Bank Securities/ Keefe, Bruyette & Woods (Stifel)/ Drexel Hamilton/ Loop Capital Markets/ R. Seelaus & Co./ Tigress Financial Partners",,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: A public offering: Our common shares are traded on Nasdaq Stockholm under the symbol “CALTX.” The closing price of our shares on Nasdaq Stockholm on May 28, 2020 was SEK 94.00 per share, which equals a price of $19.77 per ADS based on the SEK/U.S. dollar exchange rate of SEK 9.51 to $1.00 as of May 28, 2020 and an ADS-to-share ratio of 1:2.) We are a clinical-stage biopharmaceutical company focused on identifying, developing and commercializing novel treatments in orphan indications, with an initial focus on renal and hepatic diseases with significant unmet medical needs. Our lead product candidate, Nefecon, is a proprietary, novel oral formulation of budesonide, an established, highly potent local immunosuppressant, for the treatment of the autoimmune renal disease IgA nephropathy, or IgAN, for which there is a high unmet medical need and there are no approved treatments.",PHARMACEUTICAL PREPARATIONS,24,2004,Contact Information,"Kungsbron 1, C8, SE-111 22, Stockholm, Sweden",+46 (0) 8 411 3005,http://www.calliditas.com,Calliditas Therapeutics AB,Financial Information,$915.3mil,$18.8 mil (last 12 months),$-9.8 mil (last 12 months),IPO Profile,CALT,NASDAQ,9.2,$19.50 - $19.50,$179.4 mil,Citigroup/ Jefferies/ Stifel,Carnegie,6/5/2020,,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on businesses within the asset management industry that we believe provide significant opportunities for growth and attractive investor returns. James Morrow, our chairman and CEO, is the founder and CEO of Callodine Group LLC, an asset management firm that specializes in yield-oriented investment strategies. Callodine, founded in 2018, has about $700 million of assets under management. Before founding Callodine, Mr. Morrow was a portfolio manager at Fidelity Investments where, at peak, he managed $40 billion of assets across multiple equity-income strategies, including upwards of $1 billion invested in alternative asset managers. He announced his retirement in February 2017 and remained with the firm through January 2018 as he transitioned all portfolio management responsibilities to his successors.",BLANK CHECKS,0,2021,Contact Information,"Two International Place, Suite 1830 Boston, MA 02110",(617) 880-7480,,Callodine Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,CALQU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Wells Fargo Securities,-,3/25/2021,Postponed,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We provide wireless broadband networking infrastructure solutions for network operators, including medium-sized wireless Internet service providers, enterprises and government agencies. Our scalable, reliable and high performance solutions create a purpose built wireless fabric which connects people, places and things across distances ranging from two meters to more than 100 kilometers, indoors and outdoors, using licensed and unlicensed spectrum, at attractive economics.",RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,516,2011,Contact Information,"3800 Golf Road, Suite 360, Rolling Meadows, Illinois 60008, US",(888) 863-5250,http://www.cambiumnetworks.com,Cambium Networks,Financial Information,$307.3mil,$251.4 mil (last 12 months),$0.58 mil (last 12 months),IPO Profile,CMBM,NASDAQ,5.8,$12.00 - $12.00,$69.6 mil,J.P. Morgan/ Goldman Sachs,Deutsche Bank Securities/ Raymond James/ JMP Securities/ Oppenheimer,6/26/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This IPO, filed in April 2021, was withdrawn on March 14, 2022. The proposed IPO in 2021 was part of a global offering, consisting of an international offering and a concurrent Peruvian offering. Camposol’s principal executive offices are in Lima, Peru; the company is incorporated in Cyprus. Camposol previously filed for a U.S. IPO in 2017 and withdrew those plans in 2018.) We focus on fast-growing produce categories as consumer preferences are shifting towards healthier and more convenient products. We produce fresh fruit under the Camposol brand, mainly blueberries and avocados, along with other products such as tangerines, mangoes and grapes. Most of our sales come from our own fields thus making us the largest independent producer of blueberries in Peru. We are in the top 5 of the largest Peruvian exporters of Hass avocados. Fresh produce is one of the fastest-growing food categories, with avocado and blueberries playing an outsized role in this growth, due to their health benefits and convenience. We are a global provider of fresh and healthy foods, serving retail and wholesale consumers in over 40 countries across the globe, such as Costco, Walmart, OGL, ALDI, Edeka, Sam’s Club, Publix, Kaufland, Tesco and Lidl, among others. We are currently present in five of the world’s top 10 food retailers as determined by the National Federation of Retailers, based on the top 100 ranking of retailers by sales in 2019, Our offering is sustained by our recognized value proposition: high consistency, superior quality and full traceability. The strategic location of our fields in some of the most economically stable countries in South America (Peru, Colombia, Chile and Uruguay) according to Fitch Solutions, gives us flexibility to produce year-round, considering the production cycles of all our products collectively. This enables us to sell and distribute products globally when supplies are low and prices are high in North America, Europe and China, resulting in strong operating margins.",Agriculture Production - Crops,16259,1997,Contact Information,"81-83 Grivas Digenis Avenue, 1st Floor Nicosia Jacovides Tower Nicosia 1090 Cyprus",(357) 22-209-999,http://www.camposol.com.pe/,Camposol Holding PLC,Financial Information,,$343.0 mil (last 12 months),$29.83 mil (last 12 months),IPO Profile,CMSL,NYSE,0.0,$0.00 - $0.00,$450.0 mil,BofA Securities/ UBS Investment Bank/ J.P. Morgan,ScotiaBank / Santander/ Interbank,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We provide supercomputing solutions through our proprietary high performance computing ASICs. Our visionary management team has a clear strategy to commercialize supercomputing technology. In January 2013, Mr. Nangeng Zhang, our chairman and chief executive officer, and his team, invented and delivered one of the first Bitcoin mining machines incorporating ASIC technology.",SEMICONDUCTORS & RELATED DEVICES,286,2013,Contact Information,"30/F, Dicara Silver Tower, 29 Jiefang East Road, Jianggan District, Hangzhou, People’s Republic of China",+86-571-8999-5063,http://www.canaan-creative.com,Canaan,Financial Information,$1209.4mil,$176.3 mil (last 12 months),$-35.4 mil (last 12 months),IPO Profile,CAN,NASDAQ,10.0,$9.00 - $9.00,$90.0 mil,Citigroup/ China Renaissance/ CMBI,Galaxy Digital/ Huatai Securities/ Tiger Brokers/ Haitong International,11/21/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
