General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"While our efforts to identify a target business may span many industries and regions worldwide, we intend to focus our search for prospects within the software and internet technology industries.",BLANK CHECKS,0,2020,Contact Information,"533 Airport Blvd., Suite 400, Burlingame, CA 94010, US",(619) 736-6855,,E.Merge Technology Acquisition,Financial Information,$637mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ETACU,NASDAQ,52.2,$10.00 - $10.00,$522.0 mil,Cantor/ Mizuho Securities,-,7/31/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a medical device company dedicated to improving the quality of life of people with hearing loss. We developed the Eargo solution to create a hearing aid that consumers actually want to use. Our innovative product and go-to-market approach address the major challenges of traditional hearing aid adoption, including social stigma, accessibility and cost. We believe our Eargo hearing aids are the first and only virtually invisible, rechargeable, completely-in-canal, FDA regulated, exempt Class I device for the treatment of hearing loss.  Our rapid pace of innovation is enabled by our deep industry and technical expertise across mechanical engineering, product design, audio processing, clinical and hearing science, consumer electronics and embedded software design, and is supported by our strategic intellectual property portfolio. Our differentiated, consumer-first approach empowers consumers to take control of their hearing by improving accessibility, with personalized, high-quality hearing support from licensed hearing professionals. We believe that our differentiated hearing aids, consumer-oriented approach and strong brand have fueled the rapid adoption of our products and high customer satisfaction, as evidenced by over 42,000 Eargo hearing aid systems sold, net of returns, as of June 30, 2020. We believe this represents the beginning of our penetration into a large, growing and underserved market of people with hearing loss, which we estimate included approximately 43 million adults in the United States and more than 465 million adults globally in 2019.","ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",184,2010,Contact Information,"1600 Technology Drive, 6th Floor San Jose, California 95110",(650) 351-7700,http://www.eargo.com,"Eargo, Inc.",Financial Information,$653.92mil,$46.9 mil (last 12 months),$-43.9 mil (last 12 months),IPO Profile,EAR,NASDAQ,7.9,$18.00 - $18.00,$141.3 mil,J.P.Morgan/ BofA Securities,Wells Fargo Securities/ William Blair,10/16/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,We intend to focus our search for a target business in the energy industry in North America.,Energy,6,2020,Contact Information,"7777 NW Beacon Square Boulevard, Boca Raton, FL 33487, US",(561) 826-3620,,East Resources Acquisition,Financial Information,$375mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ERESU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Wells Fargo Securities,-,7/23/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Although we are not limited to a particular industry or geographic region for purposes of consummating an initial business combination, we intend to focus on businesses primarily operating in the financial services industry or businesses providing technological services to the financial industry, commonly known as “fintech businesses” in North America and the Asia-Pacific.",BLANK CHECKS,2,2019,Contact Information,"25 Mall Road, Suite 330, Burlington, MA 01803, US",(781) 202 9128,,East Stone Acquisition,Financial Information,$154.4mil,$0.0 mil (last 12 months),$0.0 mil (last 12 months),IPO Profile,ESSCU,NASDAQ,12.0,$10.00 - $10.00,$120.0 mil,I-Bankers Securities,EarlyBirdCapital,2/20/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a leading ASIC chip design company and a leading manufacturer of high performance Bitcoin mining machines, according to the F&S report. We have strong ASIC chip design capability underpinned by nearly a decade of industry experience and expertise in the telecommunications business. We are one of the few fabless IC design companies with the advanced technology to independently design ASIC chips, established access to third-party wafer foundry capacity and a proven in-house capability to produce blockchain and telecommunications products, according to the F&S report. We have dedicated our technology and efforts to ASIC applications for Bitcoin mining machines and were a leading Bitcoin mining machine producer in the global market in terms of computing power sold in 2019, according to the F&S report.",SEMICONDUCTORS & RELATED DEVICES,240,2010,Contact Information,"26-27/F, Building 3, Xinbei Qianjiang International Building, Qianjiang Economic and Technological Development Zone, Yuhang District, Hangzhou, Zhejiang, China",+86 571-8817-6197,http://www.ebang.com.cn,Ebang International Holdings,Financial Information,$441.5mil,$109.1 mil (last 12 months),$-42.4 mil (last 12 months),IPO Profile,EBON,NASDAQ,19.3,$5.23 - $5.23,$100.8 mil,AMTD/ Loop Capital Markets,Prime Number Capital,6/26/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are one of China’s leading integrated solution providers in the rapidly growing non-medical health and wellness market. As an integrated solution provider, we act as the bridge between brand owners and Chinese consumers by marketing and distributing health supplements and food, mother and child care products, personal care products, household healthcare equipment and other health and wellness products. Through over seven years of operation, we have built an ecosystem where Chinese consumers are provided with customized health and wellness solutions that include quality products and trustworthy content.",CATALOG & MAIL-ORDER HOUSES,639,2011,Contact Information,"3F, No. 1000 Tianyaoqiao Road, Xuhui District, Shanghai, 200030, the People’s Republic of China",+86 21 6113-2270,http://www.ecmoho.com,ECMOHO Ltd.,Financial Information,$155.9mil,$278.98 mil (last 12 months),$6.8 mil (last 12 months),IPO Profile,MOHO,NASDAQ,4.4,$10.00 - $10.00,$43.8 mil,UBS Investment Bank/ CICC/ AMTD,Needham & Company/ Tiger Brokers,11/8/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is NOT a traditional IPO. This is a NASDAQ uplisting of American Depositary Shares from the Nasdaq First North Growth Market, where the company’s common shares traded under the symbol “ECOWVE.” The closing price of our shares on Nasdaq First North on June 15, 2021, was SEK 8.8 per share, which equals a price of $1.06 per share based on the SEK/U.S. dollar exchange rate of SEK 8.3083 to $1.00 as of such date. Each ADS equals eight common shares.) We are a wave energy company primarily engaged in the development of a smart and cost-efficient wave energy conversion, or WEC, technology that converts ocean and sea waves into clean electricity. Our corporate mission is to revolutionize energy production with our proprietary wave technology, and to become a leader in the renewable energy industry, which, according to an analysis by Frost & Sullivan, is expected to see $3.4 trillion in new investment in the next decade. Our WEC technology is implemented onshore or nearshore, as opposed to offshore systems, and draws energy from incoming waves by converting the rising and falling motion of the waves into an efficient and clean energy generation process. (Note: Eco Wave Power Global AB priced its micro-cap IPO on June 30, 2021, at $8 – well below its $10-to-$12 price range – and sold 1 million American Depositary Shares – or 200,000 more ADS than the 818,181 ADS in the prospectus – to raise $8 million.)",Renewable Energy - Ocean Waves,13,2019,Contact Information,"52 Derech Menachem Begin St. Tel Aviv-Yafo, Israel 6713701",+972-3-509-4017,https://www.ecowavepower.com/,Eco Wave Power Global AB,Financial Information,$41.74mil,$0 mil (last 12 months),$-1.97 mil (last 12 months),IPO Profile,WAVE,NASDAQ,1.0,$8.00 - $8.00,$8.0 mil,A.G.P.,-,7/1/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is a blank-check company backed by Energy Capital Partners ( ECP). Tyler Reeder, the president and CEO, is an ECP managing partner.) We intend to focus our search for a business combination target on, and use ECP’s and our directors’ and officers’ vast transactional experience and deep networks to pursue, businesses located in North America that concentrate on combatting climate change by decreasing the carbon intensity of energy production, increasing the efficiency of industrial and consumer-related activities, expanding electricity storage and distribution, and improving the overall sustainability of the economy through efforts to lower pollution and increase beneficial reuse. (Note: ECP Environmental Growth Opportunities Corp. priced its SPAC IPO on Feb. 8, 2021, in accordance with the terms of its recent upsizing in the prospectus: 30 million units at $10 each to raise $300 million. The deal’s size was increased to 30 million units from 25 million in an S-1/A filing dated Jan. 27, 2021.)",BLANK CHECKS,0,2020,Contact Information,"40 Beechwood Road Summit, New Jersey 07901",(973) 671-6100,,ECP Environmental Growth Opportunities Corp.,Financial Information,$375.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ENNVU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Barclays/Morgan Stanley/BMO Capital Markets,Drexel Hamilton/R. Seelaus & Co.,2/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our vision is to improve the lives of patients and families suffering from rare muscle disorders, including Duchenne muscular dystrophy (DMD) and Becker muscular dystrophy (BMD), by building the world’s leading muscle-focused, precision medicine company. In less than four years, we have matured into a clinical-stage biopharmaceutical company focused on discovering, developing and commercializing drugs to treat patients with rare muscular disorders for which there is significant unmet medical need. Our lead product candidate, EDG-5506, is an orally administered allosteric, selective, fast myofiber (type II) myosin small molecule inhibitor designed to address the root cause of dystrophinopathies, including Duchenne muscular dystrophy (DMD) and Becker muscular dystrophy (BMD). This drug candidate, EDG-556, is currently in a Phase 1 clinical trial. (Note: Edgewise Therapeutics upsized its IPO at pricing on March 25, 2021, by pricing 11 million shares, up from 10 million in the prospectus, at $16 – the top of its $14-to-$16 range – to raise $176 million.)  Flatsome Theme Options",Pharmaceuticals,19,2017,Contact Information,"3415 Colorado Ave. Boulder, CO 80303",(303) 735-8373,http://www.edgewisetx.com,Edgewise Therapeutics,Financial Information,$548.55mil,$0 mil (last 12 months),$-17.12 mil (last 12 months),IPO Profile,EWTX,NASDAQ,11.0,$16.00 - $16.00,$176.0 mil,J.P. Morgan/ Goldman Sachs/ SVB Leerink,Wedbush PacGrow,3/26/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is a unit IPO. IPOScoop has NO CALL on unit offerings that are not SPACs. From the prospectus: “We have applied to list our common stock and warrants on the Nasdaq Capital Market under the symbols “EDBL” and “EDBLW,” respectively.”) Edible Garden is a controlled environment agriculture (“CEA”) farming company. We use traditional agricultural growing techniques together with technology to grow fresh, organic food, sustainably and safely while improving traceability. We use the controlled environment of traditional greenhouse structures, such as glass greenhouses, together with hydroponic and vertical greenhouses to sustainably grow organic herbs and lettuces. In our hydroponic greenhouse, we grow plants without soil. Instead of planting one row of lettuce in the ground, by using a vertical greenhouse, we can grow many towers of lettuce in the same area by planting up instead of planting across. Growing these products sustainably means that we avoid depleting natural resources in order to maintain an ecological balance, such as by renewing, reusing and recycling materials in order to lower the overall one-time use of materials. Our controlled greenhouse facilities allow us to grow consistent quality herbs and lettuces year-round, first by eliminating some of the variability of outdoor farming with our CEA techniques, and second by leveraging our proprietary software, GreenThumb. In addition to using hydroponic and vertical greenhouse systems, we use a “closed loop” system in our greenhouses. Generally, in a “closed loop” system, drain water is recollected and reused for irrigation. In our closed loop system, we also cycle water back into the system that has been collected through reverse osmosis. When compared to conventional agriculture, our closed looped systems and hydroponic methods use less land, less energy and less water (than legacy farms), thus conserving some of the planet’s limited natural resources. Our advanced systems are also designed to help mitigate contamination from harmful pathogens, including salmonella, e-coli and others. We have also developed patented software called GreenThumb that assists in tracking plants through our supply chain. Utilizing our GreenThumb software to track the status of our plants as they grow and move throughout the greenhouse allows us to add a layer of quality control due to the frequent monitoring of the growing process, leading to improved traceability. In this context, traceability means being able to track a plant through all stages of production and distribution. Note: Revenue and net loss figures are for the year ended Dec. 31, 2021.",Agriculture Production - Crops,46,2020,Contact Information,"283 County Road 519 Belvidere, NJ 07823",(908) 750-3953,http://www.ediblegarden.com/,"Edible Garden AG, Inc.",Financial Information,$78.65mil,$10.51 mil (last 12 months),$-5.54 mil (last 12 months),IPO Profile,EDBL,NASDAQ,1.4,$10.00 - $12.00,$15.0 mil,Maxim Group LLC,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
