General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"(IPOScoop has No Call on this initial public offering. Please see this statement in the prospectus: “Until recently, our Ordinary Shares traded on the Australian Securities Exchange operated by ASX Ltd. (or ASX), under the symbol “GMV.” On October 22, 2020, our Ordinary Shares were voluntarily delisted from the ASX. We have been approved to list the Ordinary Shares on the Nasdaq Global Market under the symbol “GMVD”, subject to notice of issuance. No assurance can be given that an active trading market for our Ordinary Shares will develop.”) We are an early commercial stage healthcare company engaged in the development of next generation mobile health (or mHealth) and telemedicine solutions and monitoring service platforms. We believe we are at the forefront of the digital health revolution in developing the next generation mobile technologies and services that are designed to empower consumers, patients and providers to better monitor, manage and improve clinical and personal health outcomes, especially for those who suffer from cardiovascular disease (or CVD), pulmonary disease and diabetes. (Note: G Medical Innovations Holdings re-filed its IPO on June 9, 2021, as a unit offering – 2.5 million units at $5 to $7 each – to raise $15 million, according to an F-1/A filing. Each unit consists of one ordinary share and one warrant, exercisable at 125 percent of the IPO price. The IPO previously consisted of 3 million shares at $5 to $7 each to raise $18 million, if priced at the mid-point. The IPO’s size was cut by 17 percent, in terms of the estimated proceeds. In the F-1/A filing dated June 8, 2021, G Medical Innovations also switched underwriters to Kingswood Capital Markets as the sole book-runner from ThinkEquity.)",Surgical & Medical Instruments & Apparatus,62,2014,Contact Information,"5 Oppenheimer St.	1500 S Lake Side Rehovot 7670105, Israel",+972.544.33.8822,https://gmedinnovations.com/,G Medical Innovations Holdings,Financial Information,$77.46mil,$4.6 mil (last 12 months),$-13.3 mil (last 12 months),IPO Profile,GMVD,NASDAQ,2.5,$5.00 - $7.00,$15.0 mil,Kingswood Capital Markets (a division of Benchmark Investments),-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an early commercial stage healthcare company engaged in the development of next generation mobile health (or mHealth) and telemedicine solutions and monitoring service platforms. We believe we are at the forefront of the digital health revolution in developing the next generation mobile technologies and services that are designed to empower consumers, patients and providers to better monitor, manage and improve clinical and personal health outcomes, especially for those who suffer from cardiovascular disease (or CVD), pulmonary disease and diabetes. Using our proprietary and patented suite of devices, software solutions, algorithms and monitoring services, we intend to drive recurring revenue streams in two vertical markets, with a focus on markets in the United States and China as well as other markets: *Business to business (B2B): professional healthcare markets (including hospitals, clinics and senior care facilities), and *Business to business to consumer (B2B2C) and business to consumer (B2C): consumer healthcare markets. Our management team is led by individuals with over 30 years of combined experience in developing mobile embedded medical sensors, and with over 48 medical devices approved by the U.S. Food and Drug Administration (or the U.S. FDA), including devices approved when the members of our management team were employed at other companies. Our management has proven their ability to execute our go-to-market strategy as described below, with over 25 years of medical device development and commercialization experience in the United States, China, parts of Europe, Australia, South Africa, Japan, the Asia Pacific region and Brazil. (Note: G Medical Innovations priced its IPO on June 24, 2021, at $5 – the bottom of its $5-to-$7 range – on 3 million units, up from 2.5 million units in the prospectus, to raise $15 million.)",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,,Contact Information,"5 Oppenheimer St. Rehovot 7670105, Israel",+972.544.33.8822,,G Medical Innovations Holdings Ltd.,Financial Information,$67.05mil,$4.9 mil (last 12 months),$-12.69 mil (last 12 months),IPO Profile,GMVD,NASDAQ,3.0,$5.00 - $5.00,$15.0 mil,EF Hutton (formerly Kingswood Capital Markets),-,6/25/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search within the technology sector, and specifically within six core verticals or megatrends described as: Software-as-a-Service (SaaS); Online Marketplaces; Mobility 2.0/Logistics; FinTech/InsurTech; New Age Media and Sustainability. Our sponsor is an affiliate of G Squared Equity Management LP (“G Squared”), a registered investment adviser and a venture capital fund manager founded in 2011 by Larry Aschebrook. G Squared’s portfolio includes leaders in our target sectors such as 23andMe, Auto1, Blend, Bolt, Brex, Convoy, Coursera, Fast, Flexport, Revolut, Toast, Turo, UiPath and WeFox. G Squared has also successfully exited investments in notable public companies such as Asana, Dropbox, Jamf, Lemonade, Lyft, Meituan, Palantir, Peloton, Pinterest, Postmates, Snap, Spotify, Twitter and Uber, among others. (Note: G Squared Ascend I upsized its IPO at its Feb. 4th pricing: 30 million units, up from 25 million, at $10 each.)",BLANK CHECKS,0,2020,Contact Information,"205 N Michigan Ave Suite 3770 Chicago, IL 60601",,,G Squared Ascend I Inc.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GSQD.U,NYSE,30.0,$10.00 - $10.00,$300.0 mil,UBS Investment Bank,-,2/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"G Squared Ascend II Inc. is a blank check company incorporated as a Cayman Islands exempted company. This is the second blank check company created by Larry Aschebrook, the founder and managing partner of G Squared, a venture fund focused on the tech sector, along with Ward Davis, a principal at G Squared, and Tom Hoban, the COO of G Squared. We intend to focus our search within the technology sector, and specifically within six core verticals or “megatrends” – Software-as-a-Service (SaaS), online marketplaces, mobility 2.0/logistics, FinTech/InsurTech, new age media and sustainability. (Note: G Squared Ascend II priced its SPAC IPO on June 14, 2021, in line with the terms in its prospectus: 12.5 million units at $10 each to raise $125 million.)",BLANK CHECKS,0,2021,Contact Information,"205 N Michigan Ave., Suite 3770. Chicago, IL 60601",,,G Squared Ascend II,Financial Information,$156.25mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GSQB.U,NYSE,12.5,$10.00 - $10.00,$125.0 mil,UBS Investment Bank,-,6/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on investment opportunities in the leisure, craft brewing and distilling, automotive and distribution sectors.  Our management team consists of Brendan T. O’Donnell, our CEO, who also serves as the chief executive officer for Newport Craft Brewing & Distilling; Nicholas S. Schorsch, Jr., our president, who also serves as the COO of Bellevue Capital Partners, LLC, the parent company of our sponsor and AR Global Investments, LLC, a subsidiary of Bellevue Capital; Joseph Marnikovic, our CFO and treasurer, who also serves as the CFO of both Bellevue Capital and AR Global, and Michael R. Anderson, our general counsel and secretary, who also serves as the chief corporate counsel of both Bellevue Capital and AR Global. (Note: G&P Acquisition downsized its SPAC IPO at pricing on March 10, 2021: 17.5 million units, down from 20 million in the prospectus, at $10 each to raise $175 million.)",BLANK CHECKS,0,2020,Contact Information,"222 Bellevue Avenue Newport, Rhode Island 02840",(212) 415-6500,,G&P Acquisition Corp.,Financial Information,$225.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GAPA.U,NYSE,17.5,$10.00 - $10.00,$175.0 mil,BMO Capital Markets,-,3/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus initially on transactions with companies and/or assets within the technology industry, specifically within software, technology-enabled and business services sector, and related sectors. (Note: G3 VRM Acquisition Corp. priced its SPAC IPO on June 30, 2021, in line with the terms in its prospectus: 10 million units at $10 each to raise $100 million.)",BLANK CHECKS,0,2021,Contact Information,"20 Boylston Street, Suite 302 Boston, MA 02116",(617) 531-9911,,G3 VRM Acquisition Corp.,Financial Information,$131.48mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GGGVU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Maxim Group LLC,-,7/1/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a development-stage biotechnology company developing novel therapeutics to treat rare genetic diseases and neurological disorders caused by protein misfolding, with an initial focus on lysosomal storage disorders (“LSDs”). We use our exclusively in-licensed proprietary platform, Site-Directed Enzyme Enhancement Therapy (“SEE-Tx”), to discover novel allosteric sites on misfolded proteins and identify proprietary small molecules that bind these sites and restore protein folding, potentially treating the underlying disease. While the SEE-Tx platform is novel and has not been used to develop approved drugs yet, these advantages have the potential to ultimately enhance both tolerability and response.  As of Feb. 19, 2021, we have filed three patent applications and one provisional patent application (such applications do not cover the United States) for our novel Structurally Targeted Allosteric Regulators (“STARs”), which are small molecules with the potential to treat diseases with high unmet medical need for which there arefew or no available therapies. These diseases include Morquio B, GM1 Gangliosidosis (GM1), neuronopathic Gaucher disease, GBA1 Parkinson’s disease, Krabbe disease and Mucopolysaccharidosis type 1.",Pharmaceuticals,14,2017,Contact Information,"4800 Hampden Lane, Suite 200 Bethesda, MD 20814",(301) 500-1556,,"Gain Therapeutics, Inc.",Financial Information,,$0 mil (last 12 months),$-3.58 mil (last 12 months),IPO Profile,GANX,NASDAQ,0.0,$0.00 - $0.00,$40.0 mil,BTIG/Oppenheimer & Co.,National Securities Corp.,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a biotechnology company developing novel therapeutics to treat diseases caused by protein misfolding, with an initial focus on lysosomal storage disorders (“LSDs”), including rare genetic diseases and neurological disorders. We use our exclusively in-licensed proprietary platform, Site-Directed Enzyme Enhancement Therapy (“SEE-Tx”), to discover novel allosteric sites on misfolded proteins and identify proprietary small molecules that bind these sites and restore protein folding, potentially treating the underlying disease. As of Feb. 19, 2021, we have filed three patent applications and one provisional patent application (these do not cover the United States) for our novel Structurally Targeted Allosteric Regulators (“STARs”). These are small molecules with the potential to treat diseases with high unmet medical need, including Morquio B, GM1 Gangliosidosis (GM1), neuronopathic Gaucher disease, GBA1 Parkinson’s disease, Krabbe disease and Mucopolysaccharidosis type 1. (Note: Gain Therapeutics priced its IPO on March17, 2021, at $11 – the mid-point of its $10-to-$12 range – on 3.64 million shares (3,636,364 shares to be exact) to raise $40.0 million. This IPO was priced in sync with the terms in its prospectus.)",Pharmaceuticals,14,2017,Contact Information,"4800 Hampden Lane, Suite 200 Bethesda, MD 20814",(301) 500-1556,http://www.gaintherapeutics.com.,"Gain Therapeutics, Inc.",Financial Information,$124.6mil,$0.03 mil (last 12 months),$-3.58 mil (last 12 months),IPO Profile,GANX,NASDAQ,3.6,$11.00 - $11.00,$40.0 mil,"BTIG/ Oppenheimer & Co,.",National Securities Corp.,3/18/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on technology-enabled financial services businesses in emerging markets. Segments we might explore include, but are not limited to, insurance, reinsurance and insurance services, asset management, retail or investment banking, and merchant acquisition and payment processing. (Incorporated in the Cayman Islands) We were co-founded by an affiliated fund of Callaway Capital Management, LLC (“Callaway”), a Washington, DC-based investment manager that seeks to deliver superior, uncorrelated returns through idiosyncratic investments in emerging markets, and affiliated funds of Weiss Asset Management LP (“WAM”), a private investment firm headquartered in Boston, with offices in San Francisco and Hong Kong. Our CEO, Kemal Kaya, is a leading figure in banking and has over 35 years of experience in financial services. He is an advisor to The Blackstone Group and is the former CEO of Yapi Kredi, one of Turkey’s largest banks and insurance companies. Daniel Freifeld, the founder and chief investment officer of Callaway, has worked in emerging markets for close to 20 years. He will serve as president of Galata. Michael Tanzer, a portfolio manager for Callaway’s flagship investment fund, will serve as CFO. (Note: Galata Acquisition Corp. priced its SPAC IPO on July 8, 2021, in line with the terms in its prospectus: 12.5 million units at $10 each to raise $125 million.)",BLANK CHECKS,0,2021,Contact Information,"2001 S Street NW, Suite 320 Washington, DC 20009",(202) 866-0901,,Galata Acquisition Corp.,Financial Information,$156.25mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,GLTA.U,NYSE - American,12.5,$10.00 - $10.00,$125.0 mil,"B. Riley Securities, Inc.",-,7/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a clinical-stage biotechnology company developing therapeutics that are designed to target the biological processes that lie at the heart of fibrosis and impact a broad range of fibrotic and related diseases, including cancer. Our initial focus is on the development of small-molecule inhibitors of galectin-3 and lysyl oxidase-like 2, or LOXL2, which play key roles in regulating fibrosis. We believe our product candidates are distinct from the current generation of antifibrotic agents and have the potential to significantly improve patients’ clinical outcomes and enhance their quality of life. Our lead product candidate, GB0139, is an orally inhaled inhibitor of galectin-3. We are developing GB0139 for the treatment of severe fibrotic lung diseases such as idiopathic pulmonary fibrosis, or IPF, a life-threatening progressive fibrotic disease of the lung that affects approximately 100,000 people in the United States. We have conducted a Phase 2a study in 24 IPF patients, and we have initiated a potentially registrational, randomized Phase 2b trial in 450 IPF patients. We expect topline results from this trial to be available in 2022. (*Net loss figure is for the year ended 12/31/19, from the prospectus.)",Pharmaceuticals,,2011,Contact Information,Ole Maaloes Vej 3 DK-2200 Copenhagen N Denmark,(+45) 70 70 52 10,http://www.galecto.com,Galecto,Financial Information,$368.85mil,$0 mil (last 12 months),$-36.5 mil (last 12 months),IPO Profile,GLTO,NASDAQ,5.7,$15.00 - $15.00,$85.5 mil,BofA Securities/ SVB Leerink/ Credit Suisse,Kempen & Co.,10/29/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
