General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,nan
General Information,"We intend to capitalize on the ability of our management team to identify, acquire and manage a market-leading business that may provide opportunities for attractive risk-adjusted returns. We believe the expertise of our management team will allow us to identify potential acquisition targets with attractive risk-adjusted returns across a diverse set of industries and geographies. Furthermore, we believe that our management team is positioned to drive ongoing value creation post-business combination, as our team has done with investments in the healthcare, technology, media and telecommunications, services, industrial, consumer and other sectors over time. Our sponsor is an affiliate of H.I.G. Capital, a leading global alternative asset manager active in private equity, growth equity, credit and real asset strategies. H.I.G. Capital was founded in 1993 by Sami Mnaymneh and Tony Tamer, each of whom are currently Co-CEOs of H.I.G. Capital. As of August 31, 2020, H.I.G. Capital managed approximately $40 billion of capital under management, or aggregate capital commitments of private funds and accounts, across multiple investment fund strategies. Sami Mnaymneh, a Founder and Co-CEO of H.I.G. Capital, has directed the firm’s development since its founding in 1993. He previously was a managing director with The Blackstone Group in New York. Tony Tamer is a Founder and Co-CEO of H.I.G. Capital. He has directed H.I.G. Capital’s development since its founding in 1993. He previously was a partner at Bain & Company.",BLANK CHECKS,0,2020,Contact Information,"1450 Brickell Avenue 31st Floor Miami, FL 33131",(305) 379-2322,,H.I.G. Acquisition Corp.,Financial Information,$406.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HIGA.U,NYSE,32.5,$10.00 - $10.00,$325.0 mil,Credit Suisse/ Morgan Stanley/ BofA Securities,,10/21/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue acquisitions in any industry or geography, we intend to avoid companies in highly cyclical sectors such as upstream and midstream energy, commodities or real estate. (This blank-check company’s sponsor is an affiliate of Hamilton Lane Advisors, L.L.C., whose managing member is the private equity firm, Hamilton Lane, Inc. (Nasdaq: HLNE).) (Note: Hamilton Lane Alliance Holdings I upsized its IPO at pricing – to 24 million units, up from 20 million – at $10 each to raise $240 million.)",BLANK CHECKS,0,2020,Contact Information,"1 Presidential Blvd., Floor 4, Bala Cynwyd, PA 19004, US",(610) 934-2222,,Hamilton Lane Alliance Holdings I,Financial Information,$262.2mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HLAHU,NASDAQ,24.0,$10.00 - $10.00,$240.0 mil,J.P. Morgan/ Morgan Stanley,-,1/13/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"In 2016. we became the holding company for Hanover Community Bank (“the Bank”), a New York-chartered community commercial bank. The Bank was originally organized in 2009, with a focus on serving the South Asian community in Nassau County. After incurring financial and regulatory setbacks, the Bank was recapitalized in 2012 by a group led by our current Chairman and CEO Michael Puorro and current members of our Board of Directors. Following the 2012 recapitalization and hiring of Michael Puorro, the Bank adopted a strategic plan focused on providing differentiated consumer and commercial banking services to clients in the western Long Island markets and New York City boroughs, particularly the Queens and Brooklyn markets. As a result, the Bank has grown its balance sheet significantly both through organic loan and deposit growth, as well as opportunistic acquisitions.  The Bank’s management team members have used their strong local community ties along with their experience with both federal and New York bank regulatory agencies to create a bank that we believe emphasizes strong credit quality, a solid balance sheet without the burden of the troubled legacy assets of other banks, and a robust capital base. Our acquisitions of Chinatown Federal Savings Bank (“CFSB”) in 2019 and Savoy Bank (“Savoy”) in 2021 were significant steps towards accomplishing our objectives of diversifying our niche lending activities and enhancing our funding channels. Our corporate administrative office is located in Mineola, New York, where the Bank also operates a full-service branch office. Additional branches are located in Garden City Park, Forest Hills, Flushing, Sunset Park, Manhattan and Chinatown, New York. We also have an administrative office in Hauppauge, Suffolk County, New York, which helps service our municipal deposit customers. We are in the process of opening a branch office in Freehold, New Jersey. **Note: “Our assets have grown from $68.5 million at Dec. 31, 2012, to $1.46 billion at Dec. 31, 2021, representing a compound annual growth rate in excess of 40%.” As of Dec. 31, 2021, we had total assets of $1.5 billion, total deposits of $1.2 billion, and total stockholders’ equity of $129.4 million. During the fiscal year ended Sept. 30, 2021, we completed the acquisition of Savoy, which increased our total assets by approximately $650 million and expanded our SBA lending, commercial and consumer loan products. This acquisition was a core driver of growth in our key performance indicators and our financial results. **Note: Revenue and net income figures in this profile are for the fiscal year ended Sept. 30, 2021, according to the prospectus.  **Note: The S-1 filing is dated Feb. 23, 2022, and does not contain terms for the IPO’s size. Some IPO experts, however, estimate that this IPO will raise about $35 million.",Banking - Community bank,,2009,Contact Information,"80 East Jericho Turnpike Mineola, New York 11501",(516) 548-8500,http://www.hanoverbank.com/,"Hanover Bancorp, Inc./NY",Financial Information,,$44.82 mil (last 12 months),$10.85 mil (last 12 months),IPO Profile,HNVR,NASDAQ,0.0,$0.00 - $0.00,$0.0 mil,"Stephens, Inc./ Piper Sandler",-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an innovative nutraceutical and dietary supplements producer focused on the research, development, manufacturing, marketing and sales of a variety of products made from Chinese herbal and animal extracts in China. We conduct our business through our wholly-owned subsidiaries, mainly Fujian Happiness. Founded in 2004, Fujian Happiness focuses on providing nutraceutical solutions made from Chinese herbal extracts. We believe enhanced consumer awareness and demand for nutraceutical and dietary supplements, rising health care costs, aging populations, coupled with our effective sales have been the primary reasons for our growth throughout our 14 years of operating history.",MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,179,2004,Contact Information,"No. 11 Dongjiao East Road, and No. 134, Freight Yard Road, Shunchang, Nanping City, Fujian Province, People’s Republic of China",+ 86-0599-782-8808,http://www.fjxfl.com,Happiness Biotech Group Limited,Financial Information,$126.5mil,$63.9 mil (last 12 months),$18.7 mil (last 12 months),IPO Profile,HAPP,NASDAQ,2.0,$5.50 - $5.50,$11.0 mil,Univest Securities,WestPark Capital/ Newbridge Securities/ Zivest Global,10/25/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a real estate development company involved in all aspects of the land development cycle including, land acquisition, entitlements, construction of project infrastructure, home building, marketing, sales, and management of various residential projects in Western Washington’s Puget Sound region. We have active or recently sold out residential communities in Gig Harbor, Bremerton, Silverdale, Bainbridge Island, and Allyn Washington. Our business strategy is focused on the acquisition of land to develop property for the construction and sale of residential lots, home communities, and multi-family properties within a 30 to 60-minute commute to the Seattle metro employment corridor and our planned entry into other similar markets elsewhere in the United States.",OPERATIVE BUILDERS,40,2014,Contact Information,"11505 Burnham Dr., Suite 301, Gig Harbor, WA 98332, US",(253) 649-0636,http://www.harborcustomdev.com,Harbor Custom Development,Financial Information,$37.6mil,$36.6 mil (last 12 months),$0.2 mil (last 12 months),IPO Profile,HCDI,NASDAQ,1.8,$6.00 - $6.00,$10.6 mil,ThinkEquity (a division of Fordham Financial Management),Aegis Capital,8/28/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a commercial-stage pharmaceutical company focused on developing and commercializing innovative therapies for patients living with rare neurological disorders who have unmet medical needs. Our product, WAKIX (pitolisant), is a first-in-class molecule with a novel mechanism of action, or MOA, specifically designed to increase histamine signaling in the brain by binding to H3 receptors. In August 2019, WAKIX was approved by the U.S. Food and Drug Administration, or the FDA, for the treatment of excessive daytime sleepiness, or EDS, in adult patients with narcolepsy, and its U.S. commercial launch was initiated in November 2019. WAKIX is the first-and-only approved product for patients with narcolepsy that is not scheduled as a controlled substance.",PHARMACEUTICAL PREPARATIONS,150,2017,Contact Information,"630 W. Germantown Pike, Suite 215, Plymouth Meeting, PA 19462, US",(484) 539-9800,http://www.harmonybiosciences.com,Harmony Biosciences Holdings,Financial Information,$1528.3mil,$63.8 mil (last 12 months),$-146.5 mil (last 12 months),IPO Profile,HRMY,NASDAQ,5.4,$24.00 - $24.00,$128.4 mil,Goldman Sachs/ Jefferies/ Piper Sandler,-,8/19/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"As a blank check company with no material operations of our own, we conduct our operations through an office space in Hong Kong and our sponsor and all of our executive officers and directors are located in or have significant ties to the People’s Republic of China, or PRC. (Hash Space Acquisition Corp. is incorporated in the Cayman Islands.) We intend to concentrate our efforts in identifying a target in the blockchain sector with an equity value of $100 million to $300 million. We believe companies with considerable business scale and sound financial performance that focus on blockchain are potential attractive targets for our value creation needs through initial business combination. With the digitalization trend in various industries and the rising recognition of blockchain technology in recent years, spending in the global blockchain sector has significantly increased. The application scenarios of blockchain in financial sector is expected to become increasingly widespread, as the blockchain technology matures in decentralized finance (“DeFI”) and crypto payment.",BLANK CHECKS,0,2021,Contact Information,"Haiyi Lu Room 06, 13A/F. South Tower, World Finance Centre, Harbour City 17 Canton Road, Tsim Sha Tsui Kowloon, Hong Kong",+852-2206 0092,,Hash Space Acquisition Corp.,Financial Information,$42.7mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HACUU,NASDAQ,4.0,$10.00 - $10.00,$40.0 mil,Chardan,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our foundational technologies solve the core infrastructure challenges of cloud adoption by enabling an operating model that unlocks the full potential of modern public and private clouds. Our cloud operating model provides consistent workflows and a standardized approach to automating the critical processes involved in delivering applications in the cloud: infrastructure provisioning, security, networking, and application deployment. With our solutions, companies of all sizes and in all industries can accelerate their time to market, reduce their cost of operations, and improve their security and governance of complex infrastructure deployments. (Note: HashiCorp priced its IPO on Dec. 8, 2021, at $80 – $8 above the top of its $68-to-$72 price range – on 15.3 million shares to $1,224.0 million – or $1.22 billion.)",COMPUTER PROGRAMMING SERVICES,1650,2013,Contact Information,"101 2nd Street, Suite #700, San Francisco, CA 94105, US",(415) 301-3250,https://www.HashiCorp.com,"HashiCorp, Inc.",Financial Information,$14311mil,$286.1 mil (last 12 months),$-69.3 mil (last 12 months),IPO Profile,HCP,NASDAQ,15.3,$80.00 - $80.00,$1224.0 mil,Morgan Stanley/ Goldman Sachs/ J.P. Morgan/ BofA Securities/ Citigroup,"Cowen/ JMP Securities/ KeyBanc Capital Markets/ Nomura/ Oppenheimer/ Stifel/ William Blair/ Blaylock Van/ Blaylock Van,",12/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our business strategy focuses on two types of companies: those that have emerged privately from bankruptcy court protection and are owned by their former creditors or those that are privately owned and could benefit from an infusion of equity capital as part of a balance sheet recapitalization. We believe there is a sizable universe of companies that meet the prior criteria. The economic collapse caused by the COVID crisis beginning in early 2020 has significantly increased the universe of companies that are either stressed or were forced to restructure their balance sheets through an in-court or out-of-court process. Often, these types of companies would benefit from the capital infusion provided by a combination with a blank check company whose post-reorganization capital structures are sometimes designed to meet the requirements of pre-reorganization creditors instead of being optimized to allow the businesses to reach their full potential. Our sponsor was formed by JC Hawks & Co., which is led by J. Carney Hawks, our chairman and CEO. Mr. Hawks was founding partner of Brigade Management until his retirement from the firm at the end of 2019. Mr. Hawks has in excess of 20 years of experience investing in the public and private markets for distressed debt and post-restructured equities. corporate restructuring. We have retained GLC, and its co-founder and the managing director of GLC Advisors, J. Soren Reynertson, to provide us with financial advisory services.",BLANK CHECKS,0,2021,Contact Information,"600 Lexington Avenue, 9th Floor New York, NY 10022",(212) 542-4540,,Hawks Acquisition Corp.,Financial Information,$225.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HWKZ.U,NYSE,20.0,$10.00 - $10.00,$200.0 mil,BTIG/ Mizuho Securities,Imperial Capital,10/8/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a newly organized blank check company formed as a Delaware corporation for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses, which we refer to throughout this prospectus as our initial business combination. We intend to acquire and operate a business in the consumer and consumer-related products and services industries and believe our management team is well suited to identify opportunities that have the potential to generate attractive risk-adjusted returns for our stockholders.",BLANK CHECKS,0,2019,Contact Information,"650 Fifth Avenue, Floor 10, New York, NY 10019, US",(212) 616-9600,,Haymaker Acquisition Corp. II,Financial Information,$437.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HYACU,NASDAQ,35.0,$10.00 - $10.00,$350.0 mil,Cantor,-,6/7/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
