General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We are a clinical stage biopharmaceutical company committed to the discovery, development and commercialization of novel or highly differentiated biologics to treat diseases with significant unmet medical needs, particularly cancers and autoimmune disorders. We were founded to capture the opportunities presented by the confluence of two major developments––the emergence of an attractive and growing biologics market in China, and the revolutionary scientific breakthroughs in cancer and autoimmune disease medicines.",PHARMACEUTICAL PREPARATIONS,185,2007,Contact Information,"Suite 802, West Tower, OmniVision, 88 Shangke Road, Pudong District, Shanghai, People’s Republic of China",+86 21-6057-8000,http://www.i-mabbiopharma.com/en/,I-MAB,Financial Information,$778.3mil,$6.7 mil (last 12 months),$-146.8 mil (last 12 months),IPO Profile,IMAB,NASDAQ,7.4,$14.00 - $14.00,$103.7 mil,Jefferies/ CICC,China Renaissance/ Huatai Securities (USA),1/17/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Ibere Pharmaceuticals is a blank check company that intends to target pharmaceutical companies or life sciences companies with strong international brands. PIPV Capital, a private equity firm focused on healthcare, created this SPAC, which is incorporated in the Cayman Islands.) Osagie Imasogie, our chairman and CEO, is a co-founder and senior managing partner of PIPV Capital. He was previously the founding vice president of GlaxosmithKline Ventures. Lisa Gray, our CFO, and Zoltan Kerekes, our COO, are co-founders and managing partners of PIPV Capital. (Note: Ibere Pharmaceuticals upsized its SPAC IPO at pricing on Feb. 25, 2021: 12 million units, up from 10 million, were priced at $10 each to raise $120 million.)",BLANK CHECKS,0,2021,Contact Information,"2005 Market Street, Suite 2030 Philadelphia, PA 19103, US",(267) 765-3222,,Ibere Pharmaceuticals,Financial Information,$145mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,IBERU,NYSE,12.0,$10.00 - $10.00,$120.0 mil,Raymond James,-,2/26/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,IBEX is a leading global customer experience (“CX”) company delivering solutions to help the world’s preeminent brands more effectively engage with their customers. The outsourced industry is undergoing a paradigm shift with blue chip companies in traditional industries pivoting toward digitally-enabled marketplaces and increasingly digitally-native consumers. Companies are reacting to this shifting landscape with a relentless focus on CX and customer lifetime value (“LTV”). They are beginning to view their customer contact center providers as essential partners and extensions of their brand rather than cost centers that manage customer interaction.,COMPUTER PROCESSING & DATA PREPARATION,22537,2017,Contact Information,"Crawford House, 50 Cedar Avenue, Hamilton HM11 Bermuda",(441) 295-6500,http://www.ibex.co,IBEX Ltd.,Financial Information,$336.1mil,$392.2 mil (last 12 months),$11.3 mil (last 12 months),IPO Profile,IBEX,NASDAQ,4.8,$19.00 - $19.00,$90.4 mil,Citigroup/ RBC Capital Markets/ Baird,SunTrust Robinson Humphrey/ Piper Sandler,8/7/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Our purpose is to deliver the world’s leading Talent Cloud to empower organizations everywhere to hire the best talent and build their winning workforce. We believe that the right talent, on the right team, transforms businesses, communities, and the world. Talent enables organizations to out-innovate competition, provide customer experiences that create brand ambassadors, and serve their local and global communities. We believe Talent Powers TransformationTM. No asset matters more to a business than its people. We believe an integrated end-to-end software solution to attract talent, engage candidates, hire employees, and advance careers is more critical now than ever before. The iCIMS Talent Cloud enables the world’s best brands to build the pipeline that matters the most—their talent pipeline—and innovate, differentiate, and succeed through their talent.",PREPACKAGED SOFTWARE,1200,2010,Contact Information,"101 Crawfords Corner Road, Suite 3-100, Holmdel, NJ 07733, US",(888) 279-3992,http://www.icims.com,iCIMS Holding LLC,Financial Information,,$265.1 mil (last 12 months),$-58.3 mil (last 12 months),IPO Profile,TLNT,NASDAQ,0.0,$0.00 - $0.00,$100.0 mil,Morgan Stanley/ J.P. Morgan/ Citigroup/ Barclays/ Credit Suisse,Baird/ Needham & Company/ Oppenheimer/ Stifel/ Guzman & Company/ Loop Capital Markets/ Roberts & Ryan/ R. Seelaus/ Tribal Capital Markets,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Milwaukee Bucks co-owner Jamie Dinan, who is also the owner and the chairman of hedge fund York Capital, is teaming up with Alexander Knaster, the majority owner of Italian soccer team AC Pisa 1909, and Gianluca Vialli, an Italian soccer legend, to create and run this sports-themed SPAC. (Incorporated in the Cayman Islands) From the prospectus: “We intend to capitalize on the ability of our sponsor group and management team to identify, acquire and accelerate a business in the global sports industry or an adjacent sector including data and analytics, media and technology. In doing so, we intend to focus our search on iconic businesses, including sports franchises, which will complement our differentiated expertise, benefit from our strategic and hands-on operational leadership and where we believe there are opportunities for attractive risk-adjusted returns and to build a platform for future investments.” (Note: Iconic Sports Acquisition Corp. upsized its SPAC IPO at pricing on Oct. 21, 2021, to 30 million units, up from 25 million, at $10 each to raise $300 million.)",BLANK CHECKS,0,2021,Contact Information,"190 Elgin Avenue George Town, Grand Cayman KY1-9008 Cayman Islands",+44 (0) 2703 93702,,Iconic Sports Acquisition Corp.,Financial Information,$362.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ICNC.U,NYSE,25.0,$10.00 - $10.00,$300.0 mil,Credit Suisse/ Morgan Stanley,-,10/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a biopharmaceutical company leveraging our innovative virus-like particle (VLP) platform technology to develop vaccines against infectious diseases, with an initial focus on life-threatening respiratory diseases. Our VLP platform technology is designed to enable multivalent, particle-based display of complex viral antigens, which we believe will induce broad, robust and durable protection against the specific viruses targeted.  Our pipeline includes vaccine candidates targeting some of the most prevalent viral causes of pneumonia. We are developing these candidates for older adults, a patient population with high unmet need. Our vaccine candidate IVX-A12 is a bivalent candidate, or a mixture of two different VLP candidates. IVX-A12 combines IVX-121, a vaccine candidate designed to target respiratory syncytial virus (RSV), and IVX-241, a vaccine candidate designed to target human metapneumovirus (hMPV). There are currently no vaccines approved for either RSV or hMPV, which are two common causes of pneumonia in older adults. We filed a clinical trial application (CTA) for IVX-121 with the regulatory authority in Belgium (FAMHP) in June 2021 and plan to initiate a clinical trial of IVX-121 in the second half 2021, with topline data expected in the first half of 2022. Assuming favorable results from the IVX-121 clinical trial and favorable preclinical data for IVX-241, we plan to submit an investigational new drug application (IND) to the U.S. Food and Drug Administration (FDA) in the first half of 2022 and, thereafter, initiate a clinical trial of our combination vaccine candidate, IVX-A12. Additionally, we are developing two severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccine candidates, IVX-411 and IVX-421, and initiated a Phase 1/2 clinical trial of IVX-411 in Australia in June 2021, with proof-of-concept data expected in the first half of 2022. We believe that our pipeline and platform can deliver a meaningful impact globally in preventing life-threatening infectious diseases. Note: We have not generated any revenue from the sale of our products. We were awarded a $10 million grant from the Bill & Melinda Gates Foundation (BMGF)on Sept. 24, 2020, to develop the SARS-CoV-2 vaccine. We recognized $3.617 million in grant revenue for the last 12 months that ended March 31, 2021. The grant agreement goes through March 31, 2022.",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),22,2017,Contact Information,"1616 Eastlake Avenue E., Suite 208 Seattle, Washington 98102",(206) 737-0085,http://www.icosavax.com/,"Icosavax, Inc.",Financial Information,$530.7mil,$3.62 mil (last 12 months),$-21.3 mil (last 12 months),IPO Profile,ICVX,NASDAQ,12.1,$15.00 - $15.00,$182.0 mil,Jefferies/ Cowen/ Evercore ISI / William Blair,-,7/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We, supported by our e-commerce trading platform, are primarily engaged in sales of electronic component products to customers in Hong Kong and the People’s Republic of China (PRC). These products are primarily used by China-based small and medium-sized enterprises (“SMEs”) in the consumer electronic industry, Internet of Things (“IoT”), automotive electronics and industry control segment. In addition to the sales of electronic component products, we also provide services to customers such as temporary warehousing, logistic and shipping, and customs clearance and charge them additional service commission fees. We sell two categories of electronic component products: (i) semiconductor products and (ii) electronic equipment, tools and other products. Our semiconductor products primarily include various integrated circuit, discretes, passive components and optoelectronics, and our equipment, tools and other electronic component products primarily include various electromechanical, maintenance, repair & operations (“MRO”), and various design tools. Note: We are not a Chinese operating company, but a holding company incorporated in the Cayman Islands with all of our operations conducted by our wholly owned subsidiaries established in the People’s Republic of China (“PRC” or “China”) and Hong Kong. This structure involves unique risks to investors. See “Risk Factor — Risks Related to Doing Business in China” starting on page 50 of this prospectus and “Risk Factor — Risks Related to Our Corporate Structure” starting on page 48 of this prospectus. For the fiscal year ended June 30, 2021, we made purchases from a total of 966 suppliers. As the date hereof, we have uploaded information of all products we purchased not only from those suppliers but from any new suppliers in 2022 on the new platform. For the fiscal year ended June 30, 2021, we generated revenue from a total of 1,049 customers through the old platform. The new platform, however, does not automatically integrate the information of registered customers from the old platform. The customers are mainly small-medium electronic component buyers in PRC, some of which are repeat customers who constantly place orders on the platform, and some are less active who place orders whenever they need to. For those repeat customers, we were able to contact them and worked with them even prior to the termination of the VIE arrangement to register with the new platform and continue working with them to transfer over to the new platform. For other random customers, with the assistance from Pai Ming Shenzhen, we are gradually transferring them over. See more details about the cooperation with Pai Ming Shenzhen described in this prospectus. We currently expect that it will take us up to one year to complete the transfer of customers. In January and February 2022, we had 427 customers, among which 382 were transferred customers and 45 were new customers (including 9 new customers sourced by Pai Ming Shenzhen). **Note: For the fiscal year ended June 30, 2021, our revenue was $279.36 million, and our net income was $2.63 million. (Note: ICZoom Group Inc. filed its F-1 on Aug. 23, 2021; it set terms in its F-1/A filing on Sept. 17, 2021: 4.4 million shares at $5 to $6 to raise $24 million.)","Wholesale - Electronic parts & equipment, NEC",115,2012,Contact Information,"Room 102, Technology Bldg., International e-Commerce Industrial Park 105 Meihua Road Futian, Shenzhen China, 518000",86 755 86036281,http://www.iczoomex.com/,ICZOOM Group Inc.,Financial Information,$79.17mil,$279.36 mil (last 12 months),$2.63 mil (last 12 months),IPO Profile,IZM,NASDAQ,4.4,$5.00 - $6.00,$24.0 mil,Prime Number Capital/ Shengang Securities,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an oncology-focused precision medicine company committed to the discovery and development of targeted therapeutics for patient populations selected using molecular diagnostics. Our approach integrates extensive capabilities in identifying and validating translational biomarkers with small molecule drug discovery to select patient populations most likely to benefit from the targeted therapies we are developing. We are applying these capabilities across multiple classes of precision medicine, including direct targeting of oncogenic pathways and synthetic lethality – which represents an emerging class of precision medicine targets.",PHARMACEUTICAL PREPARATIONS,58,2015,Contact Information,"7000 Shoreline Court, Suite 350, South San Francisco, CA 94080, US",(650) 443-6209,http://www.ideayabio.com,IDEAYA Biosciences,Financial Information,$194.8mil,$0 mil (last 12 months),$-38.1 mil (last 12 months),IPO Profile,IDYA,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,J.P. Morgan/ Citigroup/ Jefferies,-,5/23/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: iFIT Health & Fitness, Inc., announced early on Oct. 7, 2021, that it had postponed its IPO “due to adverse market conditions.” The IPO’s pricing was delayed for a second night – on Oct. 6, 2021. iFIT Health & Fitness was initially scheduled to price its IPO on Oct. 5, 2021.) We are a health and fitness subscription technology company, fueled by our passion to innovate, grow and provide meaningful solutions for our members. iFIT is an integrated health and fitness platform, designed to connect our proprietary software, experiential content and interactive hardware to deliver an unmatched connected fitness experience. We are a growing community of over 6.1 million Total Members and 1.5 million Total Fitness Subscribers with members in over 120 countries. We deliver our patented interactive experiences on the industry’s broadest range of fitness modalities, including treadmills, bikes, ellipticals, rowers, climbers, strength equipment, fitness mirrors, yoga equipment and accessories. Driven by the adoption of our iFIT platform, we are the No. 1 provider of large fitness equipment in the United States. In fiscal 2021, we sold approximately 10.1 million Interactive Fitness Products with a Gross Merchandise Value of $2.8 billion. Our brands, including iFIT, NordicTrack, ProForm and Freemotion, are leaders in the fitness equipment industry. Our iFIT operating system provides interactive experiences on all of our connected equipment brands, allowing members to gain access to our full library of iFIT live and on-demand content for $15/month for individuals or $39/month for families of up to five (or $396 when paid annually). We believe the combination of our proprietary software and experiential content connected with our interactive hardware creates a compelling value proposition for our rapidly growing member base and generates attractive recurring subscription revenue. (Note: Revenue and net loss figures are for Fiscal Year 2021, which ended May 31, 2021.)",Electronic & Other Electrical Equipment (No Computer Equipment),2500,1977,Contact Information,"1500 South 1000 West Logan, Utah 84321",(435) 786-5000,http://www.ifit.com/,iFIT Health & Fitness Inc.,Financial Information,$6140.36mil,$1745.06 mil (last 12 months),$-516.7 mil (last 12 months),IPO Profile,IFIT,NASDAQ,30.8,$18.00 - $21.00,$600.0 mil,Morgan Stanley/BofA Securities/Barclays/Citigroup/Credit Suisse/Jefferies/Baird,Cowen/JMP Securities/Raymond James/Truist Securities/William Blair/Telsey Advisory Group,10/6/2021,Postponed,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue an acquisition in any business industry or sector, we intend to concentrate our efforts on identifying businesses in the leisure, gaming and hospitality industries with an enterprise value exceeding $750 million, with particular emphasis on businesses that are well-positioned for growth. Our chairman, Bradley Tusk, is a venture capitalist (Tusk Ventures) and a political strategist (Tusk Strategies). He is also a co-founder and the chairman of IG Gaming Group, a casino management company. Our CEO, Christian Goode, is also a co-founder and the CEO of IG Gaming Group. Our CFO, Edward Farrell, has worked in the casino industry for over 30 years. He previously was the CFO and president of Genting Americas. From June 2011 to May 2019, he served as the president of Resorts World Las Vegas, Resorts World Miami, Resorts World Bimini and Resorts World Casino New York City. He previously worked at the MGM Reno, The Mirage in Las Vegas and Foxwoods in Connecticut.",Blank Checks,0,2020,Contact Information,"251 Park Avenue South, 8th Floor New York, NY 10010, US",(917) 765-5588,,IG Acquisition Corp.,Financial Information,$375.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,IGACU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Cantor,Odeon Capital Group,10/1/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
