General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"As a holding company with no material operations of our own, our operations are conducted through our subsidiaries in the People’s Republic of China (the “PRC”), Taiwan, Hong Kong and Samoa, with our headquarters in Taiwan, and such structure involves unique risks to investors, as the Chinese government may exercise significant oversight and discretion over the conduct of our business and may intervene in or influence our operations at any time. (Incorporated in the Cayman Islands) Our Predecessor Group was established in 1970 and we have accumulated over 50 years know-how in material composite industry. We develop and commercialize the technology on carbon reinforcement and resin systems. With decades of experience and knowledge in composites and materials, we are able to apply our expertise and technology on designing and manufacturing a great variety of lightweight, high-performance carbon composite products, ranging from key structural parts of electric bicycles and sports bicycles, rackets, automobile parts to healthcare products. According to the industry report commissioned by us and prepared by Frost & Sullivan, we are one of the major global leading players in the carbon fiber bicycle parts industry and carbon fiber racket parts industry.  We primarily generate revenue through three divisions and revenue streams, namely (i) sales of bicycles parts of sports bicycle and electric bicycle; (ii) sales of rackets for use in tennis, badminton, squash and beach tennis; and (iii) sales of other products, which mainly include structural parts of automobile, other sporting goods and healthcare products. Our bicycle parts and rackets are mainly supplied directly or indirectly to branded customers located in Switzerland, France, Italy, the Netherlands, Germany and Japan and they market and distribute their products worldwide. Other customers who rely on our new products, such as automobile parts and healthcare products, are mainly located in Australia, Canada and Japan. *Note: For the six months ended June 30, 2021, our revenue was $12.2 million, and our net income was $1 million.","Bicycle & auto parts, sports rackets, healthcare products",,,Contact Information,"7/F-1, No. 633, Sec. 2, Taiwan Blvd., Xitun District, Taichung City 407, Taiwan (R.O.C.)",+ 886-423229900,,"J-Star Holding Co., Ltd.",Financial Information,,$ mil (last 12 months),$ mil (last 12 months),IPO Profile,YMAT,NASDAQ,0.0,$0.00 - $0.00,$0.0 mil,ViewTrade Securities,,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our efforts for an initial business combination within the broader food and consumer products value chain, where significant technology innovation is occurring from accelerating eCommerce demand trends and disruption in supply chain logistics. (The prospectus notes the impact of the COVID-19 pandemic on consumers’ buying habits and the resulting disruption of supply chains.) Jeffrey Kelter will serve as our executive chairman and chairman of the board of directors. Robert F. Savage will serve as our CEO. They are the founders of Keystone Property Trust. Partners since 1997, Mr. Kelter and Mr. Savage have .have an extensive background creating value within logistics-driven real estate. (Note: Jack Creek Investment Corp. added UBS Investment Bank to its joint book-runners’ team, along with J.P. Morgan, in an S-1/A filing dated Jan. 14, 2021, and it’s said to be set for pricing on Jan. 21, 2021, to trade Friday, Jan. 22. This SPAC IPO was postponed in October.)",BLANK CHECKS,0,2020,Contact Information,"386 Park Avenue South, FL 20 New York, NY 10016",(212) 710-5060,,Jack Creek Investment Corp.,Financial Information,$375.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,JCICU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,UBS Investment Bank/ J.P.Morgan,-,1/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We will search for a target business in heathcare services, healthcare technology or another area within the healthcare industry. John E. “Jeb” Bush has served as chairman of our board of directors since March 2021. Mr. Bush was the 43rd governor of the State of Florida, serving from 1999 through 2007. As governor, he implemented meaningful Medicaid reform and expanded home and community-based care for seniors, the disabled and foster care children. Richard L. Jackson has served as our president and CEO since March 2021. Mr. Jackson is the founder, chairman and CEO of Jackson Healthcare, a leading healthcare staffing company. The organization he launched in 2000 has steadily expanded through a mix of acquisitions and organic growth, and today includes 16 healthcare staffing, executive search and technology companies that include leaders and innovators in their respective markets. Jackson Healthcare is among the three largest healthcare staffing firms in the U.S. (based on 2019 revenue) with well over $1.0 billion in revenues in 2020. Given the operational experience of our management team in the healthcare services sector, we believe we are well-positioned to capitalize on key trends and opportunities in the post-COVID-19 world of healthcare. Members of our management team and proposed board of directors have extensive experience in the space, including acting as the Centers for Medicare and Medicaid Services, or CMS, Administrator under President Obama and CEO of one of the largest healthcare staffing firms in the U.S. (based on 2019 revenue). (Note: Jackson Acquisition Co. priced its SPAC IPO on Dec.8, 2021, in sync with the terms in its prospectus: 20 million units at $10 each to raise $200 million.)",BLANK CHECKS,0,2021,Contact Information,"2655 Northwinds Parkway Alpharetta, GA 30009",(678) 690-1079,,Jackson Acquisition Co.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,RJAC.U,NYSE,20.0,$10.00 - $10.00,$200.0 mil,BofA Securities,-,12/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search for a target business on companies within the Internet and technology sectors, including but not limited to, blockchain infrastructure and software services. (Included in the Cayman Islands) Our sponsor is Jade Value Holdings Limited, a British Virgin Islands company, managed by certain members of our management.",BLANK CHECKS,0,2021,Contact Information,"Floor 18, Lianluo Plaza, Wangjing Street #10, Chaoyang district, Beijing, China",+86 13911535799,,Jade Value Acquisition Corp.,Financial Information,$52.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,JVACU,NASDAQ,4.0,$10.00 - $10.00,$40.0 mil,Tiger Brokers/ EF Hutton,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on the PropTech sector, especially on businesses outside the United States with enterprise values of $500 million or more. (Incorporated in the Cayman Islands) We will seek to invest in businesses that offer innovative software, hardware, products, operations or services that are technologically equipped to improve property ownership, property financing, property valuation, property operations, property management, leasing, property insurance, real estate asset management and investment management and design, construction and development. These businesses have a large market audience and many different customers, including landlords, homeowners, tenants, developers, operators, managers, brokers, investors, lenders, architects, engineers and general contractors. We are a partnership between Gary R. Garrabrant and Thomas J. McDonald (the “Jaguar Founders”), who are experienced executives with extensive deal-making and investment management experience, most recently through their partnership, Jaguar Growth Partners Group, LLC (“Jaguar”), a holding company for a differentiated, global investment management firm focused on real estate private and public equity in developing and developed markets, and Hennessy Capital Group LLC (“Hennessy Capital Group”), a leading independent SPAC sponsor. (Note: Jaguar Global Growth Corp. I priced its SPAC IPO on Feb 10, 2022, in line with the terms in its prospectus: 20 million units at $10 to raise $200 million.)",BLANK CHECKS,0,2021,Contact Information,"3225 Franklin Avenue, Suite 309 Miami, Florida 33133",(312) 656-1035,,Jaguar Global Growth Corp. I,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,JGGCU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Citigroup/ Barclays,-,2/11/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are the standard in Apple Enterprise Management, and our cloud software platform is the only vertically-focused Apple infrastructure and security platform of scale in the world. We help organizations, including businesses, hospitals, schools and government agencies, connect, manage and protect Apple products, apps and corporate resources in the cloud without ever having to touch the devices. With Jamf’s software, Apple devices can be deployed to employees brand new in the shrink-wrapped box, set up automatically and personalized at first power-on and administered continuously throughout the life of the device.",PREPACKAGED SOFTWARE,1284,2002,Contact Information,"100 Washington Ave S, Suite 1100, Minneapolis, MN. US",(612) 605-6625,http://www.jamf.com,Jamf Holding,Financial Information,$3025.4mil,$220.3 mil (last 12 months),$-31.9 mil (last 12 months),IPO Profile,JAMF,NASDAQ,18.0,$26.00 - $26.00,$468.0 mil,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Barclays,RBC Capital Markets/ Mizuho Securities/ HSBC/ Canaccord Genuity/ JMP Securities/ Piper Sandler/ William Blair/ Loop Capital Markets/ CastleOak Securities,7/22/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are an innovative biopharmaceutical company developing next-generation therapeutics based on our proprietary Tumor Activated T Cell Engager (TRACTr) platform technology to better treat patients suffering from cancer. Our initial focus is on developing a novel class of T cell engagers (TCEs), and our lead product candidates are designed to target clinically validated drug targets. While TCE therapeutics have displayed potent anti-tumor activity in hematological cancers, developing TCEs to treat solid tumors has faced challenges due to the limitations of prior TCE technologies, namely (i) overactivation of the immune system leading to cytokine release syndrome (CRS), (ii) on-target, healthy tissue toxicities and (iii) poor pharmacokinetics (PK) leading to short half-life. Our lead TRACTr product candidates are designed to target PSMA, EGFR, and TROP2. Each of these tumor targets are clinically validated and implicated in solid tumors with high prevalence, including metastatic castrate-resistant prostate cancer (mCRPC), colorectal cancer (CRC), squamous cell cancer of the head and neck (SCCHN), triple-negative breast cancer (TNBC), urothelial cancer (UC), and non-small cell lung cancer (NSCLC). We anticipate submitting Investigational New Drug applications (INDs) for at least two of these product candidates by the end of 2022. (Note: Janux Therapeutics upsized its IPO at pricing on June 10, 2021, to 11.4 million shares, up from 9.5 million in the prospectus, at $17 – the top of its $15-to-$17 range – to raise $193.8 million.)",PHARMACEUTICAL PREPARATIONS,20,2017,Contact Information,"11099 N. Torrey Pines Road, Suite 290 La Jolla, California 92037",(858) 750-4700,http://www.januxrx.com/,"Janux Therapeutics, Inc.",Financial Information,$678.3mil,$0 mil (last 12 months),$-6.78 mil (last 12 months),IPO Profile,JANX,NASDAQ,11.4,$17.00 - $17.00,$193.8 mil,BofA Securities/ Cowen/ Evercore ISI,H.C. Wainwright & Co. LLC,6/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on businesses primarily operating in the life sciences sector. (Incorporated in the Cayman Islands) We will focus on companies that use cutting edge technologies such as artificial intelligence, mechanistic genetics, or structure-based drug design, to reduce development time and increase the probability of success. Our management team will be led by our CEO, Dr. Someit Sidhu, who has successfully identified R&D stage compounds and subsequently in-licensed and/or developed those compounds through critical value-creating milestones leading to several successful exits. This includes companies such as Izana Bioscience and Akaza Bioscience for each of which Dr. Sidhu served as co-founder and CEO. He is also the co-founder of Pathios Therapeutics.  Our COO, Dr. Tauhid Ali, launched three companies out of Takeda’s TAKcelerator™, which he founded and ran at Takeda Pharmaceuticals.  We believe that the combined expertise and deep relationships of our management and board provide us unique access and insight to research and development stage assets whether independently housed in private companies, in development within leading academic institutions, or embedded in large-cap pharma. (Note: Five qualified institutional buyers and an accredited investor, collectively referred to as the “anchor investors” throughout this prospectus, expressed to us their several interests in purchasing up to $81.4 million of units in this offering.) (Note: JATT Acquisition priced its SPAC IPO on July 13, 2021, in line with the terms in its prospectus: 12 million units at $10 each to raise $120 million.)",BLANK CHECKS,0,2021,Contact Information,"c/o Maples Corporate Services Limited, PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands",+44 7706 732212,,JATT Acquisition Corp.,Financial Information,$120.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,JATT.U,NYSE,12.0,$10.00 - $10.00,$120.0 mil,Raymond James,-,7/14/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"The company intends to focus on leading, growth-oriented companies across a variety of industries. We do not intend to target industries that are competitive with Starwood Capital Group Holdings, L.P., or Starwood Capital, which includes real estate, lodging, oil and gas and energy infrastructure. Investment opportunities will be sourced from the Founders proprietary network of operating network of executives, investors and advisors. The Founders will employ a disciplined and highly selective investment process and expect to add value to a target company through add-on acquisitions, capital structure optimization and operational improvements.",BLANK CHECKS,0,2020,Contact Information,"1601 Washington Avenue, Suite 800, Miami Beach, FL 33139, US",(203) 422-7700,,Jaws Acquisition,Financial Information,$750mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,JWS.U,NYSE,60.0,$10.00 - $10.00,$600.0 mil,Credit Suisse,Morgan Stanley/ Citigroup,5/14/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is the sixth blank check company co-founded and led by Barry S. Sternlicht, the founder of Starwood Capital. Matthew Walters co-founded this SPAC with Sternlicht. Walters, a principal at Jaws Estates Capital, is the CEO of JAWS Hurricane. This SPAC is incorporated in Delaware. The other five Sternlicht-led SPACs are Jaws Acquisition, Jaws Spitfire Acquisition, Jaws Mustang Acquisition, Jaws Juggernaut Acquisition and Jaws Wildcat Acquisition.) We intend to focus our efforts on identifying a prospective target business with either all or a substantial portion of its activities in North America. We expect to focus on consumer technology and related technology businesses that have attractive growth-oriented characteristics and strong underlying demand drivers. We estimate there to be a significant number of businesses with valuations appropriate for our company that reside in our target sectors, with valuations in excess of $1 billion. Such high growth technology companies are positioned in sub-sectors that have large total addressable markets (TAM) previously underserved by incumbents, which have allowed technologically advantaged companies to capture a significant portion of the TAM. JAWS Hurricane is named after the Hawker Hurricane, a maneuverable, small fighter aircraft that helped propel the Allies to victory at the Battle of Britain. Like the Hurricane, our JAWS Hurricane SPAC has been purposefully built to be smaller so that it is efficient and nimble in its initial business combination. We do not intend to target industries that are competitive with Starwood Capital Group Holdings, L.P. (“Starwood Capital”), which includes real estate, lodging, oil and gas and energy infrastructure. (Note: Jaws Hurricane Acquisition upsized its SPAC IPO at pricing on June 10, 2021, to 27.5 million units, up from 25 million units, at $10 each to raise $275 million.)",BLANK CHECKS,0,2021,Contact Information,"1601 Washington Avenue, Suite 800 Miami Beach, FL 33139",(305) 695-5500,,JAWS Hurricane Acquisition Corp.,Financial Information,$337.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCNEU,NASDAQ,27.5,$10.00 - $10.00,$275.0 mil,Credit Suisse/ J.P. Morgan,,6/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
