General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"We intend to focus our search for a target business in the electric vehicle, energy storage and distribution, or mobility technologies ecosystem. We hope to offer public market investors the opportunity to capitalize on the long-term trends favorably impacting our target sectors including, but not limited to, the growing adoption of electric vehicles, increasing focus on affordability and charge time of next- generation batteries, and growing emphasis on enabling mobility technologies required for advanced driver assistance systems (ADAS), autonomous vehicles (AV), connected vehicles, ride-sharing and mobility services. Ray Mabus has served as our board chairman since our inception. He was the 75th United States Secretary of the Navy under President Barack Obama from 2009-2017, the longest tenure as leader of the Navy and Marine Corps since World War I. He was the governor of Mississippi from 1988 to 1992. From 1994 to 1996, he was the U.S. ambassador to Saudi Arabia. Secretary Mabus also serves as chairman of the board of directors of Instride. He is a board member of Amentum, Dana Inc., and Hilton Worldwide Holdings, Inc. Charles Gassenheimer has served as our CEO and a director since our inception. Mr. Gassenheimer is a co-founder and president of Carnegie Hudson Resources, a New York City-based private equity firm. He has over 20 years of experience investing and sourcing opportunities within the energy storage ecosystem. (Note: Kadem Sustainable Impact Corp. priced its SPAC IPO on March 16, 2021, in line with the terms in its prospectus: 17.5 million units at $10 each to raise $175 million.)",BLANK CHECKS,0,2021,Contact Information,"152 West 57th St 52nd Floor New York, NY 10019, US",212-218-4092,,Kadem Sustainable Impact Corporation,Financial Information,$218.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,KSICU,NASDAQ,17.5,$10.00 - $10.00,$175.0 mil,BMO Capital Markets,-,3/17/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We currently intend to concentrate our acquisition efforts on business merger targets within the insurance and InsurTech (as defined below) sectors where our experience and access to public markets can be a catalyst for accelerating growth. We expect to place particular emphasis on regulated insurance or reinsurance companies, distributors or technology and insurance service providers that focus on specialty lines of business or that target product or customer niches where a differentiated service offering and the advent of new technologies have created, or are expected to create, a sustainable competitive advantage. Our acquisition strategy will seek to capitalize on the significant mergers and acquisitions and insurance expertise and relationships of our management team. We believe that our management team, comprised of both executives and investors in the insurance industry, is well positioned to identify acquisition opportunities that will be suitable for the public markets.",BLANK CHECKS,0,2020,Contact Information,"c/o Ellenoff Grossman & Schole LLP, 1345 Avenue of the Americas, New York, NY 10105, US",917-783-4057,,Kairos Acquisition,Financial Information,$250mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,KAIRU,NASDAQ,24.0,$10.00 - $10.00,$240.0 mil,Citigroup,I-Bankers Securities,1/6/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Our efforts to identify a prospective target business will not be limited to a particular industry or geographic region, although the company intends to focus on opportunities in Asia (excluding China). We intend to primarily focus on fast-growing technology companies in different industry verticals, including but not limited to e-commerce, financial technology (FinTech), insurance technology, digital health, digital media and digital services. We shall not undertake our initial business combination with any entity with its principal business operations in China (including Hong Kong and Macau). (Incorporated in the Cayman Islands) We will seek to capitalize on the comprehensive experience and contacts of our executive officers in consummating an initial business combination. Our management team is comprised of Joseph Moh Hon Lee, our Chairman and Chief Executive Officer, and Philip Cheung Wang Wong, our Chief Financial Officer. Mr. Joseph Lee has extensive experience in private equity and venture capital investments while Mr. Philip Wong has more than 24 years of entrepreneurship experience including over 22 years of investment experience across the Asia Pacific region. In particular, Mr. Joseph Lee is the founder of Kairous Capital, a regional venture capital firm focusing on technology investments across China and Southeast Asia. He has successfully invested in more than 25 companies and exited many of them through trade sales and initial public offerings on the London Stock Exchange, Hong Kong Stock Exchange, and Shanghai Stock Exchange. For example, he was involved in the setup of the first and largest shariah private equity fund with a size of US$100 million. (Note: Kairous Acquisition Corp. Ltd. priced its SPAC IPO on Dec. 13, 2021, in line with the terms in its recently upsized prospectus: 7.5 million units at $10 each to raise $75 million. Previously: Kairous Acquisition Corp. had upsized its SPAC IPO to 7.5 million units, up from 5 million units initially, in an F-1/A filing dated Oct. 26, 2021.)",BLANK CHECKS,0,2021,Contact Information,"Unit 9-3, Oval Tower @ Damansara, No. 685, Jalan Damansara, 60000 Taman Tun Dr. Ismail, Kuala Lumpur, Malaysia",+603 – 7733 9340,,Kairous Acquisition Corp. Ltd.,Financial Information,$97.6mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,KACLU,NASDAQ,7.5,$10.00 - $10.00,$75.0 mil,Maxim Group LLC,-,12/14/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a clinical-stage healthcare company with a differentiated, chemistry-driven approach focused on leveraging the potential of the microbiome organ to treat disease and improve human health. We have built a human-centric proprietary product platform for discovery and development that we believe will enable the rapid advancement of a broad portfolio of novel product candidates into non-IND human clinical studies under regulations supporting research with food. Our product candidates are Microbiome Metabolic Therapies, or MMTs, which are designed to modulate the metabolic output and profile of the microbiome by driving the function and distribution of the organ’s existing microbes.",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),118,2015,Contact Information,"65 Hayden Avenue, Lexington, MA 02421, US",(617) 674-9000,https://www.kaleido.com,Kaleido Biosciences,Financial Information,$444.5mil,$0 mil (last 12 months),$-61.7 mil (last 12 months),IPO Profile,KLDO,NASDAQ,5.0,$15.00 - $15.00,$75.0 mil,Goldman Sachs/ J.P. Morgan/ Morgan Stanley,Canaccord Genuity,2/28/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Our mission is to power any video experience, for any organization. Our Video Experience Cloud offers live, real-time, and on-demand video products including Video Portal, Town Halls, Video Messaging, Webinars, Virtual Events and Meetings. We also offer specialized industry solutions, including LMS Video (Learning Management System), Lecture Capture and Virtual Classroom for educational institutions, as well as a TV Solution for media and telecom companies. Underlying our products and solutions is a broad set of live, real-time, and on-demand Media Services consisting of Application Programming Interfaces (“APIs”), Software Development Kits (“SDKs”), and Experience Components, as well as our Video and TV Content Management Systems. Our Media Services are used by other cloud platforms and companies to power video experiences and workflows for their own products. Our Video Experience Cloud is used by leading brands across all industries, reaching millions of users, at home, at school and at work, for communication, collaboration, training, marketing, sales, customer care, teaching, learning, and entertainment experiences. Video is everywhere. It has become a driving force for online interactions and engagement, and has revolutionized how we communicate, work, learn, and entertain. According to Cisco’s Visual Networking Index, 82% of the world’s internet protocol (“IP”) traffic will be IP video by 2022. (Note: Kaltura priced its IPO on July 20, 2021, at $10 – the mid-point of its $9-to-$11 range – on 15 million shares, the same number in the prospectus, to raise $150 million. In an S-1/A filing dated July 12, 2021, Kaltura cut its IPO to 15 million shares at $9 to $11 to raise $150 million – down from its initial size of 23.5 million shares at $14 to 16 to raise $352.5 million. In terms of estimated IPO proceeds, based on mid-point pricing, the deal’s size was cut by 57.5 percent. The IPO was postponed this spring; it was initially expected to be priced on March 31, 2021, for an April 1, 2021, debut on the NASDAQ. **Kaltura’s IPO pricing gives it a market cap of $1.24 billion, down from about $1.85 billion under its original terms. The July S-1/A filing included restated consolidated revenue and net loss figures for the last 12 months through March 31, 2021.)",SERVICES - PREPACKAGED SOFTWARE,584,2006,Contact Information,"250 Park Avenue South 10th Floor New York, New York 10003",(646) 290-5445,http://www.kaltura.com,"Kaltura, Inc.",Financial Information,$1240.9mil,$132.3 mil (last 12 months),$-69.4 mil (last 12 months),IPO Profile,KLTR,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,Goldman Sachs/BofA Securities/Wells Fargo Securities/Deutsche Bank Securities,Canaccord Genuity/JMP Securities/KeyBanc Capital Markets/Needham & Co./Oppenheimer & Co.,7/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is an IPO of 48 million American Depositary Shares (ADS), representing 96 million Class A ordinary shares.) We are the largest online recruitment platform in China, based on average MAU in 2020, according to the CIC report. (We had 19.8 million MAU in 2020.) We connect job seekers and enterprise users (employers or Bosses) in an efficient and seamless manner mainly through our highly interactive BOSS Zhipin mobile app, which together with our other mobile apps and mini programs create a vibrant network. We are relentlessly focused on enhancing user experience by delivering an efficient, intuitive and convenient experience to them throughout the recruitment cycle. (Kanzhun Limited is incorporated in the Cayman Islands.) BOSS Zhipin is a mobile-native product that promotes instand direct chats between Bosses and job seekers, delivers accurate matching results, and is powered by proprietary AI algorithms and big data insights. Our operating philosophy highly respects job seekers, and we are committed to empowering them by giving them more say in the recruitment process. We do not allow enterprise users to access job seekers’ resumes unless job seekers give express consent. Job seekers can also make their information selectively visible to different types of enterprise users. We believe the superior user experience we provide to individual job seekers attracts them to our platform. Enterprise users also benefit from our operating philosophy as it creates massive opportunities for them to connect with job seekers efficiently. (Note: Kanzhun Limited priced its IPO on June 10, 2021, at $19 – the top of its $17-to-$19 range – on 48 million American Depositary Shares (ADS) to raise $912 million.)",Services - Computer Processing & Data Prep,3388,2013,Contact Information,"18/F, GrandyVic Building, Taiyanggong Middle Road Chaoyang District, Beijing 100020 People’s Republic of China",+86 10-8415-0633,https://www.zhipin.com/,Kanzhun Ltd.,Financial Information,$6261.17mil,$298.0 mil (last 12 months),$-144.0 mil (last 12 months),IPO Profile,BZ,NASDAQ,48.0,$19.00 - $19.00,$912.0 mil,Goldman Sachs/ Morgan Stanley/ UBS Investment Bank/ China Renaissance,Haitong International/ FUTU/ Tiger Brokers,6/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a rapidly growing specialty distributor and select manufacturer of environmentally friendly disposable foodservice products and related items. We are a nimble supplier of a wide range of products for the foodservice industry, including food and take-out containers, bags, tableware, cups, lids, cutlery, straws, specialty beverage ingredients, equipment, gloves and other products. Our products are available in plastic, paper, biopolymer-based and other compostable forms. Our Karat Earth® line provides environmentally friendly options to our customers, who are increasingly focused on sustainability. We offer customized solutions to our customers, including new product development, design, printing and logistics services. While a substantial majority of our revenue is generated from the distribution of our vendors’ products, we do manufacture products ourselves. Our goal is to be the single-source provider to our customers for all of their disposable foodservice products and related needs. Our blue-chip customer base includes well-known fast casual chains such as Applebee’s, Chili’s, Chipotle Mexican Grill, Corner Bakery Cafe and TGI Fridays, as well as fast-food chains, including The Coffee Bean & Tea Leaf, El Pollo Loco, In-N-Out Burger, Jack in The Box, Panda Express, Raising Cane’s Chicken Fingers and Torchy’s Tacos. with existing customers. For the years ended Dec. 31, 2020, and 2019, no single customer represented more than 10% of our revenue. (Note: Karat Packaging priced its IPO on April 14, 2021, at $16 – well below its $18 to $20 range – on 3.95 million shares to raise $63.2 million – less than its estimated proceeds of $75.05 million.)",Plastics Products,613,2000,Contact Information,"6185 Kimball Avenue Chino, CA 91708",(626) 965-8882,http://www.karatpackaging.com/,Karat Packaging Inc.,Financial Information,$363.28mil,$295.52 mil (last 12 months),$17.52 mil (last 12 months),IPO Profile,KRT,NASDAQ,4.0,$16.00 - $16.00,$63.2 mil,Stifel/ William Blair/ Truist Securities/ National Securities Corp./ D.A. Davidson & Co. ​,-,4/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(IPOScoop has No Call on this deal because it is an uplift to the NASDAQ from the Johannesburg Stock Exchange (JSE). The ordinary shares of Karooooo’s subsidiary, Cartrack Holdings Ltd., trade under the symbol “CTK” on the JSE.) We offer a comprehensive, cloud-based smart mobility platform for connected vehicles, including electric vehicles (EVs). Our software-as-a-service (“SaaS”) platform provides our customers with differentiated insights and analytics to optimize their business and workforce, increase efficiency and decrease costs, improve safety, monitor environmental impact, assist with regularity compliance and manage risk. We were founded in 2001 in South Africa with an initial focus on stolen vehicle recovery in the region. We serve customers in 23 countries, supporting more than 1.3 million subscribers as of Feb. 28, 2021. **For the fiscal year ended Feb. 29, 2020, the company reported revenue of US$125.8 million and a profit of US$28.8 million. (Note: Karooooo Ltd. priced its NASDAQ uplift “IPO” on March 31, 2021, at US$28 – well below its reference price of US$47.42 – on 1.05 million ordinary shares, less than half of the company’s proposed offering of 2.5 million ordinary shares – to raise $29.4 million. Just before the pricing, the deal was restructured to remove the selling shareholder’s portion of another 1.5 million ordinary shares. In the initial filing, the deal was sized at 4.0 million ordinary shares at the US$47.42 reference price, to raise an estimated US$190.08 million, according to SEC filings.)",PREPACKAGED SOFTWARE,2776,2001,Contact Information,10 Anson Road #12-14 International Plaza Singapore 079903,+65 6255 4151,http://www.karooooo.com/,Karooooo Ltd. (Cartrack),Financial Information,$598.64mil,$125.8 mil (last 12 months),$28.8 mil (last 12 months),IPO Profile,KARO,NASDAQ,1.1,$28.00 - $28.00,$29.4 mil,Morgan Stanley/BofA Securities/William Blair,,4/1/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are an innovative clinical-stage biopharmaceutical company primarily focused on developing novel therapies to address disabling neuropsychiatric conditions characterized by significant unmet medical need. Our pipeline is built on the broad therapeutic potential of our lead product candidate, KarXT, an oral modulator of muscarinic receptors that are located both in the central nervous system, or CNS, and various peripheral tissues. KarXT is our proprietary product candidate that combines xanomeline, a novel muscarinic agonist, with trospium, an approved muscarinic antagonist, to preferentially stimulate muscarinic receptors in the CNS. We are currently conducting a Phase 2 clinical trial of KarXT for the treatment of acute psychosis in patients with schizophrenia and expect topline results in late 2019.",PHARMACEUTICAL PREPARATIONS,16,2009,Contact Information,"33 Arch Street, Suite 3110, Boston, MA 02110, US",(857) 449-2244,http://www.karunatx.com,Karuna Therapeutics,Financial Information,$341.9mil,$0 mil (last 12 months),$-27.1 mil (last 12 months),IPO Profile,KRTX,NASDAQ,5.6,$16.00 - $16.00,$89.2 mil,Goldman Sachs/ Citigroup/ Wells Fargo Securities,Wedbush PacGrow,6/28/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"KCI is the leading global medical technology company focused on advanced wound care and specialty surgical applications. We market a broad range of NPWT, specialty surgical and AWD products in approximately 90 countries. Our mission is to improve patients’ lives and change the practice of medicine by focusing on developing and commercializing advanced technological solutions that accelerate healing while reducing the overall cost of care.",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,4700,2019,Contact Information,"12930 West Interstate 10, San Antonio, TX 78249, US",(210) 524-9000,,KCI Holdings,Financial Information,,$1468.0 mil (last 12 months),$-137.5 mil (last 12 months),IPO Profile,TBA,NYSE,0.0,$0.00 - $0.00,$100.0 mil,J.P. Morgan/Goldman Sachs/ BofA Merrill Lynch,-,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
