General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We are a new blank check company incorporated in the Cayman Islands. Our co-CEOs are Chinta Bhagat and Scott Chen. Both are managing partners of L Catterton Asia, a wholly owned fund platform of L Catterton, one of the world’s largest and most experienced consumer-focused investment firms. L Catterton has over $22 billion in assets under management. Our sponsor, LCA Acquisition Sponsor, LP, is wholly owned directly or indirectly by L Catterton Asia 3, the third Asia-focused growth fund raised by L Catterton Asia. Launched in 2009, L Catterton Asia is the largest Pan-Asian consumer-focused private equity firm that operates within a global firm. Headquartered in Singapore, L Catterton Asia has a strong regional presence with local offices and teams in Hong Kong, Mumbai, Shanghai, Sydney, and Tokyo. In addition, L Catterton has a proprietary strategic relationship with LVMH Moët Hennessy Louis Vuitton, the world’s largest luxury conglomerate. LVMH is both a minority owner in L Catterton and a significant investor in the family of L Catterton funds. As part of the partnership, L Catterton enjoys a special relationship with LVMH and its family of over 75 global brands, with both organizations actively collaborating in areas such as consumer insights, brand strategies, retail expansion and economies of scale across the collective portfolio. Notably, LVMH is a shareholder of L Catterton and is committed to the success of the L Catterton platform.",BLANK CHECKS,0,2021,Contact Information,"8 Marina View, Asia Square Tower 1 #41-03, Singapore 018960",+65 6672 7600,,L Catterton Asia Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LCAAU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Credit Suisse,-,3/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to concentrate our efforts in identifying businesses in the governance, risk, and compliance (“GRC”) and legal technology and software (collectively, “GRCL”) sectors with an enterprise value of about $750 million to $2 billion. We believe the GRCL universe is comprised of hundreds of private companies attractive for today’s public market environment. Our sponsor combines seasoned executives who possess deep industry knowledge of GRCL businesses with the sourcing, underwriting, and execution capabilities of a global alternative asset manager. As a consequence, we believe our team is well-suited to identify and execute on opportunities that have the potential to generate attractive risk-adjusted returns for our shareholders. Jeffrey C. Hammes, our chairman, was the chairman of Kirkland & Ellis from 2010 until he retired in 2019. Adam Gerchen, our CEO, is also a co-founder, and since 2018, the CEO of Keller Lenkner, a law firm that has developed unique arbitration strategies and other innovations in mass actions. (Note: This SPAC IPO was trimmed on Nov. 16 to 15 million units, down from 20 million units initially. The price remains at $10 per unit.)",BLANK CHECKS,0,2020,Contact Information,"150 North Riverside Plaza, Suite 5200 Chicago, IL 60606",312-705-2786,,L&F Acquisition Corp.,Financial Information,,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LNFA.U,NYSE,15.0,$10.00 - $10.00,$150.0 mil,Jefferies,-,11/19/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Laird Superfood is an emerging consumer products platform focused on manufacturing and marketing highly differentiated plant-based and functional foods. The Laird Superfood brand is increasingly recognized and trusted by a growing number of consumers. The core pillars of the Laird Superfood platform are currently Superfood Creamer coffee creamers, Hydrate hydration products and beverage-enhancing supplements, and roasted and instant coffees, teas and hot chocolate. Laird Superfood was founded in 2015 by friends and surfing partners, Laird Hamilton and Paul Hodge. Mr. Hamilton is one of the best-known big wave surfers in the world. Mr. Hodge is an entrepreneur who has built numerous environmentally and socially conscious companies in the solar, home technology, electric transportation and sporting industries.",FOOD & KINDRED PRODUCTS,115,2015,Contact Information,"275 W. Lundgren Mill Drive Sisters, Oregon 97759",(888) 670-6796,http://www.lairdsuperfood.com,"Laird Superfood, Inc.",Financial Information,$184.4mil,$18.75 mil (last 12 months),$-13.5 mil (last 12 months),IPO Profile,LSF,NYSE - American,2.7,$22.00 - $22.00,$58.3 mil,Canaccord Genuity/ Craig-Hallum Capital Group,Roth Capital Partners,9/23/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Lakeshore Acquisition I Corp. is a new blank check company organized by the executives of Shanghai Renaissance Investment Management, a private equity firm in China. (Incorporated in the Cayman Islands in 2021) We will seek to capitalize on the significant contacts and experience of our management team, including Bill Chen, our Chairman and CEO, who is the CEO of Shanghai Renaissance Investment Management; Laura Li, our CFO and director, who is also the CFO of Shanghai Renaissance Investment Management, and H. David Sherman, Jinzhong Lu and Yan Zhu, each a member of our board of directors. We believe our management team is well positioned to identify attractive risk-adjusted returns in the marketplace and that their professional contacts and transaction sources, ranging from industry executives, private owners, private equity funds, family offices, commercial and investment bankers, lawyers and other financial sector service providers and participants, in addition to the geographical reach of their affiliates, will enable us to pursue a broad range of opportunities. Our management believes that its collective ability to identify and implement value creation initiatives has been an essential driver of past performance and will remain central to its differentiated acquisition strategy. Upon the closing of this offering, members of our management team will communicate with these networks of relationships to articulate the parameters for our search for a target business and a potential business combination and begin the process of pursuing and reviewing promising leads. (Note: Lakeshore Acquisition I Corp. priced its SPAC IPO on June 10, 2021, in line with the terms in its prospectus: 5 million units at $10 each to raise $50 million.)",BLANK CHECKS,0,2021,Contact Information,"Suite A-2F, 555 Shihui Road, Songjiang District, Shanghai, China, 201100",+86 13816100700,,LAKESHORE ACQUISITION I CORP.,Financial Information,$65.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LAAAU,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,Craig-Hallum Capital Group/ Roth Capital Partners,-,6/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Note: This is the second blank-check company under the Lakeshore Acquisition name organized and led by Deyin (Bill) Chen, the founder and CEO of Shanghai Renaissance Investment Management Co. Ltd., a licensed private equity firm in China. Mr. Chen has served as the CEO of Lakeshore Acquisition II Corp. since Feb. 24, 2021, and he will serve as its chairman after the IPO. (Lakeshore Acquisition II Corp. is incorporated in the Cayman Islands.) From the prospectus: “We will not effectuate an initial Business Combination with a company that is headquartered in the People’s Republic of China (“China”), the Hong Kong Special Administrative Region of China (“Hong Kong”) or the Macau Special Administrative Region of China (“Macau”) or conducts a majority of its operations in China, Hong Kong or Macau. “We will seek to capitalize on the significant contacts and experience of our management team, including Bill Chen, our Chairman, Chief Executive Officer and Chief Financial Officer, and H. David Sherman, Mingyu (Michael) Li and Jon M. Montgomery, each a member of our board of directors.” (Note: Lakeshore Acquisition II Corp. priced its SPAC IPO on March 8, 2022, in sync with the terms in its prospectus: 6 million units at $10 each to raise $60 million. The Lakeshore II SPAC had filed a confidential IPO document with the SEC in mid-July 2021, less than a month after Lakeshore Acquisition I Corp.’s SPAC IPO was priced; the S-1 was filed in late January 2022 and the S-1/A was filed on Feb. 22, 2022.)",BLANK CHECK,0,2021,Contact Information,"667 Madison Avenue, New York, NY 10065",(917)327-9933,,Lakeshore Acquisition II Corp.,Financial Information,$78.95mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LBBBU,NASDAQ,6.0,$10.00 - $10.00,$60.0 mil,"Network 1 Financial Securities, Inc.",-,3/9/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,We intend to focus our search on target businesses in the insurance sector in the United States.,BLANK CHECK,0,2021,Contact Information,"15 Independence Blvd, Suite 430 Warren, New Jersey 07059",(609) 342-2088,,Lakeview Acquisition Corp.,Financial Information,$225.31mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LKVA.U,NYSE,17.5,$10.00 - $10.00,$175.0 mil,BTIG,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"LAMF Global Ventures Corp. I is a SPAC (special-purpose acquisition company) that takes its name from LAMF LLC, which does business as the Los Angeles Media Fund: “We intend to source and identify businesses across the media, entertainment and sports industries, as well as e-commerce and technology. We witnessed the rate of change across these industries accelerate through the COVID-19 pandemic, creating what we believe is a lasting shift in the ways people consume and interact with content and commerce, in addition to significant pent-up demand for live entertainment and sports.” (Incorporated in the Cayman Islands) Through LAMF and its affiliated companies, Jeffrey Soros, our chairman, and Simon Horsman, our director and CEO, have financed and produced 39 film, television and theater productions, are in production or development on multiple additional entertainment projects across all genres, and in certain cases, in partnership with some of the world’s more recognized sports franchises, including The Los Angeles Lakers. LAMF has worked with some of the most celebrated creative talent, including directors such as Jodie Foster (Money Monster), Antoine Fuqua (Training Day), Chiwetel Ejiofor (The Boy Who Harnessed the Wind) and Carlos López Estrada (Raya and the Last Dragon), and actors – Gary Oldman, Elisabeth Moss, Ethan Hawke and Rose Byrne, to name a few. Producing partners have included Martin Scorsese, Judd Apatow, Oprah Winfrey, John Legend, Darren Aronofsky, Viola Davis and The New York Times and Pepsi-Cola. LAMF and its affiliated companies regularly do business with the biggest content distributors, including Apple Inc., Disney/Hulu, Facebook Watch, the Fox Corporation, Netflix, Inc., Warner Media/Home Box Office (“HBO”), NBCUniversal/Peacock and Lionsgate. LAMF is also the majority owner of a rapidly expanding sports agency, LAMF Sports LLC (d/b/a Beyond Athlete Management), which represents over 55 professional basketball and football athletes, including Miles Sanders of the Philadelphia Eagles, Courtland Sutton of the Denver Broncos and Jae’Sean Tate of the Houston Rockets. In addition to filmed entertainment, LAMF develops and finances live events and recently won a Tony Award as a co-producer of the Broadway revival of Oklahoma! Our Chairman, Jeffrey Soros, is the Co-CEO and co-founder of LAMF. In his personal capacity and through his family office, Mr. Soros invests in technology, e-commerce, financial services, real estate, consumer products, healthcare/life sciences, hospitality and art. Examples of these investments include Palantir Technologies Inc. (NYSE: PLTR), ContextLogic, Inc. (Nasdaq: WISH), Field Trip Health Ltd (Nasdaq: FTRPF), Aspiration Partners Inc., eSalon.com Holdings LLC (“eSalon”), Verge Analytics, Inc. (d/b/a Verge Genomics), Zywave, Inc., Kele, Inc. and Drake Holdings (DPS Skis) Inc. (d/b/a DPS Skis). (Note: LAMF Global Ventures Corp. I upsized its SPAC IPO on Nov. 10, 2021, to 22 million units, up from 20 million in the prospectus, at $10 each to raise $220 million.)",BLANK CHECKS,0,2021,Contact Information,"9255 Sunset Blvd., Suite 515 West Hollywood, California, 90069",424-343-8760,,LAMF Global Ventures Corp. I,Financial Information,$276.67mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LGVCU,NASDAQ,20.0,$10.00 - $10.00,$220.0 mil,Wells Fargo Securities,-,11/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue an initial business combination target in any industry, we intend to focus our search on investment opportunities in the consumer, dining, hospitality, entertainment and gaming industries, including technology companies operating in these industries.",BLANK CHECKS,0,2019,Contact Information,"1510 West Loop South, Houston, TX 77027, US",(713) 850-1010,,Landcadia Holdings II,Financial Information,$343.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LCAHU,NASDAQ,27.5,$10.00 - $10.00,$275.0 mil,Jefferies,-,5/7/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"This is a new dining, hospitality, entertainment and gaming-focused blank check company led by Tilman Fertitta of “Billion Dollar Buyer” fame on CNBC. He is the co-chairman and CEO of Landcadia Holdings III. Mr. Fertitta is the sole shareholder, chairman and CEO of FEI, an international dining, hospitality, entertainment, sports and gaming company. FEI is one of the largest U.S. restaurant owners and operators, with 75 different restaurant brands, including Morton’s Steakhouse, McCormick & Schmick’s and Bubba Gump Shrimp Co. FEI also owns hotels, casinos and aquariums, including The Westin Houston Downtown, the Golden Nugget Casinos, and the Downtown Aquarium Denver. Richard Handler, the co-chairman and president of Landcadia Holdings III, is the CEO of Jefferies.",BLANK CHECKS,0,2020,Contact Information,"1510 West Loop South Houston, Texas 77027",(713) 850-1010,,"Landcadia Holdings III, Inc.",Financial Information,$625.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LCYAU,NASDAQ,50.0,$10.00 - $10.00,$500.0 mil,Jefferies,,10/9/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on investment opportunities in the consumer, dining, hospitality, entertainment and gaming industries, including tech companies in these industries. Our management team and sponsors are Tilman Fertitta, our co-chairman and CEO, and Richard Handler, our co-chairman and president. Tilman Fertitta is the CEO of FEI, which owns 500 restaurants in 38 states under 75 brands, including Morton’s The Steakhouse, Palm Restaurant and others. FEI also owns the Golden Nugget Casinos, hotels and entertainment properties. Richard Handler is the CEO of Jefferies, a global investment banking firm. (Landcadia Holdings IV priced its SPAC IPO on March 24, 2021, in line with the terms in its prospectus: 50 million units at $10 each to raise $500 million.)",BLANK CHECKS,0,2021,Contact Information,"1510 West Loop South Houston, Texas 77027",(713) 850-1010,,"Landcadia Holdings IV, Inc.",Financial Information,$625.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,LCAHU,NASDAQ,50.0,$10.00 - $10.00,$500.0 mil,Jefferies,-,3/25/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
