General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We intend to identify solutions, opportunities, companies or technologies that focus on advancing the energy transition; specifically, ones that facilitate, improve or complement the reduction of carbon or greenhouse gas emissions while satisfying growing energy consumption across markets globally. Our sponsor, Nabors Energy Transition Sponsor LLC, is an affiliate of Nabors Industries Ltd. (“Nabors”; NYSE: NBR), which owns and operates one of the world’s largest land-based drilling rig fleets and provides offshore platform rigs and related services in the United States and several international markets. Nabors has a proven history of innovation and a track record of developing and deploying advanced technologies for the energy sector as it has evolved over the 100-plus year history of Nabors and its predecessor entities. (Note: Nabors Energy Transition Corp. upsized its SPAC IPO at pricing on Nov. 16, 2021, by pricing 24 million units, up from 20 million units, at $10 each to raise $240 million.)",BLANK CHECKS,0,2021,Contact Information,"515 West Greens Road, Suite 1200 Houston, Texas 77067",(281) 874-0035,,Nabors Energy Transition Corp.,Financial Information,$254.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NETC.U,NYSE,24.0,$10.00 - $10.00,$240.0 mil,Citigroup/ Wells Fargo Securities,,11/17/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Early detection saves lives—and we at Nanox are focused on applying our proprietary medical imaging technology to make diagnostic medicine more accessible and affordable across the globe. Our vision is to increase early detection of medical conditions that are discoverable by X-ray, which we believe is key to increasing early treatment, improving health outcomes and, ultimately, saving lives.",X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,27,2018,Contact Information,"Communications Center, Neve Ilan, Israel 9085000",+972 02 995 0506,http://www.nanox.vision,Nano-X Imaging Ltd.,Financial Information,$805.6mil,$0 mil (last 12 months),$-34.7 mil (last 12 months),IPO Profile,NNOX,NASDAQ,9.2,$18.11 - $18.00,$165.2 mil,Cantor/ Oppenheimer/ Berenberg/ CIBC Capital Markets,National Securities Corp.,8/21/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: The financial figures are in U.S. dollars for the six months ended June 30, 2020, according to the prospectus.) (Note: This is not an IPO. The listing here is only a professional courtesy. This French biotech company’s shares trade on the Euronext Paris under the symbol “NANO.” The stock lasted traded on the Euronext Paris on Dec. 4, 2020, at the equivalent of US$14.69 per ADS. This is the company’s offering of American Depositary Shares in the U.S. on the NASDAQ. The company’s U.S. headquarters is in Cambridge, Massachusetts.) We are a clinical-stage biotechnology company focused on developing first-in-class product candidates that use our proprietary nanotechnology to transform cancer treatment by increasing the efficacy of radiotherapy. Our lead product candidate, NBTXR3, is an aqueous suspension of functionalized crystalline hafnium oxide nanoparticles designed for injection directly into a malignant tumor prior to standard radiotherapy. When exposed to ionizing radiation, NBTXR3 amplifies the localized, intratumor killing effect of that radiation and may also prime the body’s immune response to fight the cancer. NBTXR3 is designed to enhance the overall efficacy of radiotherapy without resulting in additional side effects on the surrounding healthy tissues. We and our collaborators (including the University of Texas M.D. Anderson Cancer Center) are conducting eight clinical trials worldwide to evaluate NBTXR3 as a potential treatment for various cancers. We are prioritizing the development of NBTXR3 in the United States and Europe as a treatment for patients with locally advanced head and neck cancers who are ineligible for treatment with chemotherapy. (Note: This deal was upsized at pricing: 7.3 million ADS priced at $13.50, the low end of the range; the number of shares was increased from 6.5 million in the prospectus.)",Pharmaceuticals,90,2003,Contact Information,"60, rue de Wattignies 75012 Paris, France",+33 1 40 26 04 70,http://www.nanobiotix.com/en/,NANOBIOTIX S.A.,Financial Information,$478.0mil,$42.0 mil (last 12 months),$-23.1 mil (last 12 months),IPO Profile,NBTX,NASDAQ,7.3,$13.50 - $13.50,$98.6 mil,Jefferies/ Evercore ISI/ UBS Investment Bank,Gilbert Dupont,12/11/2020,,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"It is our intention to pursue prospective targets that are focused on technologies and products related to sustainable plant-based food and beverages, alternative protein, and ingredients. More specifically, our target market includes companies that use plant-based, cell-based or precise fermentation technologies to develop food products that eliminate animals from the food supply chain. (Note: The size of this SPAC IPO was trimmed by 20 percent to 20 million units, down from 25 million units, in an SEC filing on Nov. 5, 2020. The IPO’s proposed price remained the same at $10 per unit.)",BLANK CHECKS,0,2020,Contact Information,"30 Colpitts Road Weston, MA 02493, US",617-395-1644,,Natural Order Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NOACU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Chardan/ Barclays,-,11/11/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We have not selected any business combination target and we have not, nor has anyone on our behalf, initiated any substantive discussions, directly or indirectly, with any business combination target. Although we may pursue targets in any industry, we intend to initially focus our search on identifying a prospective target business that provides expertise and technology to U.S. government customers in support of their national security, intelligence and defense missions. We also intend to initially focus on prospective target businesses that have unseen potential for revenue growth and/or operating margin expansion with high recurring revenue and cash flow, defensible intellectual property and strong market positions within their industries.",BLANK CHECKS,0,2020,Contact Information,"12020 Sunrise Valley Drive, Suite 100, Reston, VA 20191, US",(571) 500-2236,,NavSight Holdings,Financial Information,$250mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NSH.U,NYSE,20.0,$10.00 - $10.00,$200.0 mil,Credit Suisse,-,9/10/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"nCino is a leading global provider of cloud-based software for financial institutions. We empower banks and credit unions with the technology they need to meet ever-changing client expectations and regulatory requirements, gain increased visibility into their operations and performance, replace legacy systems, and operate digitally and more competitively. Our solution, the nCino Bank Operating System, digitizes, automates and streamlines inefficient and complex processes and workflow and utilizes data analytics and AI/ML to enable financial institutions to more effectively onboard new clients, make loans and manage the entire loan life cycle, open deposit and other accounts and manage regulatory compliance. We serve financial institution customers of all sizes and complexities, including global financial institutions, enterprise banks, regional banks, community banks, credit unions and new market entrants, such as challenger banks.",PREPACKAGED SOFTWARE,934,2011,Contact Information,"6770 Parker Farm Drive, Wilmington, NC 28405, US",(888) 676-2466,http://www.ncino.com,nCino,Financial Information,$2542.4mil,$153.1 mil (last 12 months),$-28.9 mil (last 12 months),IPO Profile,NCNO,NASDAQ,8.1,$31.00 - $31.00,$249.9 mil,BofA Securities/ Barclays Capital/ KeyBanc Capital Markets/ SunTrust Robinson Humphrey,Piper Sandler/ Raymond James/ Macquarie Capital (USA),7/14/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(This is the third SPAC, or special-purpose acquisition company, also known as a blank-check company, backed by True Wind Capital, a San Francisco-based private equity firm managing $1.1 billion as of June 2020. True Wind Capital is focused on investing in leading technology companies with a broad mandate including software, financial technology, industrial technology, healthcare IT, Internet, semiconductors and IT services. ) We intend to focus on technology companies with overall transaction values between $750 million and $2.5 billion.",BLANK CHECKS,0,2020,Contact Information,"Four Embarcadero Center, Suite 2100 San Francisco, CA 94111",(415) 780-9975,,Nebula Caravel Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NEBCU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Deutsche Bank Securities/ William Blair/ Stifel,Academy Securities/ Blaylock Van/ Loop Capital Markets/ Roberts & Ryan/ Tigress Financial Partners,12/9/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a technology-driven business that is an innovator in the lottery industry. As a global B2G and B2B technology and service provider to state lotteries and other lottery operators, we offer our customers a full-service solution that includes all of the elements required for the offering of lottery games, including Instants and DBGs, via personal computers, smartphones and handheld devices (“iLottery”). DBGs are draw-based games such as Powerball. (Note: This company is incorporated under the laws of Luxembourg. But according to the prospectus: “Our principal executive offices are located at 10 Habarzel Street, Tel Aviv, 6971014, Israel. Our telephone number at this address is +972-73-372-3107.”)",AMUSEMENT & RECREATION SERVICES,120,2014,Contact Information,"5, RUE DE BONNEVOIE L-1260 LUXEMBOURG, GRAND DUCHY OF LUXEMBOURG",+352-2040119020,https://www.neogames.com/,NeoGames S.A.,Financial Information,$369.3mil,$44.2 mil (last 12 months),$3.4 mil (last 12 months),IPO Profile,NGMS,NASDAQ,4.8,$17.00 - $17.00,$81.7 mil,Stifel,Macquarie Capital/ Truist Securities,11/19/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"At NerdWallet, we empower consumers — both individual consumers and SMBs — to make smarter financial decisions with confidence via our digital platform. (SMBs are small and mid-sized businesses.) We deliver guidance to consumers through educational content, tools and calculators, product marketplaces and the NerdWallet app. Our platform delivers unique value across many financial products, including credit cards, mortgages, insurance, SMB products, personal loans, banking, investing and student loans. NerdWallet has grown to include the UK and Canada. Our trusted platform aligns the interests of consumers seeking financial products with the financial services providers that offer these products. We do this by combining our house views with machine learning to help consumers find the right financial product for their needs. A successful initial experience often leads to follow-up activity on our platform and we believe it also leads to higher customer lifetime value for our financial services partners. This alignment of interests, enabled by our unbiased and trusted guidance, benefits consumers, the financial services partners and NerdWallet. (Note: NerdWallet priced its IPO on Nov. 3, 2021, at $18 – the mid-point of its $17-to-$19 price range – on 7.25 million shares, the same number of shares in the prospectus, to raise $130.5 million.)",Information Retrieval Services,675,2009,Contact Information,"875 Stevenson St., 5th Floor, San Francisco, CA 94103, US",(415) 549-8913,https://www.nerdwallet.com/,NerdWallet,Financial Information,$1185.03mil,$336.8 mil (last 12 months),$-38.0 mil (last 12 months),IPO Profile,NRDS,NASDAQ,7.3,$18.00 - $18.00,$130.5 mil,Morgan Stanley/ KeyBanc Capital Markets/ BofA Securities/ Barclays / Citigroup,"Truist Securities,/ William Blair/ Oppenheimer",11/4/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue an initial business combination target in any business or industry, we intend to focus our search for targets in the financial technology, technology and financial services industries (collectively, “fintech”), including those engaged in commercial, online and mobile banking and payments, trade finance and telecommunications, that offer a differentiated technology platform and product suite for interfacing with the financial services sector.",BLANK CHECKS,0,2019,Contact Information,"445 Park Avenue, 9th Floor New York, NY 10022, US",(972) 979-5995,,Netfin Acquisition,Financial Information,$281.2mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,NFINU,NASDAQ,22.0,$10.00 - $10.00,$220.0 mil,B. Riley FBR,-,7/31/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
