General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"Since our founding in 2012, our mission has been to build a primary care delivery platform that directly addresses rising costs and poor outcomes, two of the most pressing challenges facing the United States healthcare industry. Our patient-centered approach focuses on meaningfully improving the quality of care for the most at-risk populations. It represents the frontline implementation of the solutions addressing the most powerful trends in healthcare, mainly the shift towards value-based care and increasing patient consumerism. Our approach disrupts the current state of care delivery for Medicare-eligible patients and aligns the incentives of our patients, our providers and our payors (Medicare Advantage plans) by simultaneously improving health outcomes and care quality, lowering medical costs and improving the patient experience. As of March 31, 2020, we operated 54 healthcare centers in 13 markets across eight states.",Health Care Services,2300,2012,Contact Information,"30 W. Monroe Street, Suite 1200 Chicago, IL 60603",(312) 733-9730,http://www.oakstreethealth.com,Oak Street Health,Financial Information,$5009.05mil,$641.0 mil (last 12 months),$-144.7 mil (last 12 months),IPO Profile,OSH,NYSE,15.6,$21.00 - $21.00,$328.1 mil,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,William Blair/ Piper Sandler/ Baird/ Truist Securities,8/6/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"While we may pursue an acquisition opportunity in any business industry or sector, we intend to capitalize on the ability of our management team to identify, acquire and manage a business in the industrial and consumer sectors that can benefit from our differentiated and proprietary deal flow, leading brand name and global network. Furthermore, we believe that our management team is positioned to drive ongoing value creation post-business combination, as our team has done with investments in the industrial, consumer and other sectors over.",BLANK CHECKS,0,2019,Contact Information,"333 South Grand Avenue, 28th Floor, Los Angeles, CA 90071, US",(213) 830-6300,,Oaktree Acquisition,Financial Information,$218.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,OAC.U,NYSE,17.5,$10.00 - $10.00,$175.0 mil,Credit Suisse/ Deutsche Bank Securities,-,7/18/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a blank check company newly incorporated as a Cayman Islands exempted company for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses, which we refer to throughout this prospectus as our initial business combination. While we may pursue an acquisition opportunity in any business industry or sector, we intend to capitalize on the ability of our management team to identify, acquire and manage a business in the industrial and consumer sectors that can benefit from our differentiated and proprietary deal flow, leading brand name and global network. Patrick McCaney, Alexander Taubman, Zaid Pardesi and Mathew Pend are the founders and senior management of Oaktree Acquisition Corp. II.",BLANK CHECKS,0,2020,Contact Information,"333 South Grand Avenue 28th Floor Los Angeles, CA 90071",(213) 830-6300,,Oaktree Acquisition Corp. II,Financial Information,$281.25mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,OACB.U,NYSE,22.5,$10.00 - $10.00,$225.0 mil,Deutsche Bank/ Citigroup,,9/17/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Given the experience of our management team and Oaktree Capital Management, L.P., our acquisition and value creation strategy will be to identify, acquire, and build a company in the industrial and consumer sectors. (Incorporated in the Cayman Islands) (Note: Oaktree Acquisition Corp. III downsized its SPAC IPO in an S-1/A filing dated Dec. 22, 2021, to 22.5 million units, down from 27.5 million units in May 2021 and down from 32.5 million units initially, at $10 each to raise $225 million. This SPAC’s IPO has been pending since its S-1 filing nearly a year ago on Feb. 12, 2021.)",BLANK CHECKS,0,2021,Contact Information,"333 South Grand Avenue 28th Floor Los Angeles, CA 90071",(213) 830-6300,,Oaktree Acquisition Corp. III,Financial Information,$281.25mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,OACC.U,NYSE,22.5,$10.00 - $10.00,$225.0 mil,Deutsche Bank Securities/ Credit Suisse/ Morgan Stanley,Academy Securities/ AmeriVet Securities/ Ramirez & Co./ Tigress Financial Partners LLC,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is the IPO – an offering of American Depositary Shares – by Oatly Group AB, the oatmilk company backed by a Blackstone Group fund whose celebrity investors, according to AFN, aka AgFunderNews, include Oprah Winfrey, Jay Z’s label Roc Nation, Oscar-winning actress Natalie Portman and former Starbucks CEO Howard Schultz. ) We have a bold vision for a food system that’s better for people and the planet. We are the world’s original and largest oatmilk company. For over 25 years, we have exclusively focused on developing expertise around oats: a global power crop with inherent properties suited for sustainability and human health. Our commitment to oats has resulted in core technical advancements that enabled us to unlock the breadth of the dairy portfolio, including milks, ice cream, yogurt, cooking creams, spreads and on-the-go drinks. Traditional food production is one of the biggest drivers of environmental impact. Food production uses about half of all habitable land on earth, requires large amounts of resources, emits greenhouse gases and harms biodiversity. At the same time, today’s food system—and often our eating habits—does not meet our nutritional needs, driving the prevalence of non-communicable diseases like malnutrition, obesity and heart and vascular diseases. Through our products and actions as a company, we work to grow the plant-based movement and help people shift from traditional dairy to plant-based products and enact positive societal and industry change. We believe that transforming the food industry is necessary to face humanity’s greatest challenges across climate, environment, health and lifestyle. In parallel, change is rocking the consumer landscape, as the growing concerns for the environment and interest in health and nutrition have started to drive real, scaled behavioral changes around consumer purchase choices. Generation Z and Millennials will become the dominant global generations in the coming years, bringing to the market a new set of values and expectations. These combined factors are driving a clear rapid, accelerating growth and influx of new consumers to the plant-based dairy market.",FOOD & KINDRED PRODUCTS,792,1994,Contact Information,Jagaregatan 4 211 19 Malmö Sweden,+46 8 506 323 00,https://www.oatly.com/,Oatly Group AB,Financial Information,$9474.24mil,$421.35 mil (last 12 months),$-60.36 mil (last 12 months),IPO Profile,OTLY,NASDAQ,84.4,$17.00 - $17.00,$1434.5 mil,Morgan Stanley/ J.P. Morgan/ Credit Suisse/ Barclays/ Jefferies/ BNP Paribas/ BofA Securities/ Piper Sandler/ RBC Capital Markets,Rabo Securities/ William Blair/ Guggenheim Securities/ Truist Securities/ CICC/ Nordea/ Oppenheimer & Co./ SEB/ Blaylock Van/ C.L. King & Associates/ Loop Capital Markets/ Ramirez & Co./ Siebert Williams Shank/ Tribal Capital Markets,5/20/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Olympus Capital Holdings Asia, LLC, an Asian focused private equity firm, referred to herein as Olympus Capital, is our advisor and the advisor of Olympus Capital Asia V, L.P. We intend to capitalize on the ability of our management team and the broader Olympus Capital platform primarily to identify and acquire a U.S. business in the technology-enabled business services (including healthcare and education) or financial services sectors (the “Target Sectors”) that may provide opportunities for attractive long-term risk-adjusted returns (as the Target Sectors are projected to grow at over 16% per annum over the next four years in the U.S.), though we reserve the right to pursue an acquisition opportunity in any business or industry. **We intend to focus our search on business combination targets with an aggregate enterprise value ranging from $750.0 million to $1.0 billion.",BLANK CHECKS,0,2020,Contact Information,"1345 Avenue of the Americas, 33rd Floor New York, New York 10105",(212) 201-8533,,OCA Acquisition Corp.,Financial Information,$162.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,OCAXU,NASDAQ,13.0,$10.00 - $10.00,$130.0 mil,Stifel/ Nomura,-,1/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a biopharmaceutical company that seeks to bridge the “bench-to-bedside” gap between medical research discoveries and patient solutions. We do this by leveraging our strong relationships with research universities and medical centers to license their inventions and technologies with the goal of developing them into products that address diseases with significant unmet medical needs. Our current active assets are licensed directly or indirectly from Brown University, Stanford University and Rhode Island Hospital. Our scientific co-founders, Dr. Jack A. Elias and Dr. Jonathan Kurtis, are both affiliated with Brown University and Rhode Island Hospital. We are pursuing programs in oncology, fibrosis, infectious disease and inflammation. Our programs in oncology and fibrosis are based on exclusive licenses with Brown University. Our programs in infectious disease are based on exclusive licenses with Rhode Island Hospital. Our program in inflammation is based on a nonexclusive license with Stanford University. We are not aware of any other licensee for these programs. We anticipate moving certain preclinical product candidates in our oncology (non-small cell lung cancer and glioblastoma multiforme, an aggressive type of brain cancer), pulmonary fibrosis and/or infectious disease (malaria) programs into the clinic in the next 12 to 18 months. We also expect our anti-inflammatory product candidate, OPS-172 targeting angiotensin 1-7, or Ang 1-7, to commence Phase 1/2 clinical trials for the treatment of COVID-19 in hospitalized patients in the second half of 2021. (Note: The pricing date of Ocean Biomedical’s IPO is TBA, the Street hears on Feb. 16, 2022. The deal has been pushed back from pricing during Valentine’s week. Ocean Biomedical drastically cut the size of its IPO in an S-1/A filing dated Feb. 4, 2022: The number of shares was cut to 2.0 million, down from 6.25 million in a July 26, 2021, filing with the SEC, and the price range was increased to $10 to $12, up from $7 to $9 in the July 2021 S-1/A filing. Under the new terms, the estimated IPO proceeds are $22 million. The IPO had been initially scheduled for pricing in late July 2021.)",PHARMACEUTICAL PREPARATIONS,9,2019,Contact Information,"55 Claverick St., Room 325, Providence, Rhode Island 02903",(401) 444-7375,http://www.oceanbiomedical.com/,Ocean Biomedical,Financial Information,,$0 mil (last 12 months),$-45.56 mil (last 12 months),IPO Profile,OCEA,NASDAQ,2.0,$10.00 - $12.00,$22.0 mil,Roth Capital Partners/ JonesTrading,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search for an initial business combination on private companies involved in the leisure marine, yachting and superyachting industries with enterprise values of approximately $250 million to $1.0 billion. (Incorporated in Delaware) Our sponsor is controlled by Joseph Adir, our CEO. He has over 35 years of experience in the high-tech space. Since 1992, Mr. Adir had a direct involvement in the yachting world as a sailor, racer (1999), captain (1998) and shareholder. In January 2014, Mr. Adir began serving as a director of Repositioning Investments Ltd., a boutique investment house that specializes in special situation corporation finance for the middle market. Since 2014, Mr. Adir has focused his attention on the superyachting industry. He has developed a multidimensional disruption strategy for the superyacht industry. Michael Payne is our chairman of the board of directors. He has over 40 years of experience in the yachting industry. In September 2017, Mr. Payne was the managing director of Northrop & Johnson Europe, a leading international yacht brokerage and member of the LYBrA (Large Yacht Brokers Association), until July 2020 when the company merged with MarineMax, Inc. (NYSE: HZO).",BLANK CHECKS,0,2021,Contact Information,"515 Madison Avenue 8th Floor – Suite 8133 New York, New York 10022",(929) 412-1272,,OceanTech Acquisitions I Corp.,Financial Information,$126.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,OTECU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Maxim Group LLC,-,5/28/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a preclinical biopharmaceutical company developing next-generation therapeutics to improve the lives of patients suffering from inflammatory eye diseases and ocular pain. Our research program is focused on a novel G Protein-Coupled Receptor, or GPCR, which we believe plays a key role in the pathology of these inflammatory eye diseases of high unmet medical need. Our therapeutic approach is focused on targeting inflammatory and pain modulation pathways that drive these conditions. We are presently developing OK-101, our lead preclinical product candidate, for the treatment of dry-eye disease. We also plan to evaluate its potential in benefiting patients with ocular neuropathic pain, uveitis and allergic conjunctivitis. OK-101, our lead preclinical product candidate, is focused on keratoconjunctivitis sicca, commonly referred to as dry eye disease, or DED, which is a multifactorial disease caused by an underlying inflammation resulting in the lack of lubrication and moisture in the surface of the eye. DED is one of the most common ophthalmic conditions encountered in clinical practice. Symptoms of DED include constant discomfort and irritation accompanied by inflammation of the ocular surface, visual impairment and potential damage to the ocular surface. The disease affects over 35% of the population aged 50+, with women representing approximately two-thirds of those affected. Prevalence of DED is anticipated to increase substantially in the next 10-20 years due to aging populations in the U.S., Europe, Japan and China and use of contact lenses in the younger population. We believe this increase in prevalence of dry eye syndrome represents a major expanding economic burden to public healthcare. At present, there are essentially three major prescription drugs used to treat DED: 1) Restasis (cyclosporine), 2) Xiidra (lifitegrast), and 3) Tyrvaya (Varenicline). However, DED continues to be a major unmet medical need due to the large number of patients not well served by the treatments available to them through the medical community. **Note: Net loss is for the year ended March 31, 2021, according to the prospectus.",Pharmaceuticals - Ophthalmic,2,2007,Contact Information,Martello Court Admiral Park St. Peter Port Guernsey GY1 3HB,+44 (0)20 7495 2379,https://www.okyopharma.com/,"OKYO Pharma, Ltd.",Financial Information,,$0 mil (last 12 months),$-3.35 mil (last 12 months),IPO Profile,OKYO,NASDAQ,0.0,$0.00 - $0.00,$12.0 mil,ThinkEquity,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"OLAPLEX is an innovative science-enabled and technology-driven beauty company. We are founded on the principle of delivering effective, patent-protected and proven performance in the categories where we compete. We strive to empower our consumers to look as beautiful on the outside as they feel on the inside. We believe every person deserves to have healthy beautiful hair, whether they are visiting a salon or caring for their hair at home. Our commitment to deliver results that are visible on first use, coupled with our strong sense of community across both professional hairstylists and consumers, has driven tremendous brand loyalty. We offer our award-winning products through a global omni-channel platform serving the professional, specialty retail and direct-to-consumer (“DTC”) channels. (Note: OLAPLEX upsized its IPO at pricing on Sept. 29, 2021, to price its IPO at $21 – $2 above its $17-to-$19 price range – and sell 73.7 million shares – up from 67 million in the prospectus – to raise $1,547.7 million – or $1.55 billion. Earlier this week: Olaplex raised the price range of its IPO on Tuesday, Sept. 28, 2021, to $17 to $19 – up from $14 to $16 – and kept the number of shares at 67 million, in an S-1/A filing dated Sept. 28, 2021. At the $18 mid-point of the increased price range, the estimated IPO proceeds were $1.206 billion.)",Haircare Products,82,2014,Contact Information,"1187 Coast Village Rd, Suite 1-520 Santa Barbara, CA 93108",(310) 691-0776,http://www.olaplex.com/,"Olaplex Holdings, Inc.",Financial Information,$13751.22mil,$452.9 mil (last 12 months),$111.8 mil (last 12 months),IPO Profile,OLPX,NASDAQ,73.7,$21.00 - $21.00,$1547.7 mil,Goldman Sachs/J.P. Morgan/	Morgan Stanley/ Barclays/ BofA Securities/Evercore ISI/Jefferies/Raymond James,Cowen/Piper Sandler/Truist Securities/Telsey Advisory Group/Drexel Hamilton/Loop Capital Markets,9/30/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
