General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"(Note: This deal is NOT an IPO. This is an uplift to the NYSE from the OTC Pink Open Market, where the stock of P10 Holdings, Inc. trades under the symbol “PIOE” and closed on Friday, Oct. 15, at $11.05. In connection with this offering, P10, Inc., became the parent of P10 Holdings, Inc. pursuant to a reorganization, which will include a reverse stock split of P10 Holdings, Inc.’s common shares on a 0.7-for-1 basis. IPOScoop does not offer a SCOOP Rating on uplift deals, also known as uplistings.) We are a leading multi-asset class private market solutions provider in the alternative asset management industry. Our mission is to provide our investors differentiated access to a broad set of investment solutions that address their diverse investment needs within private markets. We structure, manage and monitor portfolios of private market investments, which include specialized funds and customized separate accounts within primary investment funds, secondary investments, direct investments and co-investments, collectively (“specialized investment vehicles”) across highly attractive asset classes and geographies in the middle and lower middle markets that generate superior risk-adjusted returns. Our existing portfolio of private solutions include Private Equity, Venture Capital, Impact Investing and Private Credit. (Note: P10, Inc., priced its NYSE uplift offering on Oct. 20, 2021, at $12 – far below its $14-to-$16 price range – on 20 million shares, the number in the prospectus, to raise $240 million. With the pricing of this offering, the trading of P10 Holdings stock (symbol: “PIOE”) on the OTC Pink Open Market was terminated.)",Investment Advice,154,1992,Contact Information,"4514 Cole Avenue, Suite 1600 Dallas, Texas 75205",(214) 999-0149,http://www.p10alts.com/,"P10, INC.",Financial Information,,$106.82 mil (last 12 months),$25.87 mil (last 12 months),IPO Profile,PX,NYSE,20.0,$12.00 - $12.00,$240.0 mil,Morgan Stanley/ J.P. Morgan/ Barclays,UBS Investment Bank/ Keefe Bruyette & Woods/ Oppenheimer & Co./ Stephens Inc.,10/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on operating businesses in and around the new energy, biotech, and education industries in Asia (excluding China). We shall not undertake our initial business combination with any entity with its principal business operations in China (including Hong Kong and Macau).",BLANK CHECKS,0,2021,Contact Information,"521 Fifth Avenue 17th Floor New York, NY 10175",(646) 886 8892,,Pacifico Acquisition Corp.,Financial Information,$52.81mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PAFOU,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,Chardan,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on operating businesses in and around the new energy, biotech, and education industries in Asia (excluding China). We shall not undertake our initial business combination with any entity with its principal business operations in China (including Hong Kong and Macau).",BLANK CHECKS,0,2021,Contact Information,"521 Fifth Avenue 17th Floor New York, NY 10175",(646) 886 8892,,Pacifico Acquisition Corp.,Financial Information,$65.31mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PAFOU,NASDAQ,5.0,$10.00 - $10.00,$50.0 mil,Chardan,-,9/14/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are the largest manufacturer and distributor of fresh foodservice and food merchandising products and fresh beverage cartons in North America (as measured by revenue). We produce a broad range of on-trend and feature rich products that protect, package and display fresh food and beverages for consumers who want to eat or drink fresh, prepared or ready-to-eat food and beverages conveniently and with confidence. Consumers use our products every day in restaurants, coffee shops, supermarkets, grocery stores and their homes and we estimate that our products are used by people in the United States approximately 5 billion times per week. The company was formerly known as Reynolds Group Holdings, Ltd.",Food & Beverage Packaging,15000,2006,Contact Information,"1900 W. Field Court Lake Forest, Illinois 60045",(800) 879-5067,http://www.pactivevergreen.com,Pactiv Evergreen,Financial Information,$3421.0mil,$6780.0 mil (last 12 months),$-51.0 mil (last 12 months),IPO Profile,PTVE,NASDAQ,41.0,$14.00 - $14.00,$574.4 mil,Credit Suisse/ Citigroup/ BofA Securities/ Goldman Sachs & Co,Baird/ BMO Capital Markets/ Deutsche Bank Securities/ RBC Capital Markets/ Academy Securities/ Loop Capital Markets/ Rabo Securities/ Ramirez & Co./ Siebert Williams Shank,9/17/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"PagerDuty acts as the central nervous system for the digital enterprise. PagerDuty harnesses digital signals from virtually any software-enabled system or device, combines it with human response data, and orchestrates teams to take the right actions in real time. Our products help organizations improve operations, accelerate innovation, increase revenue, mitigate security risk, and deliver great customer experience. Companies across every industry are undergoing digital transformation in response to their customers’ changing needs. Consumers want to have food delivered to their home from the restaurant of their choice within an hour, to stream a movie on an iPhone while waiting in line at the airport, and to do their holiday shopping from the couch with a few clicks, and a car to show up within minutes to take them anywhere they want to go. Businesses need to accept mobile payments from hundreds of thousands of global customers during a product launch, to instantly update software in autonomous cars to prevent accidents, and to reach customers using e-mail, SMS, and phone with evacuation information during an emergency.",PREPACKAGED SOFTWARE,524,2010,Contact Information,"600 Townsend St., Suite 200, San Francisco, CA 94103, US",(844) 800-3889,http://www.pagerduty.com,PagerDuty,Financial Information,$1619.144mil,$117.8 mil (last 12 months),$-40.7 mil (last 12 months),IPO Profile,PD,NYSE,9.1,$24.00 - $24.00,$217.7 mil,Morgan Stanley/ J.P. Morgan Securities/ RBC Capital Markets/Allen,KeyBanc Capital Markets/ Piper Jaffray/ William Blair/ BTIG,4/11/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is an offering of 2.55 million units, according to an SEC filing on Aug. 24, 2020, in which the IPO was changed to a unit offering from one of common shares. Each unit consists of one of our ordinary shares and one warrant to purchase one ordinary share. We have applied to list our ordinary shares on the Nasdaq Capital Market under the symbol “PRFX”. The Warrants will not be listed for trading and will expire five years from the date of issuance.) We are a clinical stage specialty pharmaceutical company focused on the reformulation of established therapeutics. Our proprietary extended release drug-delivery system prolongs the in vivo activity of APIs (active pharmaceutical ingredients), thus increasing the therapeutic window for patient treatment. Our strategy is to incorporate generic drugs with our proprietary extended release drug-delivery system in order to create extended release drug products and to take advantage of the 505(b)(2) regulatory pathway created by the U.S. Food and Drug Administration (“FDA”).",PHARMACEUTICAL PREPARATIONS,3,2007,Contact Information,"60C Medinat Hayehudim, Herzliya, 4676670, Israel",+972 9-960-1901,http://www.painreform.com,PainReform Ltd.,Financial Information,$71.29mil,$0 mil (last 12 months),$-1.3 mil (last 12 months),IPO Profile,PRFX,NASDAQ,2.5,$8.00 - $8.00,$20.0 mil,Maxim Group/ Joseph Gunnar,-,9/1/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is not a traditional IPO. This is a direct listing of Palantir’s Class A common stock on the New York Stock Exchange without the involvement of underwriters. From the prospectus: “We have engaged Morgan Stanley & Co. LLC (“Morgan Stanley”), Credit Suisse Securities (USA) LLC, Goldman Sachs & Co. LLC, Allen & Company LLC, RBC Capital Markets, LLC, Citigroup Global Markets Inc., Jefferies LLC, HSBC Securities (USA) Inc., SG Americas Securities, LLC, CIBC World Markets Corp., Scotia Capital (USA) Inc., and MUFG Securities Americas Inc. as our financial advisors. There will be no book building process and no price at which underwriters initially sold shares to the public to help inform efficient and sufficient price discovery with respect to the opening trades on the NYSE.”) We build software platforms for large institutions whose work is essential to our way of life. Those institutions must be able to function in times of stability as well as crisis and uncertainty. To do so, they need software that works. We were founded in 2003 and started building software for the intelligence community in the United States to assist in counterterrorism investigations and operations. We later began working with commercial enterprises. We have built two principal software platforms, Palantir Gotham (“Gotham”) and Palantir Foundry (“Foundry”). Gotham, our first software platform, was constructed for analysts at defense and intelligence agencies. They were hunting for needles not in one, but in thousands of haystacks. And they did not have the software they needed to do their jobs. In Afghanistan and Iraq, soldiers were mapping networks of insurgents and makers of roadside bombs by hand. Gotham enables users to identify patterns hidden deep within datasets, ranging from signals (from) intelligence sources to reports from confidential informants, and helps U.S. and allied military personnel find what they are looking for. We later found that the challenges faced by commercial institutions when it came to working with data were fundamentally similar. Companies routinely struggle to manage, let alone make sense of, the data involved in large projects. Foundry was built for them. Our software is used by customers across 36 industries and in more than 150 countries.",PREPACKAGED SOFTWARE,2398,2003,Contact Information,"1555 Blake Street, Suite 250 Denver, Colorado 80202",(720) 358-3679,http://www.palantir.com,Palantir Technologies,Financial Information,,$901.1 mil (last 12 months),$-472.4 mil (last 12 months),IPO Profile,PLTR,NYSE,257.1,$7.25 - $7.25,$1864.3 mil,None,,9/30/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a rapidly growing and profitable company focused on the provision of specialty property insurance. We focus on certain markets that we believe are underserved by other insurance companies, such as the markets for earthquake, wind and flood insurance. We provide specialty property insurance products in our target markets to both individuals and businesses. We use proprietary data analytics and a modern technology platform to offer our customers flexible products with customized and granular pricing on an admitted basis. We distribute our products through multiple channels, including retail agents, program administrators, wholesale brokers, and in partnership with other insurance companies. Our business strategy is supported by a comprehensive risk transfer program with reinsurance coverage that we believe provides both consistency of earnings and appropriate levels of protection in the event of a major catastrophe.","FIRE, MARINE & CASUALTY INSURANCE",64,2013,Contact Information,"7979 Ivanhoe Avenue, Suite 500, La Jolla, CA 92037, US",(619) 567-5290,http://www.PalomarSpecialty.com,Palomar Holdings,Financial Information,$339.4mil,$154.9 mil (last 12 months),$19.8 mil (last 12 months),IPO Profile,PLMR,NASDAQ,5.6,$15.00 - $15.00,$84.4 mil,"Barclays/ J.P. Morgan/ Keefe, Woods & Bruyette (A Stifel Company)",Evercore ISI/ William Blair/ Sandler O'Neill + Partners/ SunTrust Robinson Humphrey,4/17/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"While we may pursue an initial business combination opportunity in any industry or geographical location, we intend to capitalize on our management team’s background and experience to identify promising opportunities in the biotechnology sector.",BLANK CHECKS,0,2020,Contact Information,"357 Tehama Street, Floor 3, San Francisco, CA 94103, US",(415) 966-0807,,Panacea Acquisition,Financial Information,$160.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PANA.U,NYSE,12.5,$10.00 - $10.00,$125.0 mil,Cowen,-,7/1/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is a blank-check company or SPAC offering of Class A ordinary shares. This is NOT a unit offering (stock and warrants) that is typical of SPAC IPOs.) We intend to capitalize on our management team’s background and experience to identify innovative companies in the biotechnology sector that are domiciled in North America or Europe. (Note: Panacea Acquisition Corp. II priced its SPAC IPO on April 6, 2021, according to the terms in its prospectus: 15 million Class A ordinary shares at $10 each to raise $150 million.)",BLANK CHECKS,0,2021,Contact Information,"357 Tehama Street Floor 3 San Francisco, CA 94103",(415) 966-0807,,Panacea Acquisition Corp. II,Financial Information,$205.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,PANA,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,Cowen,-,4/7/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
