General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,Day
General Information,"We are an established and growing direct-to-consumer personal automobile insurance company. We primarily sell liability insurance at states’ minimum financial responsibility limits in order to provide access to affordable personal automobile insurance to consumers who depend on their cars to reach their jobs and take care of their families. Our consumers prioritize flexibility and convenience, are budget-conscious and are generally underserved by the traditional insurance industry.","FIRE, MARINE & CASUALTY INSURANCE",662,1993,Contact Information,"4 Easton Oval, Columbus, OH 43219, US",(614) 231-0200,http://www.safeauto.com,Safe Auto Insurance Group,Financial Information,,$435.97 mil (last 12 months),$21.9 mil (last 12 months),IPO Profile,SAIG,NASDAQ,0.0,$0.00 - $0.00,$50.0 mil,BofA Merrill Lynch/ Deutsche Bank Securities,"Keefe, Bruyette & Woods (A Stifel Company)/ Sandler O’Neill + Partners/ Dowling & Partners Securities",,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: AIG is spinning off SAFG Retirement Services, Inc., in this IPO. The business will be renamed Corebridge Financial, Inc., once it goes public. SAFG Retirement Services, Inc., filed confidential IPO paperwork with the SEC on Dec. 21, 2021)  We are one of the largest providers of retirement solutions and insurance products in the United States, committed to helping individuals plan, save for and achieve secure financial futures. Our addressable markets are large, with powerful, long-term secular trends, given an aging U.S. population and a growing need for retirement solutions. We offer a broad set of products and services through our market-leading Individual Retirement, Group Retirement, Life Insurance and Institutional Markets businesses, each of which features capabilities and industry experience we believe are difficult to replicate. These four businesses collectively seek to enhance stockholder returns while maintaining our attractive risk profile, which has historically resulted in consistent and strong cash flow generation. **The company had $411 billion in client assets under management (AUM) at the end of 2021. **Note: SAFG Retirement Services, Inc., reported total revenues of $23.39 billion and net income of $7.36 billion for the year ended Dec. 31, 2021.",Life Insurance & Retirement Services,8095,1850,Contact Information,"2919 Allen Parkway, Woodson Tower Houston, Texas 77019",1-877-375-2422,,"SAFG Retirement Services, Inc.",Financial Information,,$23390.0 mil (last 12 months),$7355.0 mil (last 12 months),IPO Profile,CRBG,NYSE,0.0,$0.00 - $0.00,$100.0 mil,J.P. Morgan/ Morgan Stanley/ Piper Sandler,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on targets in the TMT (telecom, media and technology) sector. (**Note: About 10 qualified institutional buyers had each indicated an interest in buying up to 9.99 percent of the units in the IPO – or in aggregate up to 99.9 percent of the deal, the prospectus says.) (Note: Sagaliam Acquisition Corp. priced its SPAC IPO on Dec. 20, 2021, in line with the terms in its prospectus: 10 million units at $10 each to raise $100 million.)",BLANK CHECKS,0,2021,Contact Information,"800 Avenue of the Stars, Suite 1475 Los Angeles, CA 90067",213-616-0011,,Sagaliam Acquisition Corp.,Financial Information,$129.7mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,SAGAU,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,EF Hutton,-,12/21/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: Sagimet Biosciences Inc. withdrew its IPO plans in an SEC filing dated March 21, 2022. The company filed its S-1 on April 16, 2021, and an S-1/A on May 10, 2021, but no terms were filed.) We are a clinical-stage biopharmaceutical company focused on developing a portfolio of internally discovered, selective fatty acid synthase (FASN) inhibitors for the treatment of several diseases that result from the overproduction of the fatty acid, palmitate. Based on our clinical and preclinical data, we believe that our wholly owned pipeline of oral FASN inhibitors has the potential to offer treatments for indications in several therapeutic areas of high unmet medical need including liver diseases and cancers. TVB-2640, which we are developing as an oral, once-daily pill, is our lead drug candidate that we selected from more than 1,200 compounds in our library of FASN inhibitors and has been studied in over 260 subjects, including healthy volunteers and patients with non-alcoholic steatohepatitis (NASH) or cancer. In our FASCINATE-1 Phase 2a clinical trial, TVB-2640 demonstrated statistically significant improvements across steatosis, inflammation/lipotoxicity, fibrosis and metabolic biomarkers important in NASH, and was well-tolerated. We believe that these attributes provide TVB-2640 the potential to treat a broad range of patients in this multifactorial disease. In the second quarter of 2021, we plan to initiate enrollment of our FASCINATE-2 Phase 2b clinical trial in NASH patients with moderate to advanced fibrosis to evaluate the impact of TVB-2640 on disease improvement by assessing liver biopsies after 52 weeks of treatment. We also plan to conduct an interim analysis after a portion of the patients complete 26 weeks of treatment. Within oncology, in the second half of 2021, we plan to initiate a randomized, controlled Phase 2 clinical trial for glioblastoma multiforme (GBM) and a Phase 1b/2 basket clinical trial in several solid tumors where FASN inhibition may have promising utility. In addition, we plan to advance our second FASN inhibitor, TVB-3567, into a first-in-human clinical trial in the second half of 2021. In healthy adults, FASN is a key enzyme involved in the production of saturated fatty acids in the liver and other organs and is the only enzyme in the human body capable of converting metabolized sugars into palmitate. Palmitate is a saturated fatty acid that serves as a building block for longer chain, polyunsaturated fatty acids and can directly interact with other proteins to sustain normal cell signaling and metabolic function. The overproduction of palmitate is a critical driver of cellular metabolic dysfunction that can drive development or progression of several different diseases. In patients with NASH, increased FASN-mediated palmitate synthesis in the liver is the source of three key drivers of the disease: excess accumulation of liver fat, inflammation and fibrosis. If left untreated, these can lead to cirrhosis of the liver, liver cancer and/or liver transplantation. **Note: “Our net loss was $11.4 million for the year ended Dec. 31, 2020, and (our net loss was) $5.5 million for the three months ended March 31, 2021, respectively. As of March 31, 2021, we had an accumulated deficit of $172.5 million.”",Pharmaceuticals,6,2006,Contact Information,"155 Bovet Road, Suite 303 San Mateo, California 94402",(650) 561-8600,http://www.sagimet.com/,Sagimet Biosciences Inc.,Financial Information,,$0 mil (last 12 months),$-11.4 mil (last 12 months),IPO Profile,SGMT,NASDAQ,0.0,$0.00 - $0.00,$75.0 mil,BofA Securities/ Cowen/ Piper Sandler/ Oppenheimer & Co.,,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a specialty medical device company dedicated to bringing vision and freedom back to patients suffering from late-stage conditions of the retina. We are engaged in the research, development, manufacturing and marketing of proprietary ophthalmic devices and technologies that are intended to significantly improve the vision and quality of life of individuals with untreatable retinal disorders, particularly Age-Related Macular Degeneration (“AMD”). Our team is passionately developing a solution for patients in this underserved group. There are more than 11 million people living today with blindness from AMD. This group not only suffers from loss of vision, but also a significant loss of social function and the depression that goes along with it. Our current product line consists of our first-generation implantable miniature telescope (“IMT”), which we refer to as WA IMT; our Smaller-Incision, New Generation (SING) IMT, which we refer to as SING IMT; and our Tsert delivery system. Our WA IMT is the first implantable medical device approved by the U.S. Food and Drug Administration (“FDA”) that works similarly to the telephoto lens of a camera, which enables improvement in vision and quality of life for individuals with the most advanced form of AMD, commonly referred to as late-stage AMD. It is important to note that not every patient with late-stage AMD is a candidate for treatment using our WA IMT. Our WA IMT was approved by the FDA in July 2010 and received a Conformité Européenne Mark (“CE Mark”) in August 2005. (Note: Samsara Vision, Inc. revived its recently postponed IPO with downsized terms in an S-1/A filing on March 10, 2022: 2.5 million shares, down from 4.17 million, at $5 to $7 to raise $15 million. On Thursday, Jan. 27, 2022, Samsara Vision postponed its IPO – just hours ahead of its expected pricing.)",Specialty Medical Device - Vision,20,2015,Contact Information,"27 US HWY 202 (Ste 8/9) Far Hills, NJ 07931",(877) 997-4448,http://www.samsaravision.com/,"Samsara Vision, Inc.",Financial Information,$129.18mil,$39.0 mil (last 12 months),$-8.24 mil (last 12 months),IPO Profile,SMSA,NASDAQ,2.5,$5.00 - $7.00,$15.0 mil,ThinkEquity,-,1/28/2022,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Samsara is on a mission to increase the safety, efficiency and sustainability of the operations that power the global economy. To realize this vision, we pioneered the Connected Operations Cloud, which allows businesses that depend on physical operations to harness Internet of Things (IoT) data to develop actionable business insights and improve their operations. Businesses in industries like transportation, wholesale and retail trade, construction, field services, logistics, utilities and energy, government, healthcare and education, manufacturing, food and beverage, and others are the backbone of the global economy. They operate high-value assets, coordinate large field workforces, manage complex logistics and distributed sites, and face environmental, safety and other regulatory requirements. We estimate that these industries represented over 40% of the global gross domestic product (GDP) in 2020. Yet historically, these industries have been underserved by technology, leaving them heavily reliant on manual processes and legacy systems that are siloed and lack cloud connectivity. Without connected digital tools, physical operations businesses struggle to access real-time data, making it nearly impossible to achieve complete operational visibility or drive meaningful improvements in productivity. We are solving the problem of opaque operations and disconnected systems. By harnessing recent advancements in IoT connectivity, artificial intelligence (AI), cloud computing and video imagery, we are enabling the digital transformation of physical operations. Using our Connected Operations Cloud, customers can visualize their physical operations in real-time, on one integrated platform in a way that would have been impossible and impractical only a few years ago. Our Connected Operations Cloud consolidates data from our IoT devices and a growing ecosystem of connected assets and third-party systems, and makes it easy for organizations to access, analyze and act on data insights, using our cloud dashboard, custom alerts and reports, mobile apps and workflows. Our differentiated, purpose-built suite of solutions enables organizations to embrace and deploy a digital, cloud-connected strategy across their operations. With Samsara, customers have the ability to drive safer operations, increase business efficiency, and achieve their sustainability goals, all to improve the lives of their employees and the customers they serve. (Samsara, Inc. priced its IPO at $23 – the top of its $20-to-$23 range – on 35 million shares, the same number of shares in the prospecuts, to raise $805 million.)",Services - Computer Integrated Systems Design,1490,2015,Contact Information,"350 Rhode Island Street 4th Floor, South Building San Francisco, California 94103",(415) 985-2400,http://www.samsara.com/,"Samsara, Inc.",Financial Information,$10757.53mil,$378.53 mil (last 12 months),$-138.44 mil (last 12 months),IPO Profile,IOT,NYSE,35.0,$23.00 - $23.00,$805.0 mil,Morgan Stanley/ Goldman Sachs/ J.P. Morgan/ Allen & Co. / RBC Capital Markets/ Wells Fargo Securities/ Evercore ISI/ William Blair,"Cowen/ Wolfe/ Nomura Alliance/ Academy Securities/ Loop Capital Markets/R. Seelaus & Co., LLC/ Ramirez & Co., Inc./ Siebert Williams Shank",12/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We were founded on the belief that engineered cells will be one of the most important transformations in medicine over the next several decades. The burden of diseases that can be addressed at their root cause through engineered cells is significant. We view engineered cells as having the potential to be as therapeutically disruptive as biologics to clinical practice. Our long-term aspirations are to be able to control or modify any gene in the body, to replace any cell that is damaged or missing, and to markedly improve access to cellular and gene-based medicines. We have brought together an experienced group of scientists, engineers, and company builders and combined them with the necessary technologies to move this vision forward. We are developing in vivo and ex vivo cell engineering platforms to revolutionize treatment across a broad array of therapeutic areas with unmet treatment needs, including oncology, diabetes, central nervous system (CNS) disorders, cardiovascular diseases, and genetic disorders, among others. While our current product candidates are all in preclinical development, our goal is to file multiple investigational new drug applications (INDs) both in 2022 and 2023. (Note: Sana Biotechnology upsized its IPO to 22 million shares at $23 to $24 – up from its initial terms of 15 million shares at $20 to $23 – in an S-1/A filing dated Feb. 3, 2021.)",Pharmaceuticals,,2018,Contact Information,"188 East Blaine Street, Suite 400 Seattle, Washington 98102",(206) 701-7914,http://www.sana.com,"Sana Biotechnology, Inc.",Financial Information,$3769.38mil,$0 mil (last 12 months),$-215.2 mil (last 12 months),IPO Profile,SANA,NASDAQ,23.5,$25.00 - $25.00,$587.5 mil,Morgan Stanley/ Goldman Sachs/ J.P. Morgan/ BofA Securities,-,2/4/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to capitalize on our management team’s ability to identify, acquire and manage a business that can capitalize on the operational expertise of our management team across a diverse array of healthcare-related industries – with a specific focus on digital health, life science tools and services, and innovative treatment developers. Sandra Shpilberg is our CEO. She is a serial entrepreneur, biotech executive and active investor, with M&A experience. In 2015, Shpilberg founded Seeker Health®, a breakthrough patient-finding platform. The company grew rapidly to serve 60+ biopharmaceutical companies with clinical trial enrollment. In 2018, EVERSANA®, a large life sciences services conglomerate, acquired Seeker Health for an undisclosed sum. Morgan Stanley recognized Seeker Health as a Healthcare Innovator in its 2019 report “Incubators of Innovation: The Role of Private Companies in Healthcare.” (Note: Sanaby Health Acquisition Corp. I priced its SPAC IPO on Oct. 14, 2021, in line with its prospectus: 15 million shares at $10 each to raise $150 million.)",BLANK CHECKS,0,2021,Contact Information,"2625 Middlefield Road #990 Palo Alto, CA 94306",415-580-1810,,Sanaby Health Acquisition Corp. I,Financial Information,$195.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,SANBU,NASDAQ,15.0,$10.00 - $10.00,$150.0 mil,BTIG,I-Bankers Securities,10/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Since 2017, we have focused on the residential property rental industry in China. We leased residential properties from individual property owners on a long-term basis, renovated and furnished such properties in a clean and modern manner, and rented them out to individual tenants. As of June 30, 2019, we leased 11,434 properties from property owners. On July 1, 2019, we sold and transferred leases of 10,167 properties. As of the date of this prospectus, we leased 1,267 properties from property owners. During the period when we held and managed over 10,000 leases, we saw the demands for and opportunities of a system that connects landlords, tenants, and service providers efficiently and combines management of internal operations and logistics with management of customers acquisition and development. We recruited a group of software engineers and invested in the development of a system that serves landlords in property rental transactions. Our operation and experience in the residential rental industry enabled us to identify challenges and implement solutions in our own software.  Finally, in July 2019, we launched SanCaiJia, our Software-as-a-Service (SaaS) solutions. Our SanCaiJia solutions aim to serve the real estate rental industry and household service providers. Our clients include individual property owners, real estate management companies, leasing agencies, real estate agencies, apartments, decoration and renovation companies, and housekeeping and cleaning services. Customers of our clients have access to the software to view and connect with the agents to sign documents, pay rents, report repairs, etc. Our total revenue increased by approximately $4.24 million, or 116.02%, to approximately $7.89 million for the year ended September 30, 2021 from approximately $3.65 million (restated) for last fiscal year. The improvement in our revenue was mainly due to an increase in revenue from our SAAS customization & development services, which is a new service that we started to provide to our customers in October 2020. In fiscal year 2021, we developed new products and extended our expertise in other industries to leverage our existing SAAS knowledge and grow our customer base. Revenue from SaaS Platform standard service increased slightly by $0.18 million, or 4.88%, to $3.83 million for fiscal year 2021 (ended Sept. 30, 2021), from $3.65 million (restated) for last fiscal year. The revenue from SassS Platform for fiscal year 2021 was mainly from contract liabilities recorded in fiscal year 2020 for unrealized revenue. Our revenue from SasS platform standard service was mainly from rental property leasing transactions. During the fiscal year 2021, the COVID-19 pandemic caused disruption to the housing leasing industry in China. As a result, the transaction settlement amount decreased by $204.34 million, from $212.36 million for the fiscal year 2020 to $8.02 million for the fiscal year 2021. As there were no contract liabilities as of September 30, 2021, our revenue from unrealized SasS platform standard services will decrease in fiscal year 2022. However, we are now promoting the SaaS platform in different industries, especially in the agriculture industry to diversify the source of revenue and reduce the risk. Net income attributable for fiscal year 2021 was $0.93 million, an increase of $1.80 million, as compared to a net loss of $0.87 million (restated) for fiscal year 2020.",PREPACKAGED SOFTWARE,231,2017,Contact Information,"No. 6 Fengcheng Second Road, Room 401 Xi’an Economic and Technological Development Zone Xi’an, Shaanxi Province, People’s Republic of China 710000",+86-021-52212192,http://www.sancaijia.com,Sancai Holding Group Ltd,Financial Information,,$7.89 mil (last 12 months),$0.93 mil (last 12 months),IPO Profile,SCIT,NASDAQ,0.0,$0.00 - $0.00,$30.3 mil,Univest Securities,,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a newly organized blank check company. While we may pursue an initial business combination with a company in any sector, we intend to focus our search on the consumer sector and consumer-related businesses, which complements the expertise of our management team, directors and advisors. Ken Suslow is the CEO and chairman. Designer and fashion icon Tommy Hilfiger is an advisor. The Sandbridge fund and the PIMCO private funds are members of our sponsor. Sandbridge Capital, LLC (“Sandbridge Capital”) is a leading global consumer-focused investment firm with a global network and deep sector expertise, targeting high-growth, market-leading brands. Sandbridge Capital’s primary target segments include modern consumer brands, disruptive consumer-based technologies, beauty and personal care, luxury, and health and wellness.",BLANK CHECKS,0,2020,Contact Information,"1999 Avenue of the Stars, Suite 2088 Los Angeles, CA 90067",(424) 221-5743,,Sandbridge Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,SBG.U,NYSE,20.0,$10.00 - $10.00,$200.0 mil,Citigroup/ UBS Investment Bank,,9/15/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search on the consumer sector and consumer-related businesses, which complements the expertise of our management team, directors and advisors. (New blank check company incorporated in Delaware) Ken Suslow, our CEO, is the founding managing partner of Sandbridge Capital. He is the former chairman of menswear fashion house Thom Browne, Inc. The Sandbridge fund and the PIMCO private fund are members of the sponsor of Sandbridge X2 Corp. Designer Tommy Hilfiger is a senior advisor to Sandbridge. Sandbridge Capital is a leading global consumer-focused investment firm whose primary target segments include modern consumer brands, disruptive consumer-based technologies, beauty and personal care, luxury, and health and wellness. T Sandbridge Capital’s thesis reflects the disruptive opportunity for innovative “2.0 brands” relative to the value erosion experienced by structurally challenged retail and other legacy concepts. Sandbridge Capital’s principals as a team have invested in 16 consumer brands, including Farfetch Ltd., Mont Blanc Global Group Holdings (Rossignol), The RealReal, Inc., Thom Browne, Inc., Youth To The People Inc., Bonobos and ILIA, Inc., among others. (Note: Sandbridge X2 Corp. upsized its SPAC IPO at pricing on March 9, 2021: 22 million units, up from 20 million, at $10 each to raise $220 million.)",BLANK CHECKS,0,2021,Contact Information,"725 5th Ave, 23rd Floor New York, NY 10022",(212) 292-7870,,Sandbridge X2 Corp.,Financial Information,$270.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,SBII.U,NYSE,22.0,$10.00 - $10.00,$220.0 mil,Citigroup/Deutsche Bank Securities,-,3/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
