General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"While we may pursue an initial business combination target in any business, industry or geographical location, we intend to focus our search within the consumer internet, digital media and marketing technology sectors. We intend to capitalize on the ability of our management team to identify, acquire and operate a business or businesses that can benefit from our management team’s, board of directors’ and Advisors’ established relationships and operating experience. Our mission is to provide growth capital, strategic expertise and a preferred path to a public listing for disruptive high-growth technology and direct-to-consumer companies. Philip Krim, our Chairman, has served as Casper Sleep Inc.’s (NYSE:CSPR) Chief Executive Officer and as a member of its board of directors since October 2013. Since founding the Company in 2013, Mr. Krim has led Casper (NYSE:CSPR) through tremendous growth, growing revenue from $15 million in 2014 to over $440 million in 2019 (approximately 100% CAGR), and successfully took the company public in February 2020. Chris Hollod, our Chief Executive Officer and a director on our board of directors, is the Founder and Managing Partner of Hollod Holdings, a private venture capital and advisory firm based in Los Angeles that invests in innovative consumer brands at the convergence of culture and wellness. Over the course of his career, Mr. Hollod has completed more than 150 deals across five different investment entities, including investments in Airbnb, Uber, Spotify, Houzz, Duolingo, Airtable, Warby Parker, Oscar, Flexport, Sweetgreen, Memphis Meats and Thrive Market. From 2010 to 2018, Mr. Hollod was the Managing Partner of A-Grade Investments alongside Ashton Kutcher, Ron Burkle and Guy Oseary.",Blank Check,0,2020,Contact Information,"1545 Courtney Ave Los Angeles, California 90046",(646) 432-0610,,Tailwind Acquisition,Financial Information,$375mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TWND.U,NYSE,30.0,$10.00 - $10.00,$300.0 mil,Jefferies,-,9/4/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search within international consumer internet and other high-growth technology companies in international markets, with a focus on the European market. (Incorporated in the Cayman Islands.) Pierre Denis, our CEO, is the former CEO of Jimmy Choo Limited. Constantin Eis, our CFO, is a co-founder of Casper Sleep (NYSE: CSPR). Nathalie Gaveau, our president, is a senior advisor of BCG Digital Ventures; she is non-executive director of Coca-Cola European Partners. (Note: Tailwind International Acquisition upsized its SPAC IPO at pricing on Feb. 18, 2021, by pricing 30 million units, up from 25 million, at $10 each to raise $300 million. This is the second blank-check company with Philip Krim, the CEO of Casper Sleep, among the co-founders.)",BLANK CHECKS,0,2020,Contact Information,"150 Greenwich Street, 29th Floor New York, New York 10006",(212) 266-0085,,Tailwind International Acquisition Corp.,Financial Information,$362.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TWNI.U,NYSE,30.0,$10.00 - $10.00,$300.0 mil,Jefferies,-,2/19/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search within the high-growth technology and direct-to-consumer sectors. (New blank check company incorporated in the Cayman Islands.) Philip Krim, our chairman, is the CEO of Casper Sleep (NYSE: CSPR). (Note: Tailwind Two Acquisition priced its SPAC IPO on March 4, 2021, in sync with the terms in its prospectus: 30 million units at $10 each to raise $300 million.)",BLANK CHECKS,0,2020,Contact Information,"150 Greenwich Street, 29th Floor New York, New York 10006",(212) 266-0085,,Tailwind Two Acquisition Corp.,Financial Information,$375.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TWNT.U,NYSE,30.0,$10.00 - $10.00,$300.0 mil,Jefferies,-,3/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a late-clinical stage, cell therapy company developing an innovative method of allogeneic hematopoietic stem cell transplantation (allo-HSCT) that we believe has the potential to transform the standard of care in solid organ transplantation, certain severe autoimmune diseases and certain severe non-malignant blood, immune and metabolic disorders. In the organ transplant setting, which is our initial focus, we believe our proprietary therapeutic approach, which we call Facilitated Allo-HSCT Therapy, could prevent organ rejection without the morbidity and mortality associated with the use of lifelong anti-rejection medicines, also known as chronic immunosuppression. Beyond the organ transplant setting, our Facilitated Allo-HSCT Therapy also has the potential to treat a range of severe autoimmune diseases and severe non-malignant blood, immune and metabolic disorders, in each case with potential for similar outcomes to what has previously been observed with HSCT, while mitigating the toxicities, morbidities and extended hospital stay associated with the conditioning regimen typically required by HSCT. We believe that our target indications, individually and collectively, represent a significant unmet need and commercial opportunity. Our lead product candidate, FCR001, which is central to our Facilitated Allo-HSCT Therapy, is a novel allogeneic cell therapy comprised of stem and immune cells that are procured from a healthy donor, who is also the organ donor in the case of organ transplantation. FCR001 is rapidly processed in our GMP facility using our proprietary manufacturing methods. Then, at the time of the transplant, FCR001 is administered to the recipient following nonmyeloablative conditioning, which is designed to be less toxic than myeloablative conditioning. We are currently enrolling patients in FREEDOM-1, a randomized, controlled, open-label Phase 3 registration trial in the United States of FCR001 in 120 adult living donor kidney transplant (LDKT) recipients. The goal of this trial is to evaluate the potential of FCR001, when administered the day after the kidney transplant, to induce durable, drug-free immune tolerance in the recipient of the transplanted kidney. Inducing durable immune tolerance to a transplanted organ without the morbidities associated with lifelong immunosuppression is a goal that has been broadly referred to in the transplant field as the “Holy Grail” of solid organ transplant. The primary endpoint of FREEDOM-1 is to evaluate the proportion of FCR001 treated recipients who are free from immunosuppression without biopsy-proven acute rejection (BPAR) at 24 months post-transplant. The secondary endpoint is to evaluate the change in renal function as measured by estimated glomerular filtration rate (eGFR), which estimates how much blood passes through the filters in the kidney that remove waste from the blood, from post-transplant baseline (month one) to month 24 in FCR001 recipients. (Note: Talaris Therapeutics priced its IPO on May 6, 2021, in line with the terms in its prospectus: 8.83 million shares (8,825,000 shares) at $17 – the mid-point of its $16-to-$18 range – to raise $150.11 million.)",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),82,2018,Contact Information,"570 S. Preston St Louisville, KY 40202",(502) 398-9250,http://www.talaristx.com/,Talaris Therapeutics,Financial Information,$681.53mil,$0 mil (last 12 months),$-22.7 mil (last 12 months),IPO Profile,TALS,NASDAQ,8.8,$17.00 - $17.00,$150.1 mil,Morgan Stanley/ SVB Leerink/ Evercore ISI/ Guggenheim Securities,-,5/7/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Talis aims to transform diagnostic testing by developing and commercializing innovative products that are designed to enable accurate, reliable, low cost and rapid molecular testing for infectious diseases and other conditions at the point-of-care. While timely diagnosis of infectious diseases is critically important to enable effective treatment, testing is primarily performed in centralized laboratories, which require samples to be shipped for processing, delaying the return of results by days. Point-of-care testing solves this problem by delivering the timely information necessary for clinical care. We are developing the Talis One platform, a sample-to-answer, cloud-enabled molecular diagnostic platform that, once authorized, could be rapidly deployed to distributed diagnostic settings in the United States and around the world to diagnose infectious disease at the point-of-care. The Talis One platform comprises a compact instrument, single-use test cartridges and software, including a central cloud database, which work together and are designed to provide central laboratory levels of accuracy and be operated by an untrained user. We are developing Talis One tests for respiratory infections, infections related to women’s health and sexually transmitted infections. In January 2021, we submitted a request for an Emergency Use Authorization (EUA) to the U.S. Food and Drug Administration (FDA) for our Talis One platform with COVID-19 molecular diagnostic assay for the automated detection of nucleic acid from the SARS-CoV-2 virus in nasal swab samples from individuals suspected of COVID-19 by their healthcare provider. Our regulatory strategy is to initially submit for the equivalent of a CLIA-moderate authorization to be followed shortly thereafter with a subsequent filing for the equivalent of a CLIA-waived authorization for use in non-laboratory settings. We are also developing influenza A and influenza B tests to be included as part of a respiratory panel with our COVID-19 test (COVID-Flu Panel). In addition, we plan to initiate a clinical trial to support clearance of a pre-market notification under Section 510(k) of the Federal Food, Drug, and Cosmetic Act (FDCA) of our Talis One instrument with a test for chlamydia and gonorrhea in the second half of 2021 and submit a 510(k) pre-market notification in the first half of 2022. To support our anticipated commercial launch of our COVID-19 test, we have invested in automated cartridge manufacturing lines capable of producing one million cartridges per month, which are scheduled to begin to come on-line in the first quarter of 2021 and we expect will scale to full capacity through 2021. We estimate that the potential annualized market opportunity for COVID-19 point-of-care diagnostic tests in the United States exceeds $7.0 billion. We estimate that the potential annualized market opportunity in the United States for our COVID-Flu Panel and for women’s health diagnostics and sexually transmitted infection diagnostics in our development pipeline was approximately $5.5 billion in 2020. (Note: Talis Biomedical upsized its IPO at pricing to 13.8 million shares, up from 11.5 million, at $16, the top of its range, to raise $220.8 million. The company had just upsized its IPO by 15 percent by increasing the number of shares to 11.5 million, up from 10 million initially, and keeping the price range at $14 to $16 each, according to terms disclosed in its S-1/A filing dated Feb. 11, 2021.)",Diagnostic & Laboratory Instruments,136,2013,Contact Information,"230 Constitution Drive Menlo Park, California 94025",(650) 433-3000,http://talis.bio,Talis Biomedical Corporation,Financial Information,$765.6mil,$0 mil (last 12 months),$-54.6 mil (last 12 months),IPO Profile,TLIS,NASDAQ,13.8,$16.00 - $16.00,$220.8 mil,J.P. Morgan/BofA Securities/Piper Sandler,BTIG,2/12/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Talon 1 Acquisition Corp., the blank check company, is incorporated in the Cayman Islands. This SPAC will search for targets in all subsectors within the global aerospace, aviation and aviation services end markets Edward J. Wegel serves as our CEO and the executive chairman of our board of directors. Mr. Wegel has served as co-founder and president of AVi8, an aircraft leasing and aviation design company, since assuming the role in December 2016. Mr. Wegel also served as a consultant for Credit Suisse until October 2020, where he advised on the development of a new aircraft leasing platform, having assumed that role in June 2018. Prior to AVi8 and Credit Suisse, Mr. Wegel served as founder, president and the CEO of Eastern Air Lines Group, Inc., a privately held airline company, from December 2008 until October 2016. (Note: Talon 1 Acquisition Corp. priced its SPAC IPO on Nov. 3, 2021, in line with the terms in its prospectus: 20 million units at $10 each to raise $200 million.)",BLANK CHECKS,0,2021,Contact Information,"2333 Ponce de Leon Blvd., Suite 630, Coral Gables, FL 33134",(786) 662-3114,,Talon 1 Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TOACU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Credit Suisse/ Exos Securities,-,11/4/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Our sponsor is an affiliate of Target Global (“TG”), a top-tier pan-European venture capital firm headquartered in Berlin, Germany, with over $3 billion in assets under management as of end of June 2021 (this is the sum of undrawn commitments and net asset value of the vehicles). TG manages funds focused on fast-growing tech-enabled companies within the consumer internet, mobility and financial technology (“FinTech”) sectors. We believe Target Global Acquisition I Corp.’s (“TGAIC”) founders’ extensive experience and strong track record in various executive, operational and investing functions across European (including the U.K.) and Israeli technology ecosystems, combined with their widespread networks strongly positions us as an attractive partner for prospective candidates for our initial business combination. (Incorporated in the Cayman Islands) (Note: Target Global Acquisition I Corp. priced its SPAC IPO on Dec. 8, 2021, in sync with the terms in its prospectus: 20 million units at $10 each to raise $200 million.)",BLANK CHECKS,0,2021,Contact Information,"PO Box 1093, Boundary Hall Cricket Square, Grand Cayman KY1-1102, Cayman Islands",1 345 814 5772,,Target Global Acquisition I Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TGAAU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,UBS Investment Bank/ BofA Securities,-,12/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a late clinical-stage biopharmaceutical company focused on the development and commercialization of therapeutic candidates to address large market opportunities initially in ophthalmic conditions where there are limited treatment alternatives. Our lead product candidate, TP-03, is a novel therapeutic in Phase 2b/3 that is being developed for the treatment of blepharitis caused by the infestation of Demodex mites, which is referred to as Demodex blepharitis. Blepharitis (“Blephar” is a reference to eyelid and “itis” is a reference to inflammation) is a condition characterized by inflammation of the eyelid margin, redness and ocular irritation, including a specific type of eyelash dandruff called collarettes in Demodex blepharitis. The healthy interaction of the eyelid and the surface of the eyeball is crucial to ocular health. Poorly controlled and progressive blepharitis can lead to worsening of corneal damage over time and, in extreme cases, blindness. According to published studies, there are an estimated 20 million patients in the United States who suffer from blepharitis, with approximately 45%, or approximately nine million, of cases caused by Demodex infestation. To date, we have completed four Phase 2 trials for TP-03 in Demodex blepharitis, all of which met their primary, secondary and/or exploratory endpoints, as applicable, and during which TP-03 was well tolerated. We have commenced our Phase 2b/3 trial, Saturn-1, in September 2020, and intend to commence our Phase 3 trial, Saturn-2, in 2021, both with primary and secondary endpoints consistent with those of our Europa and Io Phase 2 trials. If successful, we expect these trials to support the submission of a new drug application, or NDA, to the Food and Drug Administration, or the FDA, for TP-03 for the treatment of Demodex blepharitis. Furthermore, we intend to pursue marketing authorizations in jurisdictions outside the United States, including Europe and Japan. We believe that, if approved, TP-03 has the potential to be the first FDA-approved therapeutic and become the standard of care for the treatment of Demodex blepharitis.",Pharmaceuticals,12,2016,Contact Information,"15440 Laguna Canyon Road, Suite 160 Irvine, California 92618",(949) 409-9820,http://www.tarsusrx.com,"TARSUS PHARMACEUTICALS, INC.",Financial Information,$300.8mil,$0 mil (last 12 months),$-7.3 mil (last 12 months),IPO Profile,TARS,NASDAQ,5.5,$16.00 - $16.00,$88.0 mil,BofA Securities/ Jefferies/ Raymond James,LifeSci Capital/ Ladenburg Thalmann,10/16/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Blackstone-backed TaskUs, Inc. describes itself as “the outsourcing partner of choice for many of the most disruptive brands in the world.” Its clients include Zoom, Netflix, Uber, Coinbase and Oscar. We provide technology-enabled outsourcing solutions purpose-built for the Digital Economy. We serve our clients to support their end customers’ urgent needs, navigate an increasingly complex compliance landscape, and handle sensitive tasks, including online content moderation. As of Dec. 31, 2020, we had over 100 clients spanning numerous industry segments within the Digital Economy, including social media, e-commerce, gaming, streaming media, food delivery and ride sharing, HiTech, FinTech and HealthTech. Between 2019 and 2023, the verticals we prioritize are projected to grow at a compound annual growth rate (“CAGR”) of 18%. Our global omni-channel delivery model is focused on providing our clients three key services – Digital Customer Experience, Content Security and AI Operations. 96% of our revenue in 2020 was delivered from non-voice digital channels or omni-channel services. Non-voice channels allow us to utilize resources efficiently, thereby driving higher profitability. Our Digital Customer Experience offerings serve the needs of the modern consumer, whose habits have drastically changed in the past decade and revolve around the smartphone. Whether it’s an app being used to deliver food instantly, securely buy and sell stocks or stream their favorite shows, it is easy to forget that these pocket luxuries were nascent or nonexistent 10 years ago. Each of these are examples of emerging industries that have become strategic growth drivers for TaskUs. In particular, Zoom, Netflix, Uber, Coinbase and Oscar are representative clients in HiTech, streaming media, food delivery and ride sharing, FinTech and HealthTech verticals, respectively, each of which turned to us when it faced logistical challenges during its rapid growth cycle and none of which represented more than 6% of our revenue in 2019 and 2020. With the explosive growth of user-generated content and social media, issues of censorship, community moderation and foreign interference in democratic election processes have become some of the most important socio-political issues of our time. Our Content Security offerings include content monitoring and moderation services (“Content Security”), the need for which is increasingly critical to protect the sanctity of the open internet. Our artificial intelligence (“AI”) Operations offerings include providing high quality, human-annotated data sets and algorithm training services to our clients as they navigate significant increases in the prevalence of disruptive AI technology. Our delivery model is tailored to meet the needs of high-growth companies. Our cloud-based technology infrastructure is designed to enable clients to set up operations quickly and seamlessly and allows clients to outsource many of their core processes at earlier stages of their company lifecycle. We prioritize data science and process automation to achieve technology-driven efficiency gains. We continually analyze massive amounts of data obtained from customer interactions we manage for our clients. We leverage these insights and end customer-driven feedback to drive workflow efficiencies, deliver insights on predictive behaviors that lead to lower customer churn and help our clients innovate their core product offerings and develop new product features. (Note: TaskUs priced its IPO on June 10, 2021, in line with the terms in its prospectus: 13.2 million shares at $23 – the mid-point of its $22-to-$24 price range – to raise $303.6 million.)",Services - Computer Processing & Data Prep,27500,2008,Contact Information,"1650 Independence Drive, Suite 100 New Braunfels, Texas 78132",888) 400-8275,http://www.taskus.com/,"TaskUs, Inc.",Financial Information,$2237.67mil,$478.05 mil (last 12 months),$34.53 mil (last 12 months),IPO Profile,TASK,NASDAQ,13.2,$23.00 - $23.00,$303.6 mil,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Morgan Stanley/ Baird/ RBC Capital Markets/ Wells Fargo Securities/ William Blair,"Blackstone/ TD Securities/ BTIG/ Fifth Third Securities/ AmeriVet Securities/ Blaylock Van, LLC/ C.L. King & Associates/ Penserra Securities LLC",6/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search for a target business operating in the restaurant, hospitality and related technology and service sectors (our “Target Sectors”) globally. Our management team, led by co-CEOs Dave Pace and Andy Pforzheimer, with Greg Golkin as president. and Chris Bradley as CFO, Officer, bring a unique combination of executive, operating, investing, financial and transactional experience across the Target Sectors. Messrs. Pace and Pforzheimer are highly experienced restaurant executives and operators, with strong track records driving growth and shareholder value with several of the nation’s leading brands. Messrs. Golkin and Bradley have extensive mergers and acquisitions, public and private capital markets, transaction structuring and strategy consulting experience. Mr. Bradley also has specific experience with special purpose acquisition companies as CFO of Haymaker Acquisition Corp. (“Haymaker I”) and Haymaker Acquisition Corp. II (“Haymaker II”). Dave Pace, our co-chief executive officer and a director, is a tenured restaurant executive and investor, with over 30 years of public company management experience spanning upscale, casual, fast casual and quick-service restaurant dining (Red Robin Gourmet Burgers, Jamba, Inc., Bloomin’ Brands, Inc., Carraba’s Italian Grill, Starbucks, Yum! Brands and PepsiCo). Andy Pforzheimer, our co-chief executive officer and a director, is a decorated restaurant executive and entrepreneur with over 40 years of experience with growth brands (Barcelona and Bartaco, for example).",BLANK CHECKS,0,2020,Contact Information,"650 Fifth Avenue, 10th Floor New York, NY 10019",(212) 616-9600,,Tastemaker Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,TMKRU,NASDAQ,24.0,$10.00 - $10.00,$240.0 mil,Stifel,-,1/8/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
