General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"“We co-invented a COVID-19 vaccine candidate with the University of Oxford, which we assigned to Oxford University Innovation, or OUI, to facilitate the license of those rights by OUI to AstraZeneca UK Limited, or AstraZeneca. This vaccine is now known as COVID-19 Vaccine AstraZeneca, which we refer to as AZD1222. AstraZeneca has exclusive worldwide rights to develop and commercialize AZD1222,” the prospectus says. We are a clinical-stage biopharmaceutical company engaged in the discovery and development of novel immunotherapeutics and vaccines for the treatment and prevention of infectious diseases and cancer. We have a broad pipeline of clinical and preclinical therapeutic and prophylactic programs. Our therapeutic programs include VTP-300 to treat chronic hepatitis B infection (CHB); VTP-200 to treat human papilloma virus infection (HPV); VTP-850 to treat prostate cancer, and VTP-600 to treat non-small cell lung cancer (NSCLC). Our prophylactic programs include VTP-400 to prevent herpes zoster, or shingles, and VTP-500 to prevent Middle East respiratory syndrome, or MERS. (Note: Vaccitech priced its IPO on April 29, 2021, at $17 – the mid-point of its $16-to-$18 range – on 6.5 million shares, the same number of shares as in the prospectus – to raise $110.5 million.)",PHARMACEUTICAL PREPARATIONS,48,2016,Contact Information,Vaccitech plc The Schrödinger Building Heatley Road The Oxford Science Park Oxford OX4 4GE United Kingdom,+44 (0) 1865 818 808,http://www.vaccitech.co.uk/,Vaccitech plc,Financial Information,$579.02mil,$4.82 mil (last 12 months),$-17.93 mil (last 12 months),IPO Profile,VACC,NASDAQ,6.5,$17.00 - $17.00,$110.5 mil,Morgan Stanley/ Jefferies/ Barclays/ William Blair,"H.C. Wainwright & Co., LLC",4/30/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our efforts on companies with a strong connection to India and catering to large addressable market opportunities in India or other developed geographies such as Americas and Europe. The focus for such an acquisition will be based on broad categories within the technology sector, with an enterprise value ranging from US$750 million to over US$1.0 billion. (Incorporated in the British Virgin Islands) Our specific focus is on businesses within these tech categories: *Well established information technology (IT) services and business process outsourcing (BPO) companies leveraging the India delivery model and with a track record of consistent performance in the Americas and other global markets; *High-growth new technology companies with a vertical focus (FinTech, HealthTech, Education Tech, etc.) and a horizontal focus (AI Analytics, ML, Blockchain, IoT, Robotics, etc.), and *Software as a Service (SaaS) companies catering to the global markets. (Note: Vahanna Tech Edge Acquisition I Corp. upsized its SPAC IPO at pricing on Nov. 22, 2021: 17.4 million units, up from from 15 million units in the prospectus, at $10 each to raise $174 million.)",BLANK CHECKS,0,2021,Contact Information,"1230 Avenue of the Americas, 16th Floor New York, NY 10020",(347) 745-6448,,Vahanna Tech Edge Acquisition I Corp.,Financial Information,$211.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,VHNAU,NASDAQ,17.4,$10.00 - $10.00,$174.0 mil,Mizuho Securities,-,11/23/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a biopharmaceutical company primarily focused on the development and commercialization of proprietary biopharmaceutical products. We are developing prescription drugs for central nervous system (CNS) disorders and our current focus is the development of drugs with lower potential for abuse than currently available drugs. Our clinical-stage product currently under development is Abuse-Deterrent Amphetamine Immediate-Release, or ADAIR, a proprietary, abuse-deterrent oral formulation of immediate-release (short-acting) dextroamphetamine for the treatment of attention-deficit/hyperactivity disorder, or ADHD, and narcolepsy. (Note: Vallon Pharmaceuticals priced its IPO on Feb. 9, 2021, at 2.25 million shares – selling 580,000 more shares than the 1.67 million in the prospectus – at $8 each, the low end of its $8-to-$10 price range, to raise $18 million.)",PHARMACEUTICAL PREPARATIONS,1,2018,Contact Information,"Two Logan Square, 100 N. 18th Street, Suite 300, Philadelphia, PA 19103, US",(267) 207-3606,https://www.vallon-pharma.com,Vallon Pharmaceuticals,Financial Information,$55.0mil,$0.1 mil (last 12 months),$-2.3 mil (last 12 months),IPO Profile,VLON,NASDAQ,2.3,$8.00 - $8.00,$18.0 mil,ThinkEquity (a division of Fordham Financial Management),-,2/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: Valneva SE priced its NASDAQ uplift offering at $26.41 per ADS – within its projected range of $24.04 to $28.85 – on 3.54 million ADS to raise $93.49 million. IPOScoop has “NO CALL” on this offering because technically it’s a secondary offering – an uplift to the NASDAQ consisting of 3.54 million American Depositary Shares (ADS), equivalent to 7.08 million ordinary shares. The ordinary shares trade on the Euronext Paris under the symbol “VLA.” Each ADS represents the right to receive two ordinary shares.) We are a specialty vaccine company focused on the development and commercialization of prophylactic vaccines for infectious diseases with significant unmet medical need. We have leveraged our expertise and capabilities both to successfully commercialize two vaccines and to rapidly advance a broad range of vaccine candidates into and through the clinic, including candidates against Lyme disease, the chikungunya virus and COVID-19. Our lead program, VLA15, is a Phase 2 vaccine candidate targeting Borrelia, the bacterium that causes Lyme disease, under development in collaboration with Pfizer, and it is the only active vaccine candidate against Lyme disease currently undergoing clinical trials. Our clinical portfolio includes VLA1553, targeting the chikungunya virus, which has spread to more than 100 countries and infected more than 3 million people in the Americas since first arriving there in 2013. To our knowledge, VLA1553 is the only chikungunya vaccine candidate in Phase 3 clinical trials. We are advancing VLA2001, a highly purified, inactivated and adjuvanted vaccine candidate against the SARS-CoV-2 virus that causes COVID-19 in order to address the urgent, global need for billions of doses of vaccines. VLA2001 is currently the only inactivated vaccine candidate for COVID-19 in clinical trials in Europe. We believe that, if approved, our vaccine, as an inactivated virus vaccine, could offer benefits in terms of safety, cost, ease of manufacture and distribution compared to currently approved vaccines and could be adapted to offer protection against mutations of the virus. We have already successfully licensed and commercialized a portfolio of traveler vaccines, which is composed of IXIARO (also marketed as JESPECT in Australia and New Zealand), indicated for the prevention of Japanese encephalitis in travelers and military personnel, and DUKORAL, indicated for the prevention of cholera and, in some countries, prevention of diarrhea caused by enterotoxigenic Escherichia coli, or ETEC, the leading causes of travelers’ diarrhea. Revenue and net loss figures are in U.S. dollars, converted from euros, for the year ended Dec. 31, 2020.",PHARMACEUTICAL PREPARATIONS,640,2013,Contact Information,"6 rue Alain Bombard 44800 Saint-Herblain, France",+33 2 28 07 37 10,http://www.valneva.com/,Valneva SE,Financial Information,$1382.21mil,$133.11 mil (last 12 months),$77.7 mil (last 12 months),IPO Profile,VALN,NASDAQ,3.5,$26.41 - $26.41,$93.5 mil,"Goldman Sachs/ Jefferies/ Guggenheim Securities/ Bryan, Garnier & Co.",-,5/6/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search for an initial business combination on technology-enabled Latin American companies seeking to become category-defining enterprises and those targeting or expected to pursue cross-border expansion. A number of sectors, ranging from financial services, health & wellness, education, e-commerce and logistics are undergoing rapid, technology-led disruption and consolidation. Many of the trends driving disruption in Latin America have been witnessed in the U.S. and are more powerful and more accelerated as a result of a high concentration of legacy technology incumbents, deep-rooted inefficiencies, supportive demographic dynamics, proliferation of mobile technology, and direct government actions aimed at promoting competition and innovation. (Newly organized blank check company or SPAC incorporated in the Cayman Islands) Our sponsor is an arm of Valor Capital Group, a leading investment firm focused on Brazil and U.S.-Brazil cross-border opportunities with a presence in New York, the Silicon Valley and São Paulo. Valor Capital was founded by Mr. Clifford M. Sobel, former U.S. Ambassador to Brazil, in partnership with Mr. Scott Sobel, previously part of the founding team of Net2Phone, the pioneering VoIP Company.",BLANK CHECKS,0,2021,Contact Information,"PO Box 309, Ugland House Grand Cayman KY1-1104",(973) 290 2331,,Valor Latitude Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,VLATU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,BofA Securities/ Barclays,-,5/4/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to concentrate our efforts in identifying a potential business combination partner based in Asia (excluding China, Hong Kong and Macau) and developing breakthrough technology in life sciences and/or advancing a platform for sustainable technology. We will not pursue or consummate an initial business combination with any entity with its principal business operations in China, Hong Kong or Macau. We believe that there are many potential attractive targets within these sectors for our initial business combination. (Incorporated in the Cayman Islands) (Note: Valuence Merger Corp. I priced its SPAC IPO on Feb. 28, 2022, in line with the terms in its prospectus: 20 million units at $10 each to raise $200 million.)",BLANK CHECK,0,2021,Contact Information,"4 Orinda Way, Suite 100D Orinda, CA 94563",(415) 340-0222,,Valuence Merger Corp. I,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,VMCAU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,SVB Leerink/ Baird,-,3/1/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a leading, high-growth education company in Brazil powered by technology, providing end-to-end educational and digital solutions that cater to all needs of private schools operating in the K-12 educational segment, ultimately benefiting all of our stakeholders, including students, parents, educators, administrators and private school owners. We have built a “Platform as a Service,” or PaaS, with two main modules. Our Content & EdTech Platform combines a multi-brand and tech-enabled array of high-quality core and complementary education solutions with digital and printed content through long-term contracts with partner schools. We characterize revenue associated with these arrangements as subscription revenue given the renewable and predictable nature of the revenue associated with these contracts. Our emerging Digital Platform will unify our partner schools’ entire administrative ecosystem, enabling them to aggregate multiple learning strategies, helping them to focus on education, and promoting client and revenue growth to allow them to become more profitable institutions. As of March 31, 2020, our network of business-to-business, or B2B, customers consisted of 4,167 partner schools.",Education,1956,1991,Contact Information,"Av. Paulista, 901, 5th Floor Bela Vista São Paulo – SP, 01310-100 Brazil",+551131337311,http://www.vastaedu.com.br,Vasta Platform Limited,Financial Information,$1577.2mil,$258.5 mil (last 12 months),$-1.0 mil (last 12 months),IPO Profile,VSTA,NASDAQ,18.6,$19.00 - $19.00,$353.4 mil,Goldman Sachs/BofA Securities/ Morgan Stanley/ Itau BBA,UBS Investment Bank/ Bradesco BBI,7/31/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a next-generation vaccine company seeking to improve global health by developing superior and novel vaccines designed to prevent or treat some of the most common and deadly infectious diseases worldwide. Our cell-free protein synthesis platform enables us to design and produce protein carriers and antigens, the critical building blocks of vaccines, in ways that we believe conventional vaccine technologies currently cannot. Our pipeline includes pneumococcal conjugate vaccine, or PCV, candidates that we believe are the most broad-spectrum PCV candidates currently in development, targeting the $7 billion global pneumococcal vaccine market. Our lead vaccine candidate, VAX-24, is a 24-valent investigational PCV that we expect to advance into clinical trials in the second half of 2021.",BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),43,2013,Contact Information,"353 Hatch Drive, Foster City, CA 94404, US",(650) 837-0111,https://www.vaxcyte.com,Vaxcyte,Financial Information,$794.9mil,$0 mil (last 12 months),$-63.7 mil (last 12 months),IPO Profile,PCVX,NASDAQ,15.6,$16.00 - $16.00,$250.0 mil,BofA Securities/ Jefferies/ Evercore ISI,Cantor/ Needham & Company,6/12/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a biotechnology company committed to democratizing healthcare across the globe. Our vision is to disrupt the existing treatment paradigm for chronic diseases, increasingly dominated by drugs, particularly monoclonal antibodies (“mAbs”), which suffer from prohibitive costs and cumbersome administration. We believe our synthetic peptide vaccine platform (“Vaxxine Platform”) has the potential to enable a new class of therapeutics that will improve the quality and convenience of care, reduce costs and increase access to treatments for a wide range of indications. Our Vaxxine Platform is designed to harness the immune system to convert the body into its own “drug factory,” stimulating the production of antibodies with a therapeutic or protective effect. While traditional vaccines have been able to leverage this approach against infectious diseases, they have historically been unable to resolve key challenges in the fight against chronic diseases. Our current pipeline consists of five chronic disease product candidates from early to late-stage development across multiple therapeutic areas, including Alzheimer’s Disease (“AD”), Parkinson’s Disease (“PD”), migraine and hypercholesterolemia. Additionally, we believe our Vaxxine Platform may be used to disrupt the treatment paradigm for a wide range of other chronic diseases, including any that are or could potentially be successfully treated by mAbs. We also will opportunistically pursue infectious disease treatments. When the COVID-19 pandemic struck the world in March 2020, we quickly reallocated our resources to develop vaccine candidates for the condition. (Note: Vaxxinity Inc. downsized its IPO at pricing on Nov. 10, 2021, by pricing the deal at $13 – $1 below the bottom of the $14-to-$16 price range – and by selling fewer shares – 6.0 million Class A ordinary shares – down from 6.7 million shares in the prospectus – to raise $78 million.)",PHARMACEUTICAL PREPARATIONS,75,2014,Contact Information,"1717 Main St, Ste 3388 Dallas, TX 75201",(254) 244-5739,http://www.vaxxinity.com/,"Vaxxinity, Inc.",Financial Information,$1673.7mil,$0.13 mil (last 12 months),$-87.8 mil (last 12 months),IPO Profile,VAXX,NASDAQ,6.0,$13.00 - $13.00,$78.0 mil,BofA Securities/ Jefferies/ Evercore ISI,-,11/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a clinical stage biopharmaceutical company focused on the discovery, development and commercialization of innovative treatments for severe rare conditions for which there is a significant unmet medical need. Our product pipeline is focused on rare gastrointestinal, or GI, disorders. Our product candidate, apraglutide, is a next generation, long-acting synthetic peptide analog of glucagon-like peptide-2, or GLP-2, which we are developing as a differentiated therapeutic for a range of rare GI diseases, with an initial focus on short bowel syndrome, or SBS. Based on our preclinical and clinical data to date, we believe that apraglutide has the potential to advance the treatment of SBS intestinal failure. Apraglutide is being evaluated in a global Phase 3 clinical trial to treat patients with SBS-IF. SBS is a malabsorption disorder caused by the loss of functional small intestine; symptoms include diarrhea, dehydration, malnutrition and weight loss. SBS occurs in adults as a consequence of irreparable GI damage caused by physical trauma, Crohn’s disease, ulcerative colitis, ischemia or cancer resulting in surgery to remove large portions of the small intestine or colon. (Note: VectivBio priced its IPO on April 8, 2021, at $17 – the mid-point of its $16-to-$18 range – on 7.5 million shares to raise $127.5 million.)",PHARMACEUTICAL PREPARATIONS,25,2019,Contact Information,Aeschenvorstadt 36 4051 Basel Switzerland,+41 61 551 30 30,,VectivBio Holding AG,Financial Information,$578.17mil,$0 mil (last 12 months),$-59.94 mil (last 12 months),IPO Profile,VECT,NASDAQ,7.5,$17.00 - $17.00,$127.5 mil,BofA Securities/ SVB Leerink/ Credit Suisse,LifeSci Capital,4/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
