General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"We currently intend to focus our search on identifying businesses in the beauty, personal care, and wellness sectors that can benefit from the collective expertise and capabilities of our management team and directors in order to create long-term shareholder value. (Incorporated in the Cayman Islands) Michel Brousset, our CEO, has more than 25 years of experience leading, operating and building global brands at L’Oréal (PAR: OR) and Procter & Gamble (NYSE: PG) where he worked to launch and build iconic brands across multiple geographies. Most recently, Mr Brousset founded Waldencast Ventures LP, a holding company and investment vehicle, in 2019 ; he has been the CEO since its inception. Waldencast Ventures partners with and creates next-generation beauty and wellness brands, collaborating with a variety of founders from diverse backgrounds (across three continents, 56% female) and recruiting and attracting skillful beauty and wellness talent.  (Note: Waldencast Acquisition upsized its SPAC IPO at pricing on March 15, 2021: 30 million units, up from 25 million, at $10 each to raise $300 million.)",BLANK CHECKS,0,2020,Contact Information,"10 Bank Street, Suite 560, White Plains, NY 10606",(917) 546-6828,,Waldencast Acquisition Corp.,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,WALDU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Credit Suisse/J.P. Morgan,-,3/16/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"WalkMe is the defining solution enabling organizations to better realize the value of their software investments. Using our cloud-based Digital Adoption Platform, users—employees and customers of organizations—can navigate websites, SaaS applications, and mobile apps through a digital, GPS-like experience to accomplish any task from simple, online transactions, to complex cross-application software processes, to fully autonomous experiences that require no manual clicks or entries. Our Digital Adoption Platform overlays upon any application with a simple no-code implementation. Once overlaid, our platform provides immediate insights that enable a data-first approach to understand the gaps between user interactions and behavior with technology and an organization’s business goals. With actionable insights, we then enable organizations to create and deliver elegant experiences that enable users to access the full functionality and value of the software, ensuring digital adoption, and ultimately fulfilling the promise of digital transformation. With a digital adoption strategy powered by WalkMe, employees and customers of organizations can benefit from intuitive and unified technology experiences. Chief information officers (“CIO”) and business leaders gain visibility and insights across the organization’s enterprise technology stack. This allows organizations to become more results driven, agile and innovative, to better compete in today’s ever-changing business environment and to ultimately achieve their objectives. (Note: WalkMe, Ltd. priced its IPO on June 15, 2021, at $31 – above the mid-point of its $29-to-$32 range – on 9.25 million shares to raise $286.75 million.)",SERVICES - PREPACKAGED SOFTWARE,940,2011,Contact Information,"1 Walter Moses St., Tel Aviv, 6789903, Israel.",+972-3-763-0333,http://www.walkme.com/,WalkMe Ltd.,Financial Information,$2520.83mil,$148.3 mil (last 12 months),$-45.0 mil (last 12 months),IPO Profile,WKME,NASDAQ,9.3,$31.00 - $31.00,$286.8 mil,Morgan Stanley/ Goldman Sachs/ Citigroup,Wells Fargo Securities/ Barclays/ BMO Capital Markets/ JMP Securities/ KeyBanc Capital Markets/ Needham & Co.,6/16/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a global sports events, media and marketing platform with significant intellectual property rights, long-term relationships and broad execution capabilities through which we create value for stakeholders in all parts of the sports ecosystem, from rights owners, to brands and advertisers and to fans and athletes. We own, or otherwise have contractual rights to, an extensive portfolio of global, regional and national sports properties from which we seek to generate revenue across the value chain, including events operation, media production and media distribution, sponsorship and marketing, digital solutions and ancillary services. We have combined the strengths of our Infront, WEH and WSC businesses to form one of the world’s largest sports events, media and marketing platforms in terms of revenue in 2018 (unless otherwise indicated, statements as to markets, including our leading positions in such markets, in this section are derived from an industry report commissioned by us and prepared by Frost & Sullivan, a third-party research firm; see “Industry Overview” for further information).",AMUSEMENT & RECREATION SERVICES,1624,2018,Contact Information,"9/F, Tower B, Wanda Plaza, 93 Jianguo Road, Chaoyang District, 100022, Beijing, PRC",+86-10-8585-3450,http://www.wsg.cn,Wanda Sports Group,Financial Information,$1640mil,$1292.7 mil (last 12 months),$47.1 mil (last 12 months),IPO Profile,WSG,NASDAQ,23.8,$8.00 - $8.00,$190.4 mil,Morgan Stanley/ Deutsche Bank Securities/ Citigroup,Haitong International/ CICC/ CLSA,7/26/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"This new blank-check company has not yet identified a target sector. (Incorporated in the Cayman Islands.) Warburg Pincus, one of the world’s oldest private equity firms, is backing this new blank-check company. Since its inception in 1966, Warburg Pincus has raised 19 private equity funds totaling $95 billion. The firm has invested more than $86 billion in over 900 portfolio companies in more than 40 countries over the past 55 years. Warburg Pincus has demonstrated success across investment segments, including consumer, energy (excluding oil and gas), financial services, healthcare, industrial and business services, real estate and technology. (Note: Warburg Pincus Capital Corp. I-A priced its SPAC IPO on March 4, 2021, in line with the terms in its prospectus: 25 million units at $10 each to raise $250 million.)",BLANK CHECKS,0,2020,Contact Information,"450 Lexington Avenue New York, New York 10017",(212) 878-0600,,Warburg Pincus Capital Corporation I—A,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,WPCA.U,NYSE,25.0,$10.00 - $10.00,$250.0 mil,Citigroup/Credit Suisse/Evercore ISI,-,3/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is a new blank-check company sponsored by an affiliate of Warburg Pincus, one of the world’s oldest private equity firms. This blank check, or special purpose acquisition company, aka SPAC, is incorporated in the Cayman Islands. The company has not yet identified a target sector.) We intend to identify a target with strong fundamental growth that could benefit from Warburg Pincus’ longstanding experience, global presence, domain expertise, operational support and extensive networks and that presents potential for an attractive risk-adjusted return profile. Following a business combination, we intend to work with the target’s management team to help drive growth and long term, sustainable value creation at the company. (Note: Warburg Pincus Capital Corp. I-B priced its SPAC IPO on March 4, 2021, in line with the terms in its prospectus: 50 million units at $10 each to raise $500 million.)",BLANK CHECKS,0,2020,Contact Information,"450 Lexington Avenue New York, New York 10017",(212) 878-0600,,Warburg Pincus Capital Corporation I—B,Financial Information,$625.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,WPCB.U,NYSE,50.0,$10.00 - $10.00,$500.0 mil,Citigroup/Credit Suisse/Evercore ISI,-,3/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Note: This is NOT an IPO. This is a direct listing on the New York Stock Exchange. The company’s stock sold for $24.53 in private transactions this year, the prospectus says. **NOTE: The NYSE set a $40 reference price for Warby Parker’s stock on Tuesday, Sept. 28, 2021, after the U.S. stock market’s close. The reference price is offered as a guide. This price does not predict the opening price of the stock on Wednesday, when Warby Parker shares are expected to start trading on the NYSE. Goldman Sachs, Morgan Stanley and Allen & Co. will serve as the financial advisors on the direct listing. The Wall Street Journal reported on Aug. 24, 2021: “Warby Parker, which counts investment firm Tiger Global Management LLC and private equity firm Durable Capital Partners among its bigger backers, raised $245 million from private investors last fall, snagging a $3 billion valuation.” Neil Blumenthal and Dave Gilboa are our co-founders and co-CEOs. We’ve built a seamless shopping experience that meets customers where and how they want to shop, whether that’s on our website, on our mobile app, or in our more than 145 retail stores. We started Warby Parker 11 years ago to solve our own problems as frustrated consumers and to make a positive impact. Since our founding in 2010, we have pioneered ideas, designed products and developed technologies that help people see. We offer everything our customers need for happier eyes at a price that leaves them with money in their pocket, from designer-quality glasses (starting at $95, including prescription lenses) and contacts, to eye exams and vision tests—and they can meet us online, at our retail stores, or even at home. Wherever and whenever they need it, we’re there to make exceptional vision care simple and accessible. Delightful, too. Note: Net revenue and net loss figures are for the 12 months that ended on June 30, 2021, according to the prospectus. Note: Warby Parker updated its SEC filings on Sept. 21, 2021, by incorporating its press release dated Sept. 21, 2021, with its guidance for third-quarter and full-year financial performance.",Retailer - Eyeglasses and contact lenses,2759,2010,Contact Information,"233 Spring Street, 6th Floor East New York, New York 10013",(646) 847-7215,http://www.warbyparker.com/,Warby Parker Inc.,Financial Information,$2717.19mil,$487.46 mil (last 12 months),$-53.21 mil (last 12 months),IPO Profile,WRBY,NYSE,77.7,$40.00 - $40.00,$3109.6 mil,Goldman Sachs/ Morgan Stanley/ Allen & Co.,-,9/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are one of the world’s leading music entertainment companies. Our renowned family of iconic record labels, including Atlantic Records, Warner Records, Elektra Records and Parlophone Records, is home to many of the world’s most popular and influential recording artists. In addition, Warner Chappell Music, our global music publishing business, boasts an extraordinary catalog that includes timeless standards and contemporary hits, representing works by over 80,000 songwriters and composers, with a global collection of more than 1.4 million musical compositions.",AMUSEMENT & RECREATION SERVICES,5400,1958,Contact Information,"1633 Broadway, New York, NY 10019, US",(212) 275-2000,http://www.wmg.com,Warner Music Group,Financial Information,$12750mil,$4509 mil (last 12 months),$149 mil (last 12 months),IPO Profile,WMG,NASDAQ,77.0,$25.00 - $25.00,$1925.0 mil,Morgan Stanley/ Credit Suisse/ Goldman Sachs/ BofA Securities/ Citigroup/ J.P. Morgan,"Barclays/ Evercore ISI/ Guggenheim Securities/ Macquarie Capital/ Nomura/ RBC Capital Markets/ SunTrust Robinson Humphrey/ CIBC Capital Markets/ HSBC/ SOCIETE GENERALE/ LionTree/ The Raine Group/ AmeriVet Securities/ Bancroft Capital/ Blaylock Van/ C.L. King & Associates/ Loop Capital Markets/ Roberts & Ryan/ Ramirez & Co.,/ Siebert Williams Shank/ Telsey Advisory Group/ Tigress Financial Partners",6/3/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search for a target business in the environmental services sector with a focus on environmental, social and governance (ESG) practices. Our founder, H.H. “Tripp” Wommack III, chairman, president, CEO and CFO. Mr. Wommack has built leading, non-hazardous solid waste disposal and waste water treatment businesses, and has significant experience with the following services: environmental remediation; soil, energy and industrial remediation; waste water cleanup; acid and chemical clean-up; salt water disposal; emergency spills; and tank cleaning. These environmental services have application across a number of end-markets, including: consumer, energy, food processing, manufacturing, refining and chemicals, technology, and transportation. Based in Midland, Texas, Mr. Wommack is an entrepreneur and skilled acquirer and consolidator with a demonstrated ability to capture value during periods of sector distress. Over the course of four decades, he has established multiple platform businesses in the environmental services, exploration & production (E&P) and oilfield services (OFS) segments. He previously founded Petro Waste Environmental LP (ESG), Southwest Royalties Inc. (E&P) and Saber Resources LLC (E&P), and led their sales to Waste Management, Inc., Clayton Williams Energy and Celero Energy LP, respectively. Mr. Wommack also founded Basic Energy Services, Inc. (OFS), leading its initial public offering in 2005 and achieving a peak enterprise value of approximately $1.5 billion. (Note: Warrior Technologies Acquisition upsized its SPAC IPO at pricing on Feb. 25, 2021: 24 million units, up from 20 million, at $10 each to raise $240 million.)",BLANK CHECKS,0,2020,Contact Information,"400 W. Illinois, Suite 1120 Midland, Texas 79701",(432) 818-0498,,Warrior Technologies Acquisition Company,Financial Information,$290mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,WARR.U,NYSE,24.0,$10.00 - $10.00,$240.0 mil,Raymond James/EarlyBirdCapital,-,2/26/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Our Mission: We at Waterdrop aspire to bring insurance and healthcare service to billions through technology. (Note: Incorporated in the Cayman Islands) Overview: We are a leading technology platform dedicated to insurance and healthcare service with a positive social impact. We are the largest independent third-party insurance platform in China in terms of life and health insurance first year premiums, or FYP, distributed in 2020, according to iResearch. Through our medical crowdfunding, mutual aid platforms, and our insurance marketplace, we have built a massive social network of protection and support for people, raising awareness of insurance and ultimately providing insurance and healthcare service to consumers in China. According to iResearch report, in 2019, the total healthcare service expenditures in China reached RMB7.0 trillion, among which RMB4.7 trillion was not covered by the social medical insurance, commercial insurance, or other supplemental medical protection. With Waterdrop being a trusted brand in China, we are well positioned to capture this market opportunity for insurance and healthcare service. According to a public survey conducted by iResearch, our insurance marketplace and medical crowdfunding platforms rank No. 1 in terms of brand awareness among independent third-party insurance distribution platforms and medical crowdfunding platforms respectively. As of Dec. 31, 2020, we collaborated with 62 insurance carriers to offer 200 health and life insurance products, majority of which are jointly designed with insurance carriers, leveraging our deep understanding of the consumer demand and actuarial capabilities. Our platform is designed to be mobile-first, digitally-native, and deeply connected with insurance carriers to ensure smooth and friendly user experience throughout the process from underwriting to claim services.",Insurance agents & brokers,4291,2016,Contact Information,"Block C, Wangjing Science and Technology Park No. 2 Lize Zhonger Road, Chaoyang District, Beijing People’s Republic of China",+86 10 5339-4997,,Waterdrop Inc.,Financial Information,$4335.43mil,$464.1 mil (last 12 months),$-101.7 mil (last 12 months),IPO Profile,WDH,NYSE,30.0,$12.00 - $12.00,$360.0 mil,Goldman Sachs (Asia)/ Morgan Stanley/ BofA Securities,ABCI/ China Merchants Securities (HK)/ China Renaissance/ CLSA/ Haitong International/ Futu/ Tiger Brokers,5/7/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus on industries that complement our team’s background and capitalize on our team’s ability to source and acquire a business focused on media, technology or entertainment. (Incorporated in the Cayman Islands) Our sponsor, WCAC1 Sponsor LLC, is an affiliate of Waverley Capital, L.P., a venture capital firm focused solely on the innovation and disruption occurring globally throughout the media and entertainment industries. Waverley is the successor fund to Luminari Capital L.P., a media-focused venture capital fund founded in 2014. Waverley is led by its co-founders, Edgar Bronfman Jr. and Daniel V. Leff, who are the co-founders of Waverley Capital. Their previous investments include Roku, Inc. (IPO – NASDAQ: ROKU), fuboTV Inc. (IPO – NYSE: FUBO), Matterport (SPAC merger –NASDAQ: MTTR), Pluto TV (acquired by Viacom), Wondery (acquired by Amazon), The Athletic and Headspace. Mr. Bronfman is our chairman. He was previously the chairman and CEO of Warner Music Group. He was also previously the CEO of The Seagram Company, Ltd., the parent company of Universal Studios Inc. Daniel V. Leff, Ph.D. serves as our CEO and a director. Dr. Leff is the co-founder and managing partner of Waverley. He is also the founder and managing partner of Luminari Capital (the predecessor fund to Waverley). Before co-founding Waverley and founding Luminari Capital, Dr. Leff was a partner with Globespan Capital Partners in the firm’s Palo Alto office. Earlier in his career, he worked for Sevin Rosen Funds and Redpoint Ventures. He previously held engineering, marketing and strategic investment positions with Intel Corp. and served as a director of Roku (NASDAQ:ROKU) from 2011-2018. He is a director of fuboTV (NYSE: FUBO), a live TV streaming platform for sports, news, and entertainment, where he sits on the audit committee. Dr. Leff earned a Ph.D. in physical chemistry from the University of California, Los Angeles. (Note: Waverley Capital Acquisition Corp. I priced its SPAC IPO on Aug. 19, 2021, in line with the terms in its prospectus: 20 million units at $10 each to raise $200 million. Waverley Capital I downsized its SPAC IPO to 20 million units, down from its initial size of 30 million units, in an S-1/A filing dated July 30, 2021. The company filed to go public in March 2021.)",BLANK CHECKS,0,2021,Contact Information,"535 Ramona Street, Suite #8 Palo Alto, CA 94301",(650) 308-9907,,Waverley Capital Acquisition Corp. 1,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,WAVC.U,NYSE,20.0,$10.00 - $10.00,$200.0 mil,Evercore ISI/ Morgan Stanley,-,8/20/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
