General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"We were created to take advantage of transformative macro and micro trends occurring domestically and internationally, driven by the impact of technology on how work is executed, facilitated and enhanced. Our executive co-chairman, Doug Atkin, is a co-founder and managing partner at Communitas Capital, a venture fund he launched in 2018 with Tom Glocer (former CEO of Reuters) and Duncan Niederauer (former CEO of the NYSE). Doug’s career began in 1984 at Instinet, the world’s first electronic stock exchange. He was the company’s 22nd employee, and rose to become its CEO and lead its $464 million IPO. Our executive co-chairman, Chris Terrill, has had a long career leading and growing large digital marketplaces that are the brand leaders in their categories, including Match.com (from 1999 through 2005); Blockbuster Online; Nutrisystem, and HomeAdvisor. (Note: Z-Work Acquisition Corp. priced its IPO on Jan. 28, 2021, according to its prospectus terms: 20 million units at $10 each.)",BLANK CHECKS,0,2020,Contact Information,"575 Fifth Avenue 15th Floor New York, NY 10017",626-867-7295,,Z-Work Acquisition Corp.,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ZWRKU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Jefferies,-,1/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to capitalize on the ability of our management team to identify, acquire and manage a business in the aviation, aerospace & defense, urban mobility and emerging technology industries that can benefit from our differentiated and proprietary deal flow, leading brand name and global network. We intend to focus our search on business combination targets with an aggregate enterprise value ranging from $600.0 million to $1.5 billion. We believe our management team is well suited to identify opportunities that have the potential to generate attractive risk-adjusted returns for our stockholders. Steven H. Rosen, our Co-CEO, is the co-founder and co-chief executive officer of Resilience Capital Partners, a private investment firm based in Cleveland, Ohio. Resilience Capital invests in companies with solid business prospects in a variety of special situations and industries, such as business services, aviation, aerospace and defense, capital equipment, consumer goods, transportation, logistics and advanced manufacturing. Kenneth C. Ricci, our Co-CEO, is a 40-year aviation industry veteran who today is a principal of Directional Aviation Capital, which owns various aviation enterprises, including Flexjet, Sentient Jet, PrivateFly, Tuvoli, Nextant Aerospace, Stonebriar Commercial Finance, Reva Air Ambulance, Corporate Wings, Simcom and Constant Aviation. Kenneth began his aviation career as an Air Force ROTC cadet at the University of Notre Dame and started his first company, Corporate Wings, in 1980.",BLANK CHECKS,0,2020,Contact Information,"25101 Chagrin Boulevard Suite 350 Cleveland, Ohio 44122",(216) 292-0200,,Zanite Acquisition,Financial Information,$250.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,ZNTEU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,BTIG,-,11/17/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a clinical-stage biopharmaceutical company focused on discovering and developing small molecule therapeutics targeting fundamental biological pathways of cancers. We use our highly efficient drug discovery engine, which we refer to as our Integrated Discovery Engine, to identify targets and develop small molecule new chemical entities, or NCEs, with properties that we believe could result in potentially differentiated product profiles. Our discovery engine combines our extensive experience and capabilities across cancer biology and medicinal chemistry.",PHARMACEUTICAL PREPARATIONS,62,2014,Contact Information,"530 Seventh Avenue, Suite 2201, New York, NY 10018, US",(212) 433-3791,http://www.zentalis.com,Zentalis Pharmaceuticals,Financial Information,$621mil,$0 mil (last 12 months),$-45.7 mil (last 12 months),IPO Profile,ZNTL,NASDAQ,9.2,$18.00 - $18.00,$165.2 mil,Morgan Stanley/ Jefferies/ SVB Leerink/ Guggenheim Securities,-,4/3/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We were founded in Brazil 17 years ago as a bootstrapped startup in a garage. Our unified end-to-end customer experience (CX) communications platform provides companies with (i) solutions focused on campaigns, sales teams, customer service and engagement, (ii) tools such as software application programming interfaces (APIs), chatbots, single customer view, journey designer, documents composer and authentication and (iii) channels such as SMS, Voice, WhatsApp and Webchat. (Incorporated in the Cayman Islands) (Note: Zenvia priced its IPO on July 21, 2021, at $13 – the bottom of its $13-to-$15 price range – on 11.54 million shares, the same number of shares in the prospectus, to raise $150.01 million. In an S-1/A filing dated July 13, 2021, Zenvia relaunched its IPO with downsized terms of 11.54 million shares at $13 to $15 – down from its initial terms of 12.91 million shares at $15.50 to $17.50. The company had postponed its IPO on May 13, 2021, after the market’s close, just hours before its scheduled pricing, due to volatile stock market conditions.)",SERVICES - PREPACKAGED SOFTWARE,672,2004,Contact Information,"Avenida Paulista, 2300, 18th Floor, Suites 182 and 184 São Paulo, São Paulo, 01310-300, Brazil",+55 (11) 4837-7440,http://investors.zenvia.com,Zenvia Inc.,Financial Information,,$94.8 mil (last 12 months),$-13.77 mil (last 12 months),IPO Profile,ZENV,NASDAQ,11.5,$13.00 - $13.00,$150.0 mil,Goldman Sachs/ Morgan Stanley/ Bradesco BBI/ Itau BBA/ UBS Investment Bank/ XP Investimentos,-,7/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Zeta’s mission is to enable enterprise businesses to accelerate growth by leveraging Zeta’s proprietary data and predictive artificial intelligence (“AI”) to acquire, grow and retain consumer relationships. Zeta is a leading omnichannel data-driven cloud platform that provides enterprises with consumer intelligence and marketing automation software. We empower our customers to target, connect and engage consumers through software that delivers personalized marketing across all addressable channels, including email, social media, web, chat, connected TV (“CTV”) and video, among others. We believe our actionable insights derived from consumer intent enable our customers to acquire, grow and retain consumer relationships more efficiently and effectively than the alternative solutions available in the market. Our top-rated Zeta Marketing Platform (the “ZMP”) is the largest omnichannel marketing platform with identity data at its core. The ZMP analyzes billions of structured and unstructured data points to predict consumer intent by leveraging sophisticated machine learning algorithms and the industry’s largest opted-in data set for omnichannel marketing. The ZMP connects with consumers through native integration of marketing channels and application programming interface (“API”) integration with third parties. The ZMP’s data-driven algorithms and processes learn and optimize each customer’s marketing program producing a ‘flywheel effect’ that enables our customers to test, learn and improve their marketing programs in real time. This continuous learning loop provides greater efficiency and effectiveness for our customers and creates a competitive advantage for Zeta. (Note: Zeta Global Holdings downsized its IPO at pricing on June 9, 2021, to price 21.5 million shares – down from 22.7 million in the prospectus – at $10 each – the bottom of its $10-to-$12 range – to raise $215 million.)",SERVICES - PREPACKAGED SOFTWARE,1296,2007,Contact Information,"3 Park Ave, 33rd Floor New York, NY 10016",(212) 967-5055,http://www.zetaglobal.com/,Zeta Global Holdings,Financial Information,$1904.3mil,$368.12 mil (last 12 months),$-53.23 mil (last 12 months),IPO Profile,ZETA,NYSE,21.5,$10.00 - $10.00,$215.0 mil,Morgan Stanley/ BofA Securities/ Credit Suisse/ Barclays,William Blair/ Needham & Co./ Oppenheimer & Co./ Canaccord Genuity/ Roth Capital Partners,6/10/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Zevia – its name rhymes with stevia, the natural sweetener and sugar substitute – is a high-growth beverage company that is disrupting the liquid refreshment beverage industry through delicious and refreshing zero calorie, zero sugar, naturally sweetened beverages that are all Non-GMO Project Verified. (The Stevia rebaudiana plant is native to Brazil and Paraguay.) We are a pioneering beverage brand, offering a platform of six product lines – Soda, Energy Drinks, Organic Tea, Mixers, Kidz drinks, and Sparkling Water – and 37 flavors. All of our beverages are made with only a handful of plant-based ingredients that most consumers can easily pronounce. Our products are distributed across the U.S. and Canada through a diverse network of major retailers in the food, drug, mass, natural and ecommerce channels. We believe that consumers increasingly select beverage products based on taste, ingredients and fit with today’s consumer preferences, which has benefited the Zevia brand and resulted in over 1 billion cans of Zevia sold to date. We actively seek to minimize our environmental impact and continuously re-evaluate our packaging formats and processes to limit environmental waste. We have never sold a single plastic bottle, which we estimate has eliminated 15,000 metric tons of plastic bottles from the supply chain by selling only aluminum packaging since 2011. In addition, one of our main ingredients, stevia, requires less agricultural water than sugar, furthering our sustainability mission. From the cover of the prospectus – “We elected in March 2021 to be treated as a public benefit corporation under Delaware law. As a public benefit corporation, we are required to balance the pecuniary interests of our stockholders with the best interests of those stakeholders materially affected by our conduct, including particularly those affected by the specific benefit purposes set forth in our certificate of incorporation. Accordingly, our duty to balance a variety of interests may result in actions that do not maximize stockholder value.” Note: The PBC in the company’s name stands for “public benefit corporation.” See the prospectus for details on what this designation might mean for shareholders. (Note: Zevia PBC downsized its IPO at pricing on July 21, 2021, to 10.7 million shares – down from 14.3 million shares in the prospectus – and priced the stock at $14 – the mid-point of its $13-to-$15 range – to raise $149.8 million.)",Bottled & Canned Soft Drinks - Carbonated Waters,98,2007,Contact Information,"15821 Ventura Blvd., Suite 145 Encino, CA 91436",(855) 469-3842,http://www.zevia.com,Zevia PBC,Financial Information,$853.84mil,$118.23 mil (last 12 months),$-3.46 mil (last 12 months),IPO Profile,ZVIA,NYSE,10.7,$14.00 - $14.00,$149.8 mil,Goldman Sachs/ BofA Securities/ Morgan Stanley/ Stephens Inc./ BMO Capital Markets/ Wells Fargo Securities,Telsey Advisory Group/ Loop Capital Markets/ Academy Securities/ AmeriVet Securities/ Ramirez & Co.,7/22/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"(Note: This is an IPO of 3,623,000 American Depositary Shares (ADS). Each ADS represents nine Class A ordinary shares. Zhangmen Education is incorporated in the Cayman Islands.) We are a leading online education company in China, focused on providing personalized online courses to K-12 students, according to the Frost & Sullivan Report. Our core course offerings encompass one-on-one and small-class after-school tutoring services covering all core K-12 academic subjects. According to the Frost & Sullivan Report, we have been the largest online K-12 one-on-one after-school tutoring service provider in China in terms of gross billings since 2017, with 31.9% market share in 2020, exceeding that of the rest of the top 10 players combined in 2020. We continually enrich our service and product offerings to address students’ evolving and diversified educational needs. We began to offer small-class K-12 after-school tutoring services in the third quarter of 2020 to drive and cater to diversified educational goals. To attract more students with higher lifetime value, we also provide early childhood education services covering a diverse array of subjects, including art, language skills, logical thinking and learning methodology. Note: Revenue and net loss figures are in U.S. dollars for the year ended Dec. 31, 2020, according to the prospectus. (Note: Zhangmen Education priced its IPO on June 7, 2021, at $11.50 – below the mid-point of its $11-to-$13 range – on 3,623,000 shares – the same number of shares in the prospectus – to raise $41.7 million.)",Services - Educational Services,11995,2014,Contact Information,"No.82 Tongjia Road, Hongkou District, Shanghai People’s Republic of China",+86 (21) 6142 1535,https://www.zhangmen.com/,Zhangmen Education Inc.,Financial Information,$2353.22mil,$613.33 mil (last 12 months),$-154.51 mil (last 12 months),IPO Profile,ZME,NYSE,3.6,$11.50 - $11.50,$41.7 mil,Morgan Stanley/ Credit Suisse/ Citigroup/ CICC/ Macquarie Capital,FUTU/ Tiger Brokers/ Snowball,6/8/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"Zhihu is the largest Q&A-inspired online community and one of the top five comprehensive online content communities in China, both in terms of average mobile MAUs and revenue in 2020, according to CIC. Zhihu is also recognized as the most trustworthy online content community and widely regarded as offering the highest-quality content in China, according to the CIC Survey. We pride ourselves as a “marketplace of answers,” steadily accumulating trustworthy content through continuous creation and engagement among our users and content creators over a journey of more than ten years. As of Dec. 31, 2020, we had 43.1 million cumulative content creators, who had contributed 315.3 million questions and answers. Our 75.7 million average MAUs in the fourth quarter of 2020 generated 675.7 million average monthly interactions within our vibrant community during the same period.",BUSINESS SERVICES,1651,2011,Contact Information,"A5 Xueyuan Road, Haidian District, Beijing 100083, People’s Republic of China",+86 (10) 8271-6605,http://www.zhihu.com,Zhihu Inc.,Financial Information,$5869.5mil,$207.2 mil (last 12 months),$-79.3 mil (last 12 months),IPO Profile,ZH,NYSE,55.0,$9.50 - $9.50,$522.5 mil,Credit Suisse/ Goldman Sachs/ J.P. Morgan,CICC/ CMBI/ China Renaissance/ CLSA/ Haitong International/ Lighthouse Capital/ Tiger. FUTU Brokers,3/26/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a provider of healthcare information, education, and training services to healthcare professionals and the public in China. We offer a wide range of online and onsite health information services, healthcare education programs, and healthcare training products, consisting primarily of clinical practice training, open classes of popular medical topics, interactive case studies, academic conference and workshops, continuing education courses, and articles and short videos with educational healthcare content to healthcare professionals as well as the public.",EDUCATIONAL SERVICES,90,2012,Contact Information,"Nanxi Creative Center, Suite 218, 841 Yan’An Middle Road, Jing’An District, Shanghai, China 200040",021-32205987,http://www.mdmooc.org/,ZHONGCHAO,Financial Information,$76.4mil,$14.6 mil (last 12 months),$3.9 mil (last 12 months),IPO Profile,ZCMD,NASDAQ,3.0,$4.00 - $4.00,$12.0 mil,Network 1 Financial Securities,Tiger Brokers (NZ) Limited,2/24/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We are a global, asset-light container liner shipping company with leadership positions in niche markets where we believe we have distinct competitive advantages that allow us to maximize our market position and profitability. Founded in Israel in 1945, we are one of the oldest shipping liners, with over 75 years of experience, providing customers with innovative seaborne transportation and logistics services with a reputation for industry leading transit times, schedule reliability and service excellence. (Note: ZIM Integrated Shipping priced its IPO on Jan. 27, 2021, at $15 – below its $16-to-$19 range – on 14.5 million ordinary shares, below the 17.5 million shares in the prospectus, to raise $217.5 million.)",DEEP SEA FOREIGN TRANSPORTATION OF FREIGHT,3782,1945,Contact Information,"9 Andrei Sakharov Street, P.O. Box 15067, Matam, Haifa 3190500, Israel",+972 (4) 865-2000,http://www.zim.com,ZIM Integrated Shipping Services Ltd.,Financial Information,$2056.25mil,$3458.2 mil (last 12 months),$156.6 mil (last 12 months),IPO Profile,ZIM,NYSE,14.5,$15.00 - $15.00,$217.5 mil,Citigroup/ Goldman Sachs/ Barclays/ Jefferies/ Clarksons Plateau Securities,-,1/28/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
