Issuer,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,Trade_Date
 B. Riley Principal Merger,1.40779990954195,23.375,0.0,0.0,0.0,0.0,47.0,23.0,23.0,47.0,47.0,96.0,0.0,23.0,71.0,24.0,100.0,50.0,25.0,0.0,78.0,2020-05-20
10x Genomics,0.5389963519232053,30.375,29.0,25.0,28.0,36.0,18.0,28.0,32.0,28.0,48.0,100.0,65.0,46.0,29.0,34.0,43.0,28.0,36.0,38.0,33.0,2019-09-12
"111, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,93.0,2018-09-12
1347 Property Insurance Holdings,15.404745967162468,24.875,0.0,0.0,0.0,0.0,99.0,0.0,51.0,0.0,49.0,100.0,50.0,0.0,52.0,0.0,0.0,50.0,53.0,0.0,0.0,2014-04-01
1847 Goedeker,13.592368256649284,1.875,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,8.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,2020-07-31
1Life Healthcare,2.014898687221209,4.875,0.0,4.0,0.0,0.0,4.0,4.0,12.0,0.0,15.0,100.0,69.0,30.0,19.0,33.0,33.0,18.0,14.0,3.0,0.0,2020-01-31
21Vianet Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2011-04-21
"2U, Inc.",0.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,45.0,91.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,2014-03-28
360 Finance,0.30110505764879125,73.25,78.0,86.0,74.0,100.0,32.0,74.0,55.0,65.0,100.0,97.0,75.0,62.0,99.0,62.0,98.0,74.0,86.0,53.0,71.0,2018-12-14
36Kr Holdings,15.90737474309945,12.75,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,81.0,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2019-11-08
3PAR,0.2876820083492313,42.375,24.0,57.0,40.0,24.0,32.0,42.0,38.0,54.0,52.0,100.0,41.0,61.0,47.0,26.0,31.0,24.0,21.0,18.0,52.0,2007-11-15
3SBio,14.946912992035967,5.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,100.0,10.0,20.0,29.0,29.0,20.0,38.0,0.0,10.0,10.0,2007-02-06
500.com Ltd,15.226497775576945,7.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,100.0,0.0,20.0,21.0,0.0,0.0,0.0,20.0,0.0,0.0,2013-11-22
51job,-0.008298801437285341,60.125,59.0,65.0,62.0,58.0,51.0,64.0,69.0,52.0,60.0,32.0,37.0,100.0,59.0,59.0,62.0,52.0,61.0,73.0,67.0,2004-09-28
58.com,0.6418536493303799,23.0,13.0,13.0,22.0,7.0,18.0,22.0,29.0,35.0,38.0,100.0,39.0,25.0,26.0,34.0,21.0,9.0,13.0,16.0,23.0,2013-10-31
7 Days Group Holdings,0.0,11.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,85.0,87.0,85.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2009-11-20
89bio,1.3545451990958148,25.625,24.0,8.0,16.0,24.0,16.0,55.0,8.0,16.0,62.0,100.0,71.0,15.0,23.0,16.0,48.0,9.0,8.0,0.0,15.0,2019-11-11
8i Enterprises Acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.0,66.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,2019-03-25
8point3 Energy Partners LP,15.404745967162468,12.25,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,49.0,49.0,100.0,50.0,50.0,51.0,0.0,0.0,0.0,0.0,2015-06-19
9F,-0.006230548974238914,80.625,79.0,81.0,81.0,92.0,80.0,69.0,78.0,84.0,80.0,77.0,84.0,87.0,87.0,86.0,82.0,85.0,79.0,84.0,82.0,2019-08-15
A.S.V.,-15.341567078850604,40.375,0.0,45.0,46.0,0.0,46.0,48.0,46.0,92.0,0.0,47.0,0.0,50.0,50.0,0.0,0.0,48.0,100.0,0.0,50.0,2017-05-12
A10 Networks,0.2876819930867236,34.75,35.0,28.0,31.0,31.0,33.0,51.0,30.0,32.0,42.0,100.0,44.0,29.0,42.0,38.0,30.0,43.0,28.0,38.0,38.0,2014-03-21
A123 Systems,0.7419368209202402,12.0,6.0,6.0,16.0,13.0,9.0,11.0,8.0,12.0,21.0,100.0,22.0,23.0,11.0,11.0,12.0,10.0,7.0,13.0,10.0,2009-09-24
AAC Holdings,-0.05406716279080692,11.75,0.0,10.0,0.0,19.0,19.0,0.0,9.0,28.0,9.0,28.0,37.0,0.0,27.0,27.0,18.0,18.0,18.0,18.0,17.0,2014-10-02
AC Immune SA,15.039286283703994,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,100.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,2016-09-23
ACA Capital Holdings,16.118095750958314,16.875,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2006-11-09
ACADIA Pharmaceuticals,14.508658238524095,12.75,0.0,0.0,0.0,0.0,0.0,21.0,41.0,20.0,20.0,100.0,21.0,0.0,40.0,0.0,0.0,21.0,25.0,0.0,0.0,2004-05-26
ACE Convergence Acquisition,0.0,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,2020-07-28
ACM Research,0.2693328479250261,29.75,43.0,31.0,49.0,24.0,25.0,30.0,18.0,25.0,36.0,60.0,100.0,35.0,41.0,59.0,41.0,18.0,43.0,13.0,12.0,2017-11-03
ADESA,0.2719336658804763,52.625,48.0,47.0,74.0,48.0,62.0,37.0,36.0,54.0,63.0,73.0,43.0,54.0,54.0,57.0,54.0,60.0,76.0,21.0,89.0,2004-06-15
ADMA Biologics,0.0,6.25,27.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,25.0,0.0,24.0,0.0,0.0,49.0,0.0,25.0,0.0,2013-10-17
AECOM Technology,0.670157440348008,24.75,22.0,45.0,0.0,0.0,23.0,22.0,22.0,43.0,43.0,79.0,100.0,99.0,60.0,39.0,20.0,20.0,39.0,20.0,60.0,2007-05-09
AG Mortgage Investment Trust,14.978661680269907,12.125,100.0,0.0,0.0,0.0,0.0,33.0,0.0,32.0,32.0,65.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2011-06-30
AGA Medical Holdings,0.0,15.125,0.0,0.0,21.0,0.0,0.0,0.0,0.0,100.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-10-21
AGBA Acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-14
ALX Oncology Holdings,15.009433329466965,12.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,33.0,100.0,33.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2020-07-17
AMC Entertainment Holdings,15.068273812173887,21.125,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,35.0,18.0,0.0,19.0,34.0,16.0,16.0,0.0,0.0,16.0,16.0,2013-12-18
AMCI Acquisition,16.118095750958314,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-16
AMERISAFE,-15.444751293772967,43.75,52.0,52.0,50.0,0.0,50.0,98.0,0.0,100.0,0.0,94.0,97.0,45.0,92.0,0.0,51.0,0.0,0.0,87.0,42.0,2005-11-17
AMTD International,1.7917579540781472,12.25,0.0,0.0,0.0,21.0,11.0,11.0,0.0,22.0,33.0,100.0,22.0,21.0,31.0,10.0,10.0,0.0,0.0,20.0,0.0,2019-08-05
ARAMARK Holdings,1.3485534847042513,23.25,27.0,0.0,54.0,0.0,53.0,27.0,0.0,0.0,52.0,54.0,54.0,30.0,29.0,78.0,50.0,100.0,50.0,26.0,25.0,2013-12-12
ARMO BioSciences,1.5260547382795633,9.5,5.0,3.0,5.0,3.0,3.0,6.0,25.0,8.0,23.0,51.0,21.0,28.0,21.0,20.0,13.0,15.0,15.0,13.0,11.0,2018-01-26
ARYA Sciences Acquisition,0.0,4.125,34.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,100.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-05
ARYA Sciences Acquisition Corp II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,31.0,0.0,64.0,33.0,67.0,0.0,100.0,33.0,2020-06-05
ARYA Sciences Acquisition Corp III,0.0,1.25,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,2020-08-07
ARYx Therapeutics,-14.115615891155079,21.0,90.0,0.0,58.0,0.0,0.0,0.0,83.0,27.0,0.0,53.0,48.0,27.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2007-11-06
ATA,0.05365270526573784,64.125,62.0,59.0,62.0,56.0,65.0,66.0,69.0,69.0,67.0,68.0,68.0,66.0,69.0,63.0,62.0,63.0,62.0,64.0,100.0,2008-01-28
AVEO Pharmaceuticals,0.280614836304522,38.25,74.0,36.0,12.0,35.0,59.0,24.0,0.0,93.0,47.0,94.0,59.0,24.0,62.0,24.0,12.0,23.0,12.0,36.0,48.0,2010-03-12
AVG Technologies N.V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-02-02
AVROBIO,0.693146894845782,21.625,5.0,20.0,10.0,15.0,21.0,5.0,31.0,36.0,35.0,82.0,36.0,10.0,41.0,31.0,16.0,0.0,30.0,25.0,10.0,2018-06-21
AXA Equitable Holdings,1.3545447353866846,12.625,8.0,0.0,8.0,8.0,0.0,8.0,8.0,38.0,31.0,100.0,47.0,16.0,8.0,15.0,8.0,23.0,8.0,0.0,8.0,2018-05-10
AZEK Company (The),13.997832948091215,3.75,6.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,12.0,100.0,30.0,12.0,12.0,19.0,0.0,13.0,13.0,13.0,31.0,2020-06-12
Abengoa Yield plc,0.0,7.5,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,100.0,0.0,33.0,0.0,100.0,67.0,34.0,0.0,35.0,0.0,2014-06-13
Acacia Communications,0.8556654335876992,10.125,22.0,17.0,3.0,5.0,12.0,10.0,7.0,7.0,20.0,79.0,40.0,25.0,15.0,20.0,17.0,5.0,13.0,19.0,18.0,2016-05-13
Acamar Partners Acquisition,0.0,4.25,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,100.0,66.0,0.0,0.0,0.0,34.0,0.0,0.0,35.0,0.0,2019-02-22
Acceleron Pharma,0.38566229257678364,15.25,27.0,0.0,0.0,27.0,27.0,9.0,17.0,17.0,25.0,100.0,25.0,58.0,17.0,8.0,8.0,17.0,0.0,33.0,0.0,2013-09-19
Accentia Biopharmaceuticals,16.097893045681612,25.625,0.0,55.0,0.0,52.0,0.0,0.0,0.0,0.0,98.0,0.0,100.0,56.0,0.0,0.0,0.0,0.0,93.0,0.0,58.0,2005-10-28
Accolade,0.027398970434361125,71.375,72.0,74.0,65.0,73.0,72.0,76.0,66.0,71.0,74.0,100.0,92.0,80.0,65.0,74.0,67.0,74.0,71.0,75.0,88.0,2020-07-02
Accretive Health,0.5959832658176079,27.25,25.0,8.0,36.0,6.0,31.0,22.0,29.0,37.0,49.0,100.0,47.0,29.0,14.0,26.0,9.0,9.0,14.0,27.0,14.0,2010-05-20
Accuray,1.1759984753945303,17.75,24.0,20.0,9.0,10.0,9.0,11.0,18.0,18.0,47.0,100.0,36.0,7.0,24.0,7.0,39.0,10.0,27.0,11.0,25.0,2007-02-07
Accuride,-0.006472513667746149,70.375,100.0,75.0,77.0,26.0,78.0,100.0,47.0,83.0,77.0,75.0,26.0,31.0,67.0,19.0,38.0,43.0,50.0,51.0,64.0,2005-04-25
AcelRx Pharmaceuticals,15.009433329466965,4.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,100.0,99.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,2011-02-11
Achaogen,1.0296185600390766,15.375,11.0,0.0,10.0,26.0,5.0,5.0,5.0,51.0,21.0,100.0,36.0,10.0,31.0,26.0,16.0,37.0,16.0,21.0,5.0,2014-03-12
Achillion Pharmaceuticals,14.771022387607022,13.625,0.0,0.0,29.0,27.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,100.0,25.0,0.0,24.0,24.0,49.0,0.0,0.0,2006-10-25
Aclaris Therapeutics,1.3664914416669203,42.5,0.0,0.0,71.0,17.0,0.0,34.0,50.0,68.0,100.0,49.0,16.0,33.0,0.0,49.0,0.0,16.0,17.0,49.0,0.0,2015-10-07
