uw_price,uw_rank,socre,Underwriter Name,Rank8084,Rank8591,Rank9200,Rank0104,Rank0507,Rank0809,Rank1011,Rank1217,Rank1820,Unnamed: 10
 CIBC,CIBC Wood Gundy Securities,100,CIBC Wood Gundy Securities,-9.0,-9.0,8.001,-9.0,-9.0,-9.0,-9.0,,,
"Cohen & Company Capital Markets, LLC   I-Bankers Securities",AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 PNC Capital Markets,AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,100,SunTrust Robinson Humphrey,-9.0,-9.0,-9.0,6.001,6.001,6.001,6.501,6.501,7.001,
Morgan Stanlry,Morgan Stanley,93,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Sandler ONeill & Partners,Sandler O'Neill Partners,94,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Deutsche Bank,Deutsche Bank Capital (NY),100,Deutsche Bank Capital (NY),-9.0,9.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Thomas Weisel,Thomas Weisel Partners LLC,100,Thomas Weisel Partners LLC,-9.0,-9.0,8.001,8.001,8.001,7.001,7.001,,,
 Evercore Group,Evercore,100,Evercore,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,
 Moelis & Company,Moelis,100,Moelis,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,6.001,
Mizuho Securities,Mizuho Securities,100,Mizuho Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.501,7.501,
Banc of America,Banc of America Securities LLC,100,Banc of America Securities LLC,-9.0,-9.0,8.001,8.001,8.001,8.001,-9.0,,,
 Cowen and Company,Cowen,100,Cowen,-9.0,5.5,7.001,-9.0,7.001,7.001,6.501,7.001,7.001,
Rodman & Renshaw.WestPark Capital,Rodman & Renshaw Inc,88,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
BofA Merrill Lych,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
 Oak Ridge Financial,BC Financial,86,BC Financial,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 JMP Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
"Goldman, Sachs & Co.",Goldman Sachs & Co,100,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 J .P. Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 J.P. Morgan Securities,Wedbush Morgan Securities,89,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
 Merrrill Lynch,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Credit Suisse.BofA Merrill Lynch,Credit Suisse,100,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
Ladenberg Thalmann,Ladenburg Thalmann & Co,87,Ladenburg Thalmann & Co,5.0,6.0,6.001,6.001,6.001,6.001,6.001,,,
Cantor Fitzgerald ,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
Newbridge,Newbridge Securities,100,Newbridge Securities,-9.0,-9.0,-9.0,2.001,2.001,2.001,2.001,,,
 RenCap,Reich,55,Reich,-9.0,4.0,4.001,-9.0,-9.0,-9.0,-9.0,,,
" Stifel, Nicolaus ",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
"Morgan Stanley, Goldman, Sachs",Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
Feltl & Company,Feltl & Co,77,Feltl & Co,-9.0,-9.0,-9.0,4.001,4.001,4.001,4.001,4.001,,
 KKR,KKR Capital,100,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
