Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st_Day_Return,change_open,change_close,Star_Ratings,Performed,year,CUSIP,Offer Date,IPO Name,Ticker,VC Dummy,Rollup dummy,CRSP PERM,Dual dummy,Internet dummy,Post-Issue shares,Founding,uw_max_rank,top_tier_uw,month,avg_net_ipo,num_ipo,net_num_ipo,perc_price_above,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9
2020-01-17,I-Mab,IMAB,Jefferies/ CICC,14.0,14.75,12.75,-0.08928571428571429,0.75,-1.25,2,,2020.0,44975P103,2020-01-17,I-MAB,IMAB,0,.,19193,1,0,131239439,2014.0,8.501,1,1.0,45,13.0,6,0.33,0.9555108296432472,11.75,13.0,20.0,7.0,13.0,7.0,0.0,0.0,21.0,26.0,100.0,51.0,19.0,25.0,32.0,6.0,12.0,6.0,12.0,30.0
2020-01-17,LIZHI,LIZI,Credit Suisse/ Citigroup,11.0,11.03,11.63,0.057272727272727336,0.029999999999999364,0.6300000000000008,1,,2020.0,53933L104,2020-01-17,Lizhi Inc,LIZI,1,.,19195,1,0,914661090,2010.0,9.001,1,1.0,45,13.0,6,0.33,0.08701133911085845,20.875,27.0,28.0,21.0,14.0,16.0,11.0,30.0,23.0,24.0,100.0,29.0,39.0,23.0,23.0,28.0,33.0,17.0,22.0,34.0
2020-01-17,Phoenix Tree Holdings Ltd.,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0.0,0.0,0.0,1,,2020.0,719156101,2020-01-17,Phoenix Tree Holdings Ltd,DNK,0,.,19168,1,0,1825796852,2015.0,9.001,1,1.0,45,13.0,6,0.33,,,,,,,,,,,,,,,,,,,,,
2020-01-17,Velocity Financial,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13.0,13.85,13.51,0.03923076923076922,0.8499999999999996,0.5099999999999998,1,,2020.0,92262D101,2020-01-17,Velocity Financial LLC,VEL,2,0,19172,0,0,.,2004.0,9.001,1,1.0,45,13.0,6,0.33,1.0986119553348872,26.75,22.0,57.0,6.0,22.0,11.0,40.0,0.0,18.0,60.0,100.0,48.0,16.0,37.0,11.0,32.0,47.0,41.0,25.0,35.0
2020-01-24,Gores Holdings IV,GHIVU,Deutsche Bank Securities,10.0,10.52,10.45,0.04499999999999993,0.5199999999999996,0.4499999999999993,1,,2020.0,382865103,2020-01-24,Gores Holdings IV Inc,GHIVU,0,0,19312,1,0,50000000,2019.0,8.501,1,1.0,45,13.0,6,0.33,13.592368256649284,2.125,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-01-24,SCVX Corp.,SCVXU,Credit Suisse,10.0,10.3,10.32,0.03200000000000003,0.3000000000000007,0.3200000000000003,1,,2020.0,,,,,,,,,,,,0.0,0,1.0,45,13.0,6,0.33,,,,,,,,,,,,,,,,,,,,,
2020-01-28,AnPac Bio-Medical Science,ANPC,WestPark Capital,12.0,12.0,11.25,-0.0625,0.0,-0.75,1,,2020.0,03635R107,2020-01-30,Anpac Bio Med Science Co Ltd,ANPC,0,0,19181,1,0,11201360,2010.0,8.001,1,1.0,45,13.0,6,0.33,14.731801689838347,23.75,0.0,0.0,13.0,0.0,0.0,0.0,52.0,100.0,25.0,77.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,12.0,11.0
2020-01-29,Annovis Bio,ANVS,ThinkEquity (a division of Fordham Financial Management ),6.0,6.63,9.59,0.5983333333333333,0.6299999999999999,3.59,1,Missed,2020.0,03615A108,2020-01-29,Annovis Bio Inc,ANVS,0,0,19149,0,0,.,2008.0,0.0,0,1.0,45,13.0,6,0.33,1.7345983102954496,5.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,11.0,17.0,100.0,22.0,22.0,0.0,5.0,5.0,5.0,5.0,5.0,10.0
2020-01-29,Black Diamond Therapeutics,BDTX,J.P. Morgan/ Jefferies/ Cowen,19.0,33.0,39.48,1.077894736842105,14.0,20.48,3,,2020.0,09203E105,2020-01-30,Black Diamond Therapeutics Inc,BDTX,1,0,19176,0,0,.,2014.0,9.001,1,1.0,45,13.0,6,0.33,0.9555108296432472,16.5,3.0,10.0,10.0,4.0,0.0,18.0,54.0,10.0,26.0,100.0,33.0,36.0,33.0,29.0,22.0,16.0,9.0,9.0,15.0
2020-01-31,1Life Healthcare,OWEM,J.P. Morgan/ Morgan Stanley,14.0,18.0,22.07,0.5764285714285714,4.0,8.07,2,,2020.0,,,,,,,,,,,,9.001,1,1.0,45,13.0,6,0.33,2.014898687221209,4.875,0.0,4.0,0.0,0.0,4.0,4.0,12.0,0.0,15.0,100.0,69.0,30.0,19.0,33.0,33.0,18.0,14.0,3.0,0.0
