Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day.1_% Px Chng ,$ Change_Opening,$ Change.1_Close,Star_Ratings,Performed
2020-01-17,I-Mab ,IMAB,Jefferies/ CICC,14.0,14.75,12.75,-0.08928571428571429,0.75,-1.25,2,
2020-01-17,LIZHI ,LIZI,Credit Suisse/ Citigroup,11.0,11.03,11.63,0.057272727272727336,0.029999999999999364,0.6300000000000008,1,
2020-01-17,Phoenix Tree Holdings Ltd. ,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0.0,0.0,0.0,1,
2020-01-17,Velocity Financial ,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13.0,13.85,13.51,0.03923076923076922,0.8499999999999996,0.5099999999999998,1,
2020-01-24,Gores Holdings IV ,GHIVU,Deutsche Bank Securities,10.0,10.52,10.45,0.04499999999999993,0.5199999999999996,0.4499999999999993,1,
2020-01-24,SCVX Corp. ,SCVXU,Credit Suisse,10.0,10.3,10.32,0.03200000000000003,0.3000000000000007,0.3200000000000003,1,
2020-01-28,AnPac Bio-Medical Science ,ANPC,WestPark Capital,12.0,12.0,11.25,-0.0625,0.0,-0.75,1,
2020-01-29,Annovis Bio ,ANVS,ThinkEquity (a division of Fordham Financial Management ),6.0,6.63,9.59,0.5983333333333333,0.6299999999999999,3.59,1,Missed
2020-01-29,Black Diamond Therapeutics ,BDTX,J.P. Morgan/ Jefferies/ Cowen,19.0,33.0,39.48,1.077894736842105,14.0,20.48,3,
2020-01-31,1Life Healthcare ,OWEM,J.P. Morgan/ Morgan Stanley,14.0,18.0,22.07,0.5764285714285714,4.0,8.07,2,
2020-01-31,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17.0,23.05,21.8,0.28235294117647064,6.050000000000002,4.800000000000002,2,
2020-01-31,Reynolds Consumer Products ,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26.0,27.5,28.55,0.0980769230769231,1.5,2.5500000000000007,2,
2020-02-04,InterPrivate Acquisition ,IPV.U,EarlyBirdCapital,10.0,10.09,10.1,0.009999999999999964,0.08999999999999986,0.09999999999999963,1,
2020-02-06,Beam Therapeutics ,BEAM,J.P. Morgan/ Jefferies/ Barclays,17.0,24.0,18.75,0.10294117647058824,7.0,1.75,3,
2020-02-06,Casper Sleep ,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,12.0,14.5,13.5,0.125,2.5,1.5,1,
2020-02-06,PPD ,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,27.0,31.0,30.0,0.1111111111111111,4.0,3.0,3,
2020-02-06,Schrodinger ,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,17.0,26.0,28.64,0.6847058823529412,9.0,11.64,2,
2020-02-07,NexPoint Real Estate Finance ,NREF,Raymond James,19.0,16.0,18.8,-0.01052631578947365,-3.0,-0.1999999999999993,1,
2020-02-07,OneWater Marine ,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,12.0,15.02,15.14,0.2616666666666667,3.02,3.140000000000001,1,Missed
2020-02-07,Professional Holding ,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company​)",18.5,19.31,19.55,0.0567567567567568,0.8099999999999987,1.0500000000000007,NC,
2020-02-11,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,10.0,10.26,10.2,0.019999999999999928,0.2599999999999998,0.1999999999999993,1,
