,uw_price,uw_rank,socre
0,,,0
1, CIBC,CIBC Wood Gundy Securities,100
2,"Cohen & Company Capital Markets, LLC   I-Bankers Securities",AB Capital Markets,91
3, PNC Capital Markets,AB Capital Markets,91
4,SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,100
5,Morgan Stanlry,Morgan Stanley,93
6,Sandler ONeill & Partners,Sandler O'Neill Partners,94
7,Deutsche Bank,Deutsche Bank Capital (NY),100
8,Thomas Weisel,Thomas Weisel Partners LLC,100
9, Evercore Group,Evercore,100
10, Moelis & Company,Moelis,100
11,Mizuho Securities,Mizuho Securities,100
12,Banc of America,Banc of America Securities LLC,100
13, Cowen and Company,Cowen,100
14,Rodman & Renshaw.WestPark Capital,Rodman & Renshaw Inc,88
15,BofA Merrill Lych,Merrill Lynch & Co Inc,76
16, Oak Ridge Financial,BC Financial,86
17, JMP Securities,BA Securities,87
18,"Goldman, Sachs & Co.",Goldman Sachs & Co,100
19, J .P. Morgan,JP Morgan (JPM),87
20, J.P. Morgan Securities,Wedbush Morgan Securities,89
21, Merrrill Lynch,Merrill Lynch & Co Inc,76
22,Credit Suisse.BofA Merrill Lynch,Credit Suisse,100
23,Ladenberg Thalmann,Ladenburg Thalmann & Co,87
24,Cantor Fitzgerald ,"Cantor, Fitzgerald & Co., Inc.",100
25,Newbridge,Newbridge Securities,100
26, RenCap,Reich,55
27," Stifel, Nicolaus ",Stifel,100
28,"Morgan Stanley, Goldman, Sachs",Morgan Stanley,100
29,Feltl & Company,Feltl & Co,77
30, KKR,KKR Capital,100
31,Stifel,Stifel,100
32,CICc,China International Capital Corp (CICC),100
33, Compass Point,Tasin & Company,62
34,Feltl,Feltl & Co,100
35,Merriman Curhan Ford,Merriman Curhan Ford & Co.,100
36,Gilford Securities,Gilford Securities,100
37, Barrett & Company,Barrett,100
38,Rodman & Renshaw (a Unit of H.C. Wainwright & Co.),Rodman & Renshaw Inc,88
39,US Bancorp Piper Jaffray,US Bancorp Piper Jaffray,100
40,BofA Merrill Lynch,Merrill Lynch White Weld Cptl,84
41,Lehamn Brothers,Lehman Brothers,93
42, Morgan Stanley ,Morgan Stanley,100
43,Benchmark,The Benchmark Company,100
44,Goldman Sacha (Asia),Goldman Sachs Asia,94
45,ViewTrade Securities,BA Securities,87
46, Credit Suisse Securities,Credit Suisse,100
47, DNB Markets,Citigroup Global Markets Inc,78
48,ThinkEquity (a division of Fordham Financial Management ),BC Financial,86
49, Lake Street,State Street Capital Markets,71
50,Taglich Brothers,"Taglich Brothers, Inc.",100
51,Cantor Fitzgerald & Co.,"Cantor, Fitzgerald & Co., Inc.",100
52,Banc of America Securities,Banc of America Securities LLC,100
53, Sterne Agee,Sterne Agee & Leach Inc,100
54,Jefferies Broadview,Jefferies & Co Inc,72
55, AMTD Global Markets,AMTD Global Markets,100
56,Credit Suisse First Boston,Credit Suisse First Boston,100
57, J.P.Morgan,JP Morgan (JPM),87
58,  RBC Capital Markets,RBC Capital Markets,100
59,Paulson Investment Company,Paulson Investment Co,92
60,Credit Suiss,Credit Suisse,96
61,Feltl and Company,Reinheimer and Company,79
62,"Ferris, Baker, Watts","Ferris, Baker Watts",100
63,Dutsche Bank,Deutsche Bank AG,86
64, EarlyBirdCapita,Earlybirdcapital Inc,86
65, KeyBanc Capital Markets,KeyBanc Capital Markets ,100
66, Height Capital Markets,Knight Capital Markets,91
67,Prudential Vector Healthcare,Prudential Vector Healthcare,100
68,DeutscheBanc Alex. Brown,Deutsche Banc Alex Brown,81
69, China Int'l,China International Capital Corp (CICC),62
70, AMTD Tiger,Tiger Brokers,67
71,Sandler O’Neill + Partners,Sandler O'Neill Partners,100
72, FBR,B-Riley-FBR,100
73,Axiom,Axiom-Cap,100
74,Brenner Securities,Brenner Securities,100
75,Wells Fargo,Wells Fargo,100
76,EarlyBirdCapita,Earlybirdcapital Inc,86
77,Sandler O'Neill & Partners,Sandler O'Neill Partners,100
78, Mizuho Securities,Mizuho Securities,100
79, BMO Capital Markets,BMO Capital Markets,100
80, Macquarie Capital,KKR Capital,78
81," Stifel, Nicolaus Weisel",Stifel,100
82,Dougherty & Company,Gunn & Company,74
83,Robert W. Baird,Robert W Baird & Co Inc,100
84,SANDLER O'NEILL + PARTNERS,Sandler O'Neill Partners,100
85,Credit Siusse,Credit Suisse,92
86,Jefferirs,Jefferies & Co Inc,64
87, China Renaissance Securities,Renaissance Securities,100
88,Sunrise Securities,Sunrise Securities,100
89,RBC Capital,RBC Capital Markets,100
90,Morgan Stanley,Morgan Stanley,100
91,Nomura,Nomura Securities New York Inc,100
92, JPMorgan,JP Morgan (JPM),76
93,Pacific Growth Equities,Pacific Growth Equities Inc,100
94,W.R. Hambracht,W.R. Hambrecht & Company,71
95, CICC,China International Capital Corp (CICC),100
96, Needham,Needham & Co Inc,100
97,UBS Securities,UBS,100
98, Goldman Sachs (Asia),Goldman Sachs Asia,100
99,"Rodman & Renshaw, LLC",Rodman & Renshaw Inc,89
100,BofA,J. B. Oxford,43
101,MDB Capital Group LLC,MDB-Capital,100
102, Janney Montgomery Scott,Janney Montgomery Scott Inc,100
103,HSBC,HSBC,100
104, Raymond James ,Raymond James & Associates Inc,100
105,CIBC Worldwide,CIBC World Markets,62
106,WR Hambrecht+Co.,W.R. Hambrecht & Company,78
107, Fosun Hani,"Bond, Richman",55
108,Legend Merchant Group,Legend Merchant Group,100
109,Wachovia Securities,Wachovia Securities Inc,100
110,ThinkEquity Partners,Thinkequity Partners LLC,100
111,Sandler ONeill + Partners,Sandler O'Neill Partners,94
112,Rodman & Renshaw,Rodman & Renshaw Inc,100
113, BofA Merrill Lynch Credit Suisse,Credit Suisse,100
114, Deutsche Bank Secutities,Deutsche Bank AG,90
115,SoundView Technology,Soundview Technology Group,100
116," Goldman, Sachs & Co.",Goldman Sachs & Co,100
117,Piper Jaffrey,Piper Jaffray Inc,80
118,Thomas Weisel Partners,Thomas Weisel Partners LLC,100
119,D.A. Davidson,Kashner Davidson Securities,80
120, Jefferies & Company,Ferris & Company,84
121,Anderson & Strudrick,Anderson & Strudwick,94
122,  Morgan Stanley,Morgan Stanley,100
123, Santander,Santander Investment Bank,100
124, Stifel Nicolaus Weisel,Stifel,100
125,Cowen,Cowen,100
126, Stephens,"Robertson, Colman & Stephens",100
127,"Keefe, Bruyette & Woods",Keefe Bruyette & Woods Inc,100
128, Newbridge Securities Corporation,Newbridge Securities,100
129,Roth Capital Management,Cardinal Capital Management,88
130,Aegis Capital,Aegis Capital,100
131,GunnAllen,GunnAllen Financial Inc,100
132, Deutsche Bank Securitie,Deutsche Bank AG,90
133,Friedman Billings Ramsey,Friedman Billings Ramsey Group,100
134,ING,ING,100
135,Stifel Nicolaus,Stifel,100
136,Wedbush Morgan Securities,Wedbush Morgan Securities,100
137, Leerink Swann,Leerink Swann & Co.,100
138,WR Hambrecht+Co,W.R. Hambrecht & Company,78
139,"Roth Capital Partners, LLC",Roth Capital Partners Inc,92
140,China Inter'l,"Richter, Cohen",62
141," Goldman, Sachs & Co. ",Goldman Sachs & Co,100
142,Robertson Stephens,"Robertson, Colman & Stephens",100
143,Network 1 Financial Securities,Network 1 Financial Securities,100
144, Barclays,Barclays Capital,100
145,Maxim Group LLC,Maxim Group LLC,100
146, Wells Fargo,Wells Fargo,100
147,Sandler O'Niell & Partners,Sandler O'Neill Partners,96
148, Berenberg,"Shoenberg, Hieber",72
